probability_threshold,utility_threshold_px,sample_coverage,precision,harmful_fraction,harm_cost_fraction,sample_net_utility
0.3,-0.05,0.2379986444675065,0.19424252269081604,0.21292310503766573,0.9155056204507196,0.001050715334713459
0.3,0.0,0.14724803949166324,0.2821381686905153,0.2126764030193633,0.6558304397747085,0.003954912535846233
0.3,0.01,0.11028622032356392,0.3457047082794733,0.20938588611616238,0.5369563876822246,0.005031996872276068
0.3,0.02,0.08438370993054406,0.3733928929358875,0.21651919938149644,0.4961789999633235,0.004854027647525072
0.3,0.05,0.037211904039897596,0.3601506444595955,0.283562222005779,0.5083314523970042,0.0031328382901847363
0.3,0.1,0.01587616087102024,0.34000456586256755,0.3465489688760368,0.44294958372082355,0.0026390221901237965
0.4,-0.05,0.22459554510649146,0.20583425675893752,0.22562963281729084,0.9154336070232638,0.0010514813475310802
0.4,0.0,0.1408859770042732,0.294878831015144,0.22228034369801225,0.6557768513981469,0.0039551276713609695
0.4,0.01,0.1074495088308955,0.3548314556207695,0.2149137601475185,0.5368909578008412,0.005032219458371401
0.4,0.02,0.0831042902240978,0.3791414075334002,0.21985258842513847,0.49610603546591264,0.004854223225265741
0.4,0.05,0.03666461685668687,0.3655265585870568,0.2877949123500725,0.5082264745365779,0.003133045043796301
0.4,0.1,0.015591039954380654,0.34622239442076713,0.35288647810926,0.442820280835461,0.002639147685840726
0.5,-0.05,0.21228702011189787,0.21776295571212312,0.23870607919687675,0.9152767401729104,0.0010531364241614938
0.5,0.0,0.13462177381454335,0.3085911208033815,0.23261448994426945,0.6556515498061029,0.003955591004341841
0.5,0.01,0.10405826131815266,0.36638376426605984,0.22191777641035168,0.5367744858694256,0.005032248795032501
0.5,0.02,0.08117730775782603,0.38812656268603407,0.22507143707584237,0.4959742383596108,0.00485421484336257
0.5,0.05,0.03604846572327082,0.3717407332931162,0.2927139888732489,0.5080504559027259,0.003132993821054697
0.5,0.1,0.015179064392626,0.3555396370582617,0.3624641833810888,0.44257181614598134,0.00263913138769567
0.6,-0.05,0.19907601492777138,0.23219585019935793,0.25445596829693107,0.9145960245076126,0.0010609646560624242
0.6,0.0,0.12768101251753314,0.3253377994776882,0.24513644449490934,0.6549903123925847,0.003961216192692518
0.6,0.01,0.09990226151628753,0.38158929024924115,0.2310045833282945,0.5361628425625962,0.00503644160926342
0.6,0.02,0.07872840903736654,0.40015345661014345,0.23188828358781555,0.49533999236058296,0.004857948515564203
0.6,0.05,0.03534653668696744,0.37902040537307313,0.29815086987729433,0.5072881190034992,0.0031358322594314814
0.6,0.1,0.01468614348589316,0.36722606120434353,0.37372490950970716,0.4415142908888122,0.0026422671508044004
0.7,-0.05,0.18288332151370212,0.2526160025367297,0.2765431772539901,0.9123298664044258,0.0010873611317947507
0.7,0.0,0.1187903141041827,0.3494838545639461,0.2628731248410882,0.652636125871312,0.003982458263635635
0.7,0.01,0.09413822807015425,0.4047099589322382,0.2443916837782341,0.5337102478957753,0.005056156776845455
0.7,0.02,0.07506533014223427,0.41937456746012586,0.24233499106754863,0.4930484249889622,0.0048734997399151325
0.7,0.05,0.034428350684229794,0.3884619433624592,0.30445310032635015,0.5048802443375882,0.00314634433016181
0.7,0.1,0.014101403978886555,0.3809115832762166,0.3855380397532557,0.43863609137161735,0.0026509780436754227
0.8,-0.05,0.155486342587279,0.2958764248362458,0.31439249722220064,0.8804603885841742,0.0014715116703882813
0.8,0.0,0.1036813218012393,0.3986646313753365,0.2885608082126336,0.624630009508564,0.004273810423910618
0.8,0.01,0.08451902155200014,0.44862631864833186,0.26300065753737956,0.5148438112833978,0.0052246712148189545
0.8,0.02,0.06833478511427188,0.45808139740461795,0.2593614087196351,0.47967309144981357,0.004966720938682556
0.8,0.05,0.03182722638963223,0.415122988156696,0.3177194047980565,0.4900712510675772,0.00321360700763762
0.8,0.1,0.012983874962396658,0.40560156322694707,0.39890201916813994,0.424980248186676,0.00269669434055686
0.9,-0.05,0.07594243940274417,0.4217852654353394,0.3473011024674271,0.5930979568048727,0.0037570144049823284
0.9,0.0,0.05944891925883059,0.4815371796695592,0.32936370841546936,0.49616991888753165,0.004345381632447243
0.9,0.01,0.050779310369823576,0.5046037448549879,0.3174799552711094,0.45616953686492434,0.0044198413379490376
0.9,0.02,0.042550672390026086,0.5122089721749006,0.3170357751277683,0.4362644604010633,0.004216950852423906
0.9,0.05,0.022331250098161334,0.49421120969487126,0.3484094351871889,0.3980056662998687,0.0034144215751439333
0.9,0.1,0.009789554184451486,0.46883870171541403,0.3892385536221153,0.31881311228533826,0.0030397975351661444
