harm_target,policy,margin,gain,output_epe,coverage,exact_raw_fallback_frequency,intervention_precision,harmful_update_rate,harmful_update_rate_all_valid,clean_degradation,degraded_frame_fraction,worst_frame_degradation,gain_over_fixed_h4,valid_count,accepted_count,score_min,update_max,harm_max,gain_min
0.05,harm_mlp,0.1,0.0032705797348171473,0.3067343831062317,0.0052405762594987535,0.9947594237405012,0.13335462516694732,0.0488937924626909,0.000256231648016837,0.00029271301132815006,0.16197238658777122,0.046434691708463934,0.21052509546279907,6572178,34442,,,0.51,
0.1,harm_mlp,0.1,0.0033800031524151564,0.3066249489784241,0.006964205777749781,0.9930357942222502,0.1899497487437186,0.09449421018134149,0.0006580771245088006,0.0007474356305304366,0.19928994082840237,0.10546064376831055,0.2106345295906067,6572178,45770,,,0.5700000000000001,
0.15,harm_mlp,0.1,0.0035240023862570524,0.30648094415664673,0.009162868078131785,0.9908371319218682,0.24272666888077052,0.1400033211557622,0.001282831962250566,0.0014995671917238918,0.22777120315581853,0.13932291666666666,0.21077853441238403,6572178,60220,,,0.61,
0.05,joint_gain_risk,0.1,0.0032622392755001783,0.30674269795417786,0.004193434809586716,0.9958065651904133,0.1368287373004354,0.045283018867924525,0.00018989138760392674,0.00021444750027784255,0.11668639053254438,2.6361937628851995,0.2105167806148529,6572178,27560,,,0.49999999999999994,0.05
0.1,joint_gain_risk,0.1,0.0035050574224442244,0.3064998984336853,0.004653708405341426,0.9953462915946586,0.2872323034167075,0.09037109694294589,0.0004205607334433121,0.00048133289295939117,0.08717948717948718,2.7636844635009767,0.21075958013534546,6572178,30585,,,0.6,0.1
0.15,joint_gain_risk,0.1,0.003532403614372015,0.3064725399017334,0.006511387853463494,0.9934886121465365,0.27361312333504695,0.10651025844744591,0.0006935296031239568,0.0008452675193433211,0.15644970414201184,2.7636844635009767,0.21078693866729736,6572178,42794,,,0.6,0.05
0.05,logistic,0.1,0.0032822617795318365,0.3067227005958557,0.004475533072902165,0.9955244669270978,0.14856870877813286,0.045454545454545456,0.00020343332149555293,0.00015183509143759655,0.12370808678500986,2.8852116054958765,0.21053677797317505,6572178,29414,,,0.53,
0.1,logistic,0.1,0.0033151975367218256,0.3066897392272949,0.005312394156092547,0.9946876058439075,0.1796127627885662,0.0737526493670161,0.00039180314349367894,0.00028097318467060396,0.15266272189349112,2.8852116054958765,0.21056973934173584,6572178,34914,,,0.55,
0.15,logistic,0.1,0.0033151975367218256,0.3066897392272949,0.005312394156092547,0.9946876058439075,0.1796127627885662,0.0737526493670161,0.00039180314349367894,0.00028097318467060396,0.15266272189349112,2.8852116054958765,0.21056973934173584,6572178,34914,,,0.55,
0.05,magnitude_threshold,0.1,2.2722435460309498e-05,0.3099822402000427,0.003467343702498624,0.9965326562975014,0.0,0.0,0.0,0.0,0.14485207100591715,0.009761512279510498,0.20727723836898804,6572178,22788,,0.05,,
0.1,magnitude_threshold,0.1,2.2722435460309498e-05,0.3099822402000427,0.003467343702498624,0.9965326562975014,0.0,0.0,0.0,0.0,0.14485207100591715,0.009761512279510498,0.20727723836898804,6572178,22788,,0.05,,
0.15,magnitude_threshold,0.1,2.2722435460309498e-05,0.3099822402000427,0.003467343702498624,0.9965326562975014,0.0,0.0,0.0,0.0,0.14485207100591715,0.009761512279510498,0.20727723836898804,6572178,22788,,0.05,,
