policy,age,accepted_count,accepted_fraction
ungated,1,935996,0.21600941214264252
ungated,2,1079991,0.24924061751262253
ungated,4,1137799,0.26258156351788525
ungated,8,1179340,0.27216840682684973
score_threshold,1,44765,0.2559594261568634
score_threshold,2,31668,0.18107278247594216
score_threshold,4,30338,0.1734680458113911
score_threshold,8,68120,0.38949974555580336
magnitude_threshold,1,25852,0.37077088562208677
magnitude_threshold,2,19800,0.28397275008963785
magnitude_threshold,4,10509,0.1507206884187881
magnitude_threshold,8,13564,0.19453567586948728
logistic,1,93140,0.3004923247665813
logistic,2,78435,0.25305041328179945
logistic,4,54659,0.17634324650436511
logistic,8,83724,0.27011401544725416
harm_mlp,1,106845,0.3007075471698113
harm_mlp,2,101933,0.2868830774080245
harm_mlp,4,76447,0.21515456837933986
harm_mlp,8,70087,0.19725480704282433
joint_gain_risk,1,74765,0.26583111111111113
joint_gain_risk,2,62105,0.22081777777777778
joint_gain_risk,4,54150,0.19253333333333333
joint_gain_risk,8,90230,0.32081777777777776
