bin,valid_count,mean_delta,harmful_fraction
lt001,10214799,8.903120033210143e-05,0.0
001_005,3312541,0.0033999546431005,0.0
005_010,3000927,0.007697917986661196,0.0
010_050,9710872,0.01609821245074272,0.37751388340820474
ge050,1760467,-0.3680785000324249,0.4838710410362705
