policy,backbone,raw_epe,output_epe,gain,coverage,harmful_update_rate
ungated,S2M2-S,0.5845209698832459,0.5636078517930072,0.020913118090238693,0.15006789738398463,0.3604697654028876
ungated,RAFT-Stereo,0.5293643709274427,0.4780185708173193,0.05134580011012337,0.1665989871428905,0.35238619540009597
ungated,StereoAnywhere,0.5298926587741538,0.48979782817934264,0.040094830594811164,0.14760314841573127,0.33774653203736904
score_threshold,S2M2-S,0.5845209698832459,0.571651103625682,0.012869866257563832,0.00490099753546532,0.10672904551615583
score_threshold,RAFT-Stereo,0.5293643709274427,0.48486994333459194,0.04449442759285074,0.007806002698752261,0.22292224281106307
score_threshold,StereoAnywhere,0.5298926587741538,0.4983580148185313,0.03153464395562251,0.006031584873015713,0.12194905318506413
magnitude_threshold,S2M2-S,0.5845209698832459,0.5845249102831628,-3.9403999169438434e-06,0.0022973894704089765,0.0
magnitude_threshold,RAFT-Stereo,0.5293643709274427,0.5293666543751981,-2.283447755445561e-06,0.0026256798042086733,0.0
magnitude_threshold,StereoAnywhere,0.5298926587741538,0.5298934918121487,-8.33037994944625e-07,0.0025475715622569834,0.0
logistic,S2M2-S,0.5845209698832459,0.5703328969539838,0.014188072929262004,0.009863495936335676,0.10386929978926329
logistic,RAFT-Stereo,0.5293643709274427,0.4840891483827511,0.045275222544691615,0.012467961156310556,0.15501091384081261
logistic,StereoAnywhere,0.5298926587741538,0.49696812566851345,0.03292453310564038,0.010878795937342832,0.09631256524907912
harm_mlp,S2M2-S,0.5845209698832459,0.5748123263541463,0.009708643529099576,0.012080527133131801,0.1296230598669623
harm_mlp,RAFT-Stereo,0.5293643709274427,0.49590476618025725,0.03345960474718543,0.013710300066365219,0.16278397324184712
harm_mlp,StereoAnywhere,0.5298926587741538,0.5035889612937545,0.02630369748039928,0.012278851352408316,0.11507752986448634
joint_gain_risk,S2M2-S,0.5845209698832459,0.5702128314694013,0.014308138413844616,0.009565956035238497,0.13906654271345528
joint_gain_risk,RAFT-Stereo,0.5293643709274427,0.4846616909348689,0.04470267999257381,0.011258515566254753,0.1888026037800491
joint_gain_risk,StereoAnywhere,0.5298926587741538,0.4978708395825084,0.03202181919164541,0.009309881003325547,0.12240623309663831
