policy,sequence,raw_epe,output_epe,gain,coverage,harmful_update_rate
ungated,dataset_7_keyframe_1,0.15881384217916444,0.1539457477552396,0.004868094423924877,0.07924685761713243,0.30206938177219556
ungated,dataset_7_keyframe_2,0.2186893672102348,0.1947773749413755,0.023911992268859292,0.06560493157877689,0.4289166645012083
ungated,dataset_7_keyframe_3,1.2343028586595604,1.1254270933664483,0.10887576529311219,0.08985980843254403,0.2990810488912471
ungated,dataset_7_keyframe_4,0.38015573580220857,0.36775555331619725,0.012400182486011307,0.26894844161253545,0.37349112450603755
score_threshold,dataset_7_keyframe_1,0.15881384217916444,0.15841407472872357,0.000399767450440873,0.0005937877096193609,0.2926735711545838
score_threshold,dataset_7_keyframe_2,0.2186893672102348,0.19810441407650634,0.020584953133728448,0.008835858960392916,0.012155122515917422
score_threshold,dataset_7_keyframe_3,1.2343028586595604,1.1380881999352075,0.09621465872435288,0.01410259580433414,0.14202476329206118
score_threshold,dataset_7_keyframe_4,0.38015573580220857,0.37500240622497766,0.005153329577230933,0.004958167180154899,0.1990202886582459
magnitude_threshold,dataset_7_keyframe_1,0.15881384217916444,0.15881370652217525,1.3565698919715493e-07,0.0011013657345087917,0.0
magnitude_threshold,dataset_7_keyframe_2,0.2186893672102348,0.21869063237195593,-1.265161721139518e-06,0.0008268168234209077,0.0
magnitude_threshold,dataset_7_keyframe_3,1.2343028586595604,1.2343033113540256,-4.5269446519589475e-07,0.0016051240204945603,0.0
magnitude_threshold,dataset_7_keyframe_4,0.38015573580220857,0.38016157442381404,-5.838621605469242e-06,0.004365394429313385,0.0
logistic,dataset_7_keyframe_1,0.15881384217916444,0.15778314310985864,0.001030699069305815,0.0018515152633278805,0.09472259810554803
logistic,dataset_7_keyframe_2,0.2186893672102348,0.1949400329894194,0.02374933422081541,0.011768075323865002,0.04476314645806171
logistic,dataset_7_keyframe_3,1.2343028586595604,1.1362817672447176,0.09802109141484266,0.014900592759696145,0.12095552567528467
logistic,dataset_7_keyframe_4,0.38015573580220857,0.3739861628720562,0.006169572930152353,0.01575370357342398,0.12591927509436415
harm_mlp,dataset_7_keyframe_1,0.15881384217916444,0.15843247876642103,0.0003813634127434356,0.003505442940121509,0.1507098534810435
harm_mlp,dataset_7_keyframe_2,0.2186893672102348,0.20505314311509687,0.013636224095137938,0.00853070388535716,0.15627498001598722
harm_mlp,dataset_7_keyframe_3,1.2343028586595604,1.1614517644108024,0.072851094248758,0.01133845507130045,0.11193871274394676
harm_mlp,dataset_7_keyframe_4,0.38015573580220857,0.37433550896158174,0.00582022684062684,0.021413520132125975,0.14429060631344737
joint_gain_risk,dataset_7_keyframe_1,0.15881384217916444,0.15822839570964325,0.00058544646952121,0.001805848045921405,0.18395661222173174
joint_gain_risk,dataset_7_keyframe_2,0.2186893672102348,0.19782131375018627,0.02086805346004852,0.010458806622035606,0.05395273023634882
joint_gain_risk,dataset_7_keyframe_3,1.2343028586595604,1.1373243310033672,0.09697852765619323,0.014920881892519586,0.1222273214012544
joint_gain_risk,dataset_7_keyframe_4,0.38015573580220857,0.3738769857705607,0.006278750031647853,0.01317611920520434,0.17840697214531895
