raw_deviation,mad_max,fb_min,gain,coverage,harmful_fraction
0.1,0.1,0.25,0.0023890468236442983,0.25503535091231,0.06876233137414207
0.1,0.1,0.5,0.002262512008394955,0.24516989830986,0.06677434904116578
0.1,0.1,0.75,0.0018899122247655826,0.22218767236159337,0.06416236905638968
0.1,0.25,0.25,0.0040599012266812765,0.3917919620259371,0.17061130216348183
0.1,0.25,0.5,0.0036553869202663593,0.37761821233869486,0.17096195550802173
0.1,0.25,0.75,0.0025644295088623793,0.3435483340426887,0.17386895176391798
0.1,0.5,0.25,0.008086733823639216,0.4214930652364914,0.17702124355868842
0.1,0.5,0.5,0.007502471775982448,0.406244182582196,0.17746169407262982
0.1,0.5,0.75,0.006131832652858997,0.3699866859599235,0.1801588947023865
0.1,1.0,0.25,0.008206914399269478,0.42210938915386664,0.17717053446788916
0.1,1.0,0.5,0.0076052025890391665,0.40674999858771305,0.1775810699450466
0.1,1.0,0.75,0.0061888741820733005,0.37032897897396627,0.1802608319404974
0.25,0.1,0.25,0.0011281846527692718,0.01924938620308437,0.3442146837868238
0.25,0.1,0.5,0.0010358416324321696,0.017528682225553392,0.34125165451558803
0.25,0.1,0.75,0.0007799793292024743,0.014111949143612806,0.34703222023183145
0.25,0.25,0.25,0.0032976078653411123,0.09847876006381988,0.40990753248507333
0.25,0.25,0.5,0.0029453970336697903,0.09416029829163157,0.4127158917344938
0.25,0.25,0.75,0.002039435412540687,0.08394603442764506,0.4255757885667832
0.25,0.5,0.25,0.007322719237570227,0.1279224586255185,0.3758613371127426
0.25,0.5,0.5,0.006791354923361989,0.12257126083519307,0.3781303501984511
0.25,0.5,0.75,0.005606627185830532,0.1102419673605086,0.38656578903169947
0.25,1.0,0.25,0.007443066459518886,0.12852636953244914,0.3754140091996001
0.25,1.0,0.5,0.006894212049604685,0.12306814022892879,0.37771301263534357
0.25,1.0,0.75,0.005663706428184207,0.11057881905490437,0.38627941414920464
0.5,0.1,0.25,0.0005162772687459461,0.0017899863356749712,0.25343832131811994
0.5,0.1,0.5,0.0004612343329611414,0.0014728594249995045,0.24096926471342808
0.5,0.1,0.75,0.00033844265749838315,0.000996366086468955,0.23539896844660194
0.5,0.25,0.25,0.002099975979372354,0.008622961269310237,0.28420745882440585
0.5,0.25,0.5,0.0018654420432137797,0.007863727137317766,0.2833758595337975
0.5,0.25,0.75,0.001366996687013329,0.00652612607118187,0.291934097047916
0.5,0.5,0.25,0.005937638214596653,0.0340105339036063,0.25801932203446326
0.5,0.5,0.5,0.005544175297168792,0.03246759859468096,0.2584197675122319
0.5,0.5,0.75,0.004798285103432638,0.029519064617503473,0.2581299863350817
0.5,1.0,0.25,0.006057264643246537,0.03458332726380577,0.2582496648343183
0.5,1.0,0.5,0.005646442998778234,0.032939973156534276,0.2585327550190484
0.5,1.0,0.75,0.004854808907260065,0.029839063335770404,0.2584320459536057
1.0,0.1,0.25,0.00028732019074796363,0.00026054096504108944,0.2540971718636693
1.0,0.1,0.5,0.00026127279183171766,0.00021156908821828277,0.24495445615288444
1.0,0.1,0.75,0.00019996921660201604,0.00013752557538318275,0.24234098090397033
1.0,0.25,0.25,0.001249287724261722,0.0005178889334837782,0.2216263543832768
1.0,0.25,0.5,0.0010851983161212868,0.0004254998603111222,0.21584299098619067
1.0,0.25,0.75,0.0007468765657668878,0.0002726705734208124,0.2254018847006652
1.0,0.5,0.25,0.0015107417568801565,0.0008096608060820048,0.2056050777056984
1.0,0.5,0.5,0.0013104573477341636,0.0006630663646205246,0.20148169254879614
1.0,0.5,0.75,0.0008918450616833568,0.00043674147555401184,0.21037376708773145
1.0,1.0,0.25,0.0015807346682092523,0.0010548980596159672,0.21954364724003295
1.0,1.0,0.5,0.0013723523218172337,0.0008621279750391553,0.21257478468584953
1.0,1.0,0.75,0.00092357391552492,0.0005678054838564076,0.2242704555285662
2.0,0.1,0.25,0.00023399213266657142,7.020813822282003e-05,0.2147470398277718
2.0,0.1,0.5,0.00021740390499020402,5.7738447365160936e-05,0.19404450261780104
2.0,0.1,0.75,0.00017568769300034876,4.033756057742755e-05,0.13208430913348945
2.0,0.25,0.25,0.001154805331995411,0.0001819441256958442,0.1356178608515057
2.0,0.25,0.5,0.001007324022887069,0.00015137448962358293,0.12618572141787318
2.0,0.25,0.75,0.0007048578737345366,0.00010007871586821253,0.10326599962242779
2.0,0.5,0.25,0.001332022270656501,0.00023794437372933141,0.15674130538351597
2.0,0.5,0.5,0.0011636465723396429,0.00019736119802894996,0.15288148573616694
2.0,0.5,0.75,0.0007999327349922217,0.00012399785014972225,0.14901721773579155
2.0,1.0,0.25,0.001346323668766742,0.00027038446343024153,0.18726853469359234
2.0,1.0,0.5,0.001177597241943857,0.00022315078593910858,0.17915502497671662
2.0,1.0,0.75,0.0008025259192384507,0.00013709102555026432,0.1819184123484013
