probability_threshold,error_threshold_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_a2_epe,SCARED-C_refined_epe,SCARED-C_epe_gain,SCARED-C_retained_a2_gain,SCARED-C_intervention_coverage,SCARED-C_intervention_precision,SCARED-C_false_update_rate,SCARED-C_clean_degradation,D4D_raw_epe,D4D_a2_epe,D4D_refined_epe,D4D_epe_gain,D4D_retained_a2_gain,D4D_intervention_coverage,D4D_intervention_precision,D4D_false_update_rate,D4D_clean_degradation
0.5,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,1.0,0.19187043607234955,0.18235889077186584,0.18974539637565613,0.0021250396966934204,0.22341687176586889,0.00491725655124348,0.8294563159318367,0.0013683524008048804,0.0007043399298858455,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,2.0,0.19187043607234955,0.18235889077186584,0.18889357149600983,0.0029768645763397217,0.3129738104899038,0.00886489448580952,0.7584396099024756,0.002225658554357938,0.001191050641554248,0.882704496383667,0.8472868204116821,0.8829061985015869,-0.00020170211791992188,-0.005694956328570707,0.00044777790216052836,0.0,0.0004623208506703652,0.0004623208506703652
0.5,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,1.0,0.19187043607234955,0.18235889077186584,0.18974539637565613,0.0021250396966934204,0.22341687176586889,0.00491725655124348,0.8294563159318367,0.0013683524008048804,0.0007043399298858455,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,2.0,0.19187043607234955,0.18235889077186584,0.18889357149600983,0.0029768645763397217,0.3129738104899038,0.00886489448580952,0.7584396099024756,0.002225658554357938,0.001191050641554248,0.882704496383667,0.8472868204116821,0.8829061985015869,-0.00020170211791992188,-0.005694956328570707,0.00044777790216052836,0.0,0.0004623208506703652,0.0004623208506703652
0.5,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
