evaluation_scope,backbone,backbone_status,reference_status,verdict,metric_family,raw,refined,absolute_gain,relative_gain_pct,support_or_scope,secondary_metrics,tail_caveat,source_artifact_sha256
SCARED-C D7,S2M2-S,seen,GT EPE,PASS,macro-sequence EPE px,0.517636,0.500711,0.016925,3.269661,4 sequences,frozen canonical H4; oracle excluded,,5020bb6e0a6aa85d1fe239f14c08837c79164717d5847e197886514b6a6a8ec4
SCARED-C D7,RAFT-Stereo,seen,GT EPE,PASS,macro-sequence EPE px,0.467081,0.438697,0.028384,6.076816,4 sequences,frozen canonical H4; oracle excluded,,5020bb6e0a6aa85d1fe239f14c08837c79164717d5847e197886514b6a6a8ec4
SCARED-C D7,StereoAnywhere,seen,GT EPE,PASS,macro-sequence EPE px,0.477363,0.444677,0.032686,6.847246,4 sequences,frozen canonical H4; oracle excluded,,5020bb6e0a6aa85d1fe239f14c08837c79164717d5847e197886514b6a6a8ec4
SCARED-C D7,CREStereo,unseen,GT EPE,PASS,macro-sequence EPE px,0.516463,0.495546,0.020917,4.050014,4 sequences,attested unseen-backbone gate PASS; oracle excluded,,5020bb6e0a6aa85d1fe239f14c08837c79164717d5847e197886514b6a6a8ec4
SCARED-C D7,Fast-FoundationStereo,unseen,GT EPE,PASS,macro-sequence EPE px,0.481884,0.466751,0.015133,3.140407,4 sequences,attested unseen-backbone gate PASS; oracle excluded,,5020bb6e0a6aa85d1fe239f14c08837c79164717d5847e197886514b6a6a8ec4
D4D,RAFT-Stereo,external,NO_REFERENCE_DIAGNOSTIC,NOT_CONFIRMED,motion-compensated inconsistency px,0.509406,0.245049,0.264357,51.895095,equal-frame mean,"update magnitude=0.273956 px; support=0.975171",No GT accuracy claim,7ba05dfe70626bc692cd02dc6254e019bbffdd353872655e8947d47ab68afdd7
D4D,StereoAnywhere,external,NO_REFERENCE_DIAGNOSTIC,NOT_CONFIRMED,motion-compensated inconsistency px,6.927071,3.151616,3.775455,54.502910,equal-frame mean,"update magnitude=3.146774 px; support=0.975167",No GT accuracy claim,7ba05dfe70626bc692cd02dc6254e019bbffdd353872655e8947d47ab68afdd7
DRENDS,RAFT-Stereo,external,APPLICABLE_WITH_CAVEAT,NOT_CONFIRMED,spatial ToF-reference pilot,"disparity EPE=1.137046 px; depth AbsRel=0.106635; depth MAE=14.358125 mm","disparity EPE=1.084080 px; depth AbsRel=0.103120; depth MAE=13.899674 mm","disparity EPE=0.052966 px; depth AbsRel=0.003516; depth MAE=0.458450 mm","4.658204; 3.297106; 3.192969",1499 eligible frames,"disp RMSE 1.320485->1.269520; P95 2.213934->2.068840; P99 3.560946->3.302048; max 29.032969->1000; invalid 0->3.419e-08 | depth RMSE 16.631372->17.995695; P95 28.452797->26.813790; P99 46.154083->45.111319; max 130.838175->10000; invalid 0->3.419e-08",Single non-independent ToF-reference pilot; refined catastrophic maxima and worse depth RMSE,9d65d8a4fb14e847b0bc6b56d04ef8d3cbff56d672994d04ee6030643e4d87fb
SERV-CT,RAFT-Stereo and StereoAnywhere,N/A,NOT_APPLICABLE,N/A,temporal H4,N/A,N/A,N/A,N/A,static stereo pairs,no temporal adjacency,N/A,7c1f4e400e35cac48951cf1959b286d76dffdd4f865c0f873ebe5d38de1c92c7
Joint unseen-backbone plus external OOD,N/A,unavailable,N/A,UNAVAILABLE,transfer claim,N/A,N/A,N/A,N/A,no completed intersecting evaluation,N/A,N/A,
