prefix,count,parent_frame,child_frame,schema,direction,units,applied_calibration
polaris_spectra_to_camera_optical,759,polaris_spectra,camera_optical,"timestamp, parent_frame, child_frame, transform{translation xyz, rotation xyzw}",T maps child->parent (p_parent = T @ p_child); translation = child origin in parent,metres; quaternion xyzw; right-handed,8700339__TO__camera_optical__20250306_162047.yaml
polaris_spectra_to_polaris_spectra_MiRe44,426,polaris_spectra,polaris_spectra/MiRe44.rom,"timestamp, parent_frame, child_frame, transform{translation xyz, rotation xyzw}",T maps child->parent (p_parent = T @ p_child); translation = child origin in parent,metres; quaternion xyzw; right-handed,
polaris_spectra_to_polaris_spectra_MiRe45,804,polaris_spectra,polaris_spectra/MiRe45.rom,"timestamp, parent_frame, child_frame, transform{translation xyz, rotation xyzw}",T maps child->parent (p_parent = T @ p_child); translation = child origin in parent,metres; quaternion xyzw; right-handed,
polaris_to_MiRe45,1089,polaris,MiRe45.rom,"timestamp, parent_frame, child_frame, transform{translation xyz, rotation xyzw}",T maps child->parent (p_parent = T @ p_child); translation = child origin in parent,metres; quaternion xyzw; right-handed,
polaris_to_zivid_optical_frame,1007,polaris,zivid_optical_frame,"timestamp, parent_frame, child_frame, transform{translation xyz, rotation xyzw}",T maps child->parent (p_parent = T @ p_child); translation = child origin in parent,metres; quaternion xyzw; right-handed,8700449__TO__zivid_optical_frame__20250306_160122.yaml
