stage,backbone,oracle_family,oracle_type,support_contract,row_count,base_count,support_count,raw_error_sum,oracle_error_sum,support_coverage,raw_epe,oracle_epe,oracle_gain
test,RAFT-Stereo,current_plus_one_step_raw,convex,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,4287814.396461487,1.0,0.5291556309709696,0.4588949524359073,0.07026067853506235
test,RAFT-Stereo,current_plus_one_step_raw,convex,strict_intersection,4024,9343782.0,9256312.0,4882014.610861778,4225514.148469925,0.9906386942674819,0.5274254596065666,0.4565008340762417,0.07092462553032491
test,RAFT-Stereo,current_plus_one_step_raw,selection,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,4370263.9756240845,1.0,0.5291556309709696,0.46771895744400765,0.06143667352696197
test,RAFT-Stereo,current_plus_one_step_raw,selection,strict_intersection,4024,9343782.0,9256312.0,4882014.610861778,4307963.733294487,0.9906386942674819,0.5274254596065666,0.46540822449529434,0.06201723511127227
test,RAFT-Stereo,current_plus_raw_anchors,convex,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,3230557.5707626343,1.0,0.5291556309709696,0.345744107767351,0.18341152320361864
test,RAFT-Stereo,current_plus_raw_anchors,convex,strict_intersection,4024,9343782.0,9007017.0,4677752.506598473,3021742.052793503,0.9639583843030585,0.5193453622435122,0.33548754851839435,0.1838578137251179
test,RAFT-Stereo,current_plus_raw_anchors,selection,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,3424816.9693489075,1.0,0.5291556309709696,0.3665343400936481,0.16262129087732152
test,RAFT-Stereo,current_plus_raw_anchors,selection,strict_intersection,4024,9343782.0,9007017.0,4677752.506598473,3209662.179315567,0.9639583843030585,0.5193453622435122,0.35635129580809793,0.1629940664354143
test,RAFT-Stereo,current_plus_short_corrected,convex,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,3797076.521487236,1.0,0.5291556309709696,0.4063746908358132,0.12278094013515645
test,RAFT-Stereo,current_plus_short_corrected,convex,strict_intersection,4024,9343782.0,9222484.0,4849934.8424806595,3712936.342476845,0.9870183187064938,0.5258816217496999,0.4025961272989842,0.12328549445071568
test,RAFT-Stereo,current_plus_short_corrected,selection,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,3917446.535949707,1.0,0.5291556309709696,0.41925705629152166,0.10989857467944797
test,RAFT-Stereo,current_plus_short_corrected,selection,strict_intersection,4024,9343782.0,9222484.0,4849934.8424806595,3830622.622431755,0.9870183187064938,0.5258816217496999,0.41535692796341583,0.11052469378628405
test,RAFT-Stereo,full_hybrid_bank,convex,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,3189141.8301324844,1.0,0.5291556309709696,0.3413116691006366,0.18784396187033303
test,RAFT-Stereo,full_hybrid_bank,convex,strict_intersection,4024,9343782.0,9007017.0,4677752.506598473,2992537.4438667297,0.9639583843030585,0.5193453622435122,0.33224511998442213,0.1871002422590901
test,RAFT-Stereo,full_hybrid_bank,selection,availability_aware,4024,9343782.0,9343782.0,4944314.859865189,3371072.750305176,1.0,0.5291556309709696,0.36078247012881676,0.16837316084215287
test,RAFT-Stereo,full_hybrid_bank,selection,strict_intersection,4024,9343782.0,9007017.0,4677752.506598473,3164402.461238861,0.9639583843030585,0.5193453622435122,0.3513263560220727,0.16801900622143956
test,S2M2-S,current_plus_one_step_raw,convex,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,5053214.820516586,1.0,0.5843207825575645,0.5408104363432907,0.04351034621427374
test,S2M2-S,current_plus_one_step_raw,convex,strict_intersection,4024,9343782.0,9256312.0,5390045.166145325,4983493.99600029,0.9906386942674819,0.5823102296190237,0.5383887228520701,0.04392150676695361
test,S2M2-S,current_plus_one_step_raw,selection,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,5081671.330777168,1.0,0.5843207825575645,0.5438559387170172,0.04046484384054727
test,S2M2-S,current_plus_one_step_raw,selection,strict_intersection,4024,9343782.0,9256312.0,5390045.166145325,5011950.5153265,0.9906386942674819,0.5823102296190237,0.5414630054957633,0.04084722412326036
test,S2M2-S,current_plus_raw_anchors,convex,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,4258515.553469658,1.0,0.5843207825575645,0.455759301048511,0.1285614815090535
test,S2M2-S,current_plus_raw_anchors,convex,strict_intersection,4024,9343782.0,9007017.0,5156891.847399712,4002332.296582222,0.9639583843030585,0.5725415914502784,0.4443571380604946,0.1281844533897838
test,S2M2-S,current_plus_raw_anchors,selection,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,4373035.253951073,1.0,0.5843207825575645,0.4680155480886725,0.11630523446889196
test,S2M2-S,current_plus_raw_anchors,selection,strict_intersection,4024,9343782.0,9007017.0,5156891.847399712,4113621.517170906,0.9639583843030585,0.5725415914502784,0.45671297358169816,0.11582861786858023
test,S2M2-S,current_plus_short_corrected,convex,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,4695556.813418388,1.0,0.5843207825575645,0.5025327874107496,0.0817879951468149
test,S2M2-S,current_plus_short_corrected,convex,strict_intersection,4024,9343782.0,9222484.0,5353731.804381371,4598763.842285156,0.9870183187064938,0.5805086573618746,0.49864698515987194,0.08186167220200269
test,S2M2-S,current_plus_short_corrected,selection,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,4752604.939561844,1.0,0.5843207825575645,0.5086382515732756,0.0756825309842889
