stage,sequence,oracle_family,oracle_type,support_contract,row_count,base_count,support_count,raw_error_sum,oracle_error_sum,support_coverage,raw_epe,oracle_epe,oracle_gain
test,dataset_7_keyframe_1,current_plus_one_step_raw,convex,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,1178799.4816741943,1.0,0.15886099512645963,0.1339977160443232,0.024863279082136425
test,dataset_7_keyframe_1,current_plus_one_step_raw,convex,strict_intersection,1917,8797161.0,8751054.0,1388467.956604004,1169741.6887435913,0.9947588773241731,0.1586629400988731,0.13366866308259454,0.02499427701627857
test,dataset_7_keyframe_1,current_plus_one_step_raw,selection,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,1198300.490310669,1.0,0.15886099512645963,0.13621445490319764,0.022646540223261985
test,dataset_7_keyframe_1,current_plus_one_step_raw,selection,strict_intersection,1917,8797161.0,8751054.0,1388467.956604004,1189242.6938781738,0.9947588773241731,0.1586629400988731,0.1358970809548397,0.022765859144033396
test,dataset_7_keyframe_1,current_plus_raw_anchors,convex,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,812384.4008102417,1.0,0.15886099512645963,0.09234620132679641,0.06651479379966321
test,dataset_7_keyframe_1,current_plus_raw_anchors,convex,strict_intersection,1917,8797161.0,8650266.0,1367183.4701080322,790370.3534851074,0.9833019993609302,0.1580510322004008,0.09136948545687583,0.06668154674352496
test,dataset_7_keyframe_1,current_plus_raw_anchors,selection,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,862287.9439239502,1.0,0.15886099512645963,0.0980188885850731,0.060842106541386526
test,dataset_7_keyframe_1,current_plus_raw_anchors,selection,strict_intersection,1917,8797161.0,8650266.0,1367183.4701080322,839369.7962265015,0.9833019993609302,0.1580510322004008,0.09703398672670892,0.06101704547369187
test,dataset_7_keyframe_1,current_plus_short_corrected,convex,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,1064180.8656463623,1.0,0.15886099512645963,0.12096866996595405,0.03789232516050557
test,dataset_7_keyframe_1,current_plus_short_corrected,convex,strict_intersection,1917,8797161.0,8739141.0,1385944.8781280518,1053334.2551574707,0.9934046904450197,0.15859051571865607,0.12053063969988248,0.038059876018773586
test,dataset_7_keyframe_1,current_plus_short_corrected,selection,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,1088262.7101745605,1.0,0.15886099512645963,0.12370612634855274,0.035154868777906884
test,dataset_7_keyframe_1,current_plus_short_corrected,selection,strict_intersection,1917,8797161.0,8739141.0,1385944.8781280518,1077288.7929840088,0.9934046904450197,0.15859051571865607,0.12327170290352436,0.0353188128151317
test,dataset_7_keyframe_1,full_hybrid_bank,convex,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,809134.5108909607,1.0,0.15886099512645963,0.09197677647265529,0.06688421865380434
test,dataset_7_keyframe_1,full_hybrid_bank,convex,strict_intersection,1917,8797161.0,8650266.0,1367183.4701080322,787264.9367790222,0.9833019993609302,0.1580510322004008,0.09101048878485613,0.06704054341554466
test,dataset_7_keyframe_1,full_hybrid_bank,selection,availability_aware,1917,8797161.0,8797161.0,1397525.7507476807,853690.5425643921,1.0,0.15886099512645963,0.09704159586989394,0.06181939925656568
test,dataset_7_keyframe_1,full_hybrid_bank,selection,strict_intersection,1917,8797161.0,8650266.0,1367183.4701080322,830857.1480560303,0.9833019993609302,0.1580510322004008,0.0960498958131496,0.06200113638725119
