target,method,auroc,auprc,prevalence,count
raw_current_error,median_mad,0.6640099028756429,0.053686629967943544,0.023251488095238096,32256
raw_current_error,isolation_forest,0.6556922490954105,0.036467122056366395,0.023251488095238096,32256
temporal_memory_failure,median_mad,0.6989911732475721,0.6249451658441317,0.38649271630447196,192622
temporal_memory_failure,isolation_forest,0.8124615477956301,0.6825521210352682,0.38649271630447196,192622
harmful_corrected_update,median_mad,0.6319702664813935,0.45423135183329433,0.3272978769699419,64342
harmful_corrected_update,isolation_forest,0.8284674700252919,0.6063106676086207,0.3272978769699419,64342
