stage,candidate,age,provenance,row_count,base_count,available_count,coverage
test,CF1,1,corrected,12072,28031346.0,27768936.0,0.9906386942674819
test,CF2,2,corrected,12072,28031346.0,27676401.0,0.9873375684492639
test,CS1,1,raw,12072,28031346.0,27768936.0,0.9906386942674819
test,CS2,2,raw,12072,28031346.0,27676401.0,0.9873375684492639
test,CS4,4,raw,12072,28031346.0,27467736.0,0.9798935805651288
test,CS8,8,raw,12072,28031346.0,27061518.0,0.9654020181549612
validation,CF1,1,corrected,12675,52954404.0,52554039.0,0.9924394390313599
validation,CF2,2,corrected,12675,52954404.0,52367130.0,0.9889098175857102
validation,CS1,1,raw,12675,52954404.0,52554039.0,0.9924394390313599
validation,CS2,2,raw,12675,52954404.0,52367130.0,0.9889098175857102
validation,CS4,4,raw,12675,52954404.0,51972735.0,0.981461995115647
validation,CS8,8,raw,12675,52954404.0,51188235.0,0.966647363267463
