stage,oracle_family,oracle_type,support_contract,row_count,base_count,support_count,raw_error_sum,oracle_error_sum,support_coverage,raw_epe,oracle_epe,oracle_gain
test,current_plus_one_step_raw,convex,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,13732607.755856514,1.0,0.5477315470580766,0.4899018318940701,0.05782971516400648
test,current_plus_one_step_raw,convex,strict_intersection,12072,28031346.0,27768936.0,15159475.548983574,13538430.799397469,0.9906386942674819,0.5459148866554907,0.4875386942948577,0.05837619236063302
test,current_plus_one_step_raw,selection,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,13885920.140473366,1.0,0.5477315470580766,0.49537115129874126,0.05236039575933532
test,current_plus_one_step_raw,selection,strict_intersection,12072,28031346.0,27768936.0,15159475.548983574,13691743.21227932,0.9906386942674819,0.5459148866554907,0.4930596985163321,0.052855188139158626
test,current_plus_raw_anchors,convex,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,11009232.955032349,1.0,0.5477315470580766,0.3927472107487221,0.1549843363093545
test,current_plus_raw_anchors,convex,strict_intersection,12072,28031346.0,27021051.0,14534459.106568336,10338030.122707367,0.9639583843030585,0.5378939222818659,0.38259171054106544,0.1553022117408005
test,current_plus_raw_anchors,selection,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,11442606.281232834,1.0,0.5477315470580766,0.40820752172346036,0.13952402533461622
test,current_plus_raw_anchors,selection,strict_intersection,12072,28031346.0,27021051.0,14534459.106568336,10758805.06488514,0.9639583843030585,0.5378939222818659,0.39816382659894095,0.139730095682925
test,current_plus_short_corrected,convex,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,12481362.871695518,1.0,0.5477315470580766,0.4452644861112099,0.1024670609468667
test,current_plus_short_corrected,convex,strict_intersection,12072,28031346.0,27667452.0,15062632.173641205,12215605.985546112,0.9870183187064938,0.544417034631205,0.441515394534564,0.10290164009664104
test,current_plus_short_corrected,selection,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,12726508.79738617,1.0,0.5477315470580766,0.4540099072440606,0.09372163981401599
test,current_plus_short_corrected,selection,strict_intersection,12072,28031346.0,27667452.0,15062632.173641205,12454189.521425247,0.9870183187064938,0.544417034631205,0.4501386510555886,0.09427838357561646
test,full_hybrid_bank,convex,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,10898339.08447361,1.0,0.5477315470580766,0.38879114418813887,0.1589404028699377
test,full_hybrid_bank,convex,strict_intersection,12072,28031346.0,27021051.0,14534459.106568336,10260268.145394325,0.9639583843030585,0.5378939222818659,0.3797138810549717,0.15818004122689422
test,full_hybrid_bank,selection,availability_aware,12072,28031346.0,28031346.0,15353652.510700226,11305396.086820602,1.0,0.5477315470580766,0.40331263746024193,0.14441890959783465
test,full_hybrid_bank,selection,strict_intersection,12072,28031346.0,27021051.0,14534459.106568336,10644427.963534355,0.9639583843030585,0.5378939222818659,0.39393093790224354,0.1439629843796224
validation,current_plus_one_step_raw,convex,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,14923494.89953661,1.0,0.31075116464640945,0.28181782386856075,0.028933340777848704
validation,current_plus_one_step_raw,convex,strict_intersection,12675,52954404.0,52554039.0,16265723.480443,14733575.684211731,0.9924394390313599,0.3095047267526479,0.28035096758617795,0.02915375916646995
validation,current_plus_one_step_raw,selection,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,14987144.391642094,1.0,0.31075116464640945,0.28301979173709696,0.02773137290931249
validation,current_plus_one_step_raw,selection,strict_intersection,12675,52954404.0,52554039.0,16265723.480443,14797225.174568176,0.9924394390313599,0.3095047267526479,0.28156209220319256,0.027942634549455336
validation,current_plus_raw_anchors,convex,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,11083616.838707447,1.0,0.31075116464640945,0.20930491142356067,0.10144625322284878
validation,current_plus_raw_anchors,convex,strict_intersection,12675,52954404.0,51114633.0,15606728.52584219,10322978.08152771,0.9652574505417907,0.3053279972848908,0.20195739410919197,0.10337060317569882
validation,current_plus_raw_anchors,selection,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,11593756.608997822,1.0,0.31075116464640945,0.21893847788368692,0.09181268676272253
validation,current_plus_raw_anchors,selection,strict_intersection,12675,52954404.0,51114633.0,15606728.52584219,10827260.067902565,0.9652574505417907,0.3053279972848908,0.2118231009875893,0.09350489629730149
validation,current_plus_short_corrected,convex,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,13313098.336163998,1.0,0.31075116464640945,0.251406820406552,0.05934434423985746
validation,current_plus_short_corrected,convex,strict_intersection,12675,52954404.0,52355571.0,16167701.624590874,13037286.041778088,0.9886915354575608,0.3088057548754625,0.24901430340198347,0.05979145147347906
validation,current_plus_short_corrected,selection,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,13603760.539058208,1.0,0.31075116464640945,0.25689573503760343,0.053855429608806016
validation,current_plus_short_corrected,selection,strict_intersection,12675,52954404.0,52355571.0,16167701.624590874,13327201.547489643,0.9886915354575608,0.3088057548754625,0.2545517371492261,0.05425401772623645
validation,full_hybrid_bank,convex,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,11068687.662173271,1.0,0.31075116464640945,0.20902298630673422,0.10172817833967523
validation,full_hybrid_bank,convex,strict_intersection,12675,52954404.0,51114633.0,15606728.52584219,10309300.707859993,0.9652574505417907,0.3053279972848908,0.20168981175821007,0.10363818552668072
validation,full_hybrid_bank,selection,availability_aware,12675,52954404.0,52954404.0,16455642.716156483,11518365.329863071,1.0,0.31075116464640945,0.21751477610555434,0.09323638854085511
validation,full_hybrid_bank,selection,strict_intersection,12675,52954404.0,51114633.0,15606728.52584219,10752905.018602371,0.9652574505417907,0.3053279972848908,0.21036842852030985,0.09495956876458095
