stage,row_count,base_count,corrected_wins_all_raw_anchors_lose_count,raw_anchor_wins_corrected_lose_count,far_raw_recovers_short_corrected_failure_count,current_raw_remains_best_count,both_provenances_offer_gain_count,corrected_wins_all_raw_anchors_lose_fraction,raw_anchor_wins_corrected_lose_fraction,far_raw_recovers_short_corrected_failure_fraction,current_raw_remains_best_fraction,both_provenances_offer_gain_fraction
test,12072,28031346.0,238061.0,4018406.0,2543895.0,6889437.0,16885442.0,0.008492671026214723,0.14335401518000598,0.09075179622127315,0.24577617500065818,0.602377138793121
validation,12675,52954404.0,179738.0,5474249.0,3068212.0,18324685.0,28975732.0,0.003394203058163019,0.10337665210999258,0.05794063889379248,0.3460464780228666,0.5471826668089778
