age,historical_only_count,recurrent_only_count,raw_epe,historical_memory_epe,recurrent_memory_epe,fused_epe,historical_selection_oracle_epe,recurrent_selection_oracle_epe,convex_fusion_oracle_epe,historical_selection_gain,recurrent_selection_gain,convex_fusion_gain,fused_gain,endpoint_selection_gain,beyond_endpoint_gain_signed,interpolation_advantage,recurrent_candidate_improvement,gt_between_endpoint_fraction,fused_better_than_both_fraction,fused_worse_than_both_fraction,harmful_update_rate,clean_pixel_degradation,reset_mean,fusion_mean,temporal_weight_mean,temporal_weight_p95,recurrent_raw_difference_mean,delta_fusion_mean,delta_fusion_p95,w_star_mean,temporal_valid_count,reset,pre_reset,evidence_reset,state_age_before,accumulated_update_before,disagreement_mean,warp_support_fraction,fb_confidence_mean,decision_temporal_activation,decision_update_magnitude,historical_selection_normalized_gain,recurrent_selection_normalized_gain,convex_fusion_normalized_gain,frames_worsened_fraction,worst_frame_degradation
1,0.0,0.0,0.5678332648781932,0.5637861473479551,0.5637861473479551,0.553382938774597,0.5194970290150758,0.5194970290150758,0.5152888296965482,0.04833622981837517,0.04833622981837517,0.052544431431987115,0.014450320767314714,0.04833622981837517,-0.033885909332397955,0.000605882690434785,0.0,0.1121205184033126,0.05020679440439657,0.0017719898494337287,0.015384660111727878,0.016492899295379622,0.6227129690721638,0.4202626323447276,0.34014165287636483,0.8606200309378673,0.10104176765945863,0.035265157359098735,0.1475712246080584,0.5313815189724316,3608.98829223959,1.0,1.0,0.0,0.0,0.0,0.13975732165178373,0.9825774921713699,0.907984958644218,0.39383115494445997,0.05876088257408994,0.29895423829314427,0.29895423829314427,0.27501145932122295,0.2744874715261959,0.1622711718082428
2,0.0,0.0,0.5669229803683998,0.566386968073217,0.5534488055754383,0.5468483229277681,0.521108260231689,0.5113663934246672,0.5066398697019445,0.04581471719611527,0.055556587338566624,0.0602831063224851,0.020074656554229527,0.055556587338566624,-0.03548193048267709,0.0006839258675020871,0.012938164735339739,0.11895294400241525,0.054721582707859776,0.001726851327857534,0.024078730965897195,0.031247639276889356,0.6410156087961625,0.4515908738869626,0.3733667496601271,0.8844152607233995,0.1070920592839274,0.04760751218017904,0.19235179535255512,0.5394600343392499,3587.4018124430904,0.0,0.0,0.0,1.0,0.05873100440892598,0.1619027163097661,0.9824555609892871,0.907451025927194,0.4234202837215702,0.0829460743069406,0.43817047845777607,0.3613371071893391,0.33300633923606965,0.2661290322580645,0.10520236194133759
3,0.0,0.0,0.5746500522673005,0.5649343176302406,0.5476651362313741,0.5476148070236555,0.521285227406427,0.5070097693123605,0.5010932136851782,0.053364826698559395,0.06764028455630201,0.07355683855223663,0.02703524366185176,0.06764028455630201,-0.04060504038746176,0.0007254582452495606,0.01726917887724697,0.13075912535364426,0.05930690128039148,0.001707261451967752,0.03351731921164709,0.04666273279285549,0.6433868667714804,0.46191560673460447,0.3849113708685973,0.888585477007279,0.12012878265024933,0.05997041843627207,0.24926931659548368,0.5433730810715787,3568.152609389644,0.0,0.0,0.0,2.0,0.14155674935929002,0.1852745470079497,0.9823123696820417,0.9065093580981387,0.44457101584447234,0.11007646934520449,0.5066116641690807,0.399691453683172,0.36754221896924777,0.24597701149425288,0.12444040179252625
4,0.0,0.0,0.5724962774100509,0.572872017725399,0.5492491723595225,0.5450068462080657,0.5262189489088358,0.5047652419115238,0.4982304714463065,0.046277331557087256,0.06773103511856723,0.07426580905802778,0.02748943135816405,0.06773103511856723,-0.04024160443806876,0.0007489877862768696,0.023622850430000713,0.13735933029679442,0.061991415728003096,0.0016481772848308729,0.043425852050285485,0.05955236834764456,0.6463316598586579,0.47173232292103434,0.3941394281405475,0.8929084711551611,0.12528453167493717,0.06884795948981855,0.2860467126186687,0.5289662744658337,3547.6549694902014,0.0,0.0,0.0,3.0,0.2512034467326242,0.2053370012634334,0.9821664509150915,0.9069754661118861,0.4550914806038946,0.12938846935052037,0.5940150486908122,0.40586167493294845,0.37014922084380864,0.2597701149425287,0.1245976909995079
