method,depth_mae_mm,disp_mae_px,raw_temporal_diff,motion_compensated_temporal_mae,coverage_pct,total_runtime_ms
ConvGRU V2 e30,2.5618109216967833,8.234534513603137,1.092206628883586,0.7616813042584587,100.0,211.81827533560303
ConvGRU V2 e40,2.5508430536510875,8.215698098673403,1.08507708883753,0.7566976985510658,100.0,211.74688550571983
ConvGRU V2 e50,2.5547832910296986,8.226896943397893,1.1396413375349606,0.7652129284014889,100.0,211.80935837328434
ConvGRU V2 latest,2.5700328280624833,8.27919915115949,1.1629930331426508,0.7654024494044921,100.0,211.72146334742698
S2M2-L@736,2.592555212743074,8.330501449918284,0.9878140498025745,0.756868244240097,100.0,187.76713038364855
