method,depth_mae_mm,bad_2mm_pct,disp_mae_px,common_valid_pixels,common_coverage_pct,causal,notes
EMA alpha=0.7,2.6531793561953942,36.93263719664206,7.783557058538048,40568142,75.61123073341984,yes,
ConvGRU V2 e40,2.6541611824220825,36.786870937410974,7.7597670184755785,40568142,75.61123073341984,yes,
ConvGRU V2 e50,2.654904819229274,36.65149056916401,7.750057711184604,40568142,75.61123073341984,yes,
ConvGRU V2 e30,2.667313953047817,37.48390646817641,7.7761324586220155,40568142,75.61123073341984,yes,
ConvGRU V2 latest,2.6768080725253207,36.78063905919679,7.826809707197171,40568142,75.61123073341984,yes,
S2M2-S@512,2.6860321123623154,37.01395901339361,7.886352775166336,40568142,75.61123073341984,yes,
median5 non-causal,2.6876507777612186,37.09389273507167,7.831736027615742,40568142,75.61123073341984,no,uses future frames
DEFOM-Stereo ViT-L ETH3D,2.6965639174563214,37.14700416534681,7.813179733683762,40568142,75.61123073341984,yes,
Fast-FoundationStereo ONNX,2.6967241000203255,37.03030642283387,7.819793965052632,40568142,75.61123073341984,yes,
S2M2-L@736,2.697114201425349,37.19410281100007,7.853447520617142,40568142,75.61123073341984,yes,
S2M2-L full,2.697267775396699,37.1681970189684,7.84123440622126,40568142,75.61123073341984,yes,
CREStereo,2.698108499489942,37.146261841388046,7.827716308890037,40568142,75.61123073341984,yes,
StereoAnyVideo@384x640,2.7005934715270996,37.086933019243425,7.8562813499598825,40568142,75.61123073341984,no,
RAFT-Stereo Middlebury,2.705859779154213,37.043629065031176,7.824053870821462,40568142,75.61123073341984,yes,
RT-MonSter++ zero-shot,2.7083357028590824,37.35834473674498,7.823120552359275,40568142,75.61123073341984,yes,
S2M2-XL,2.714712524877011,37.33613141164097,7.8460899834493985,40568142,75.61123073341984,yes,
StereoAnywhere,2.7167433326684156,37.35994695135576,7.837648525978755,40568142,75.61123073341984,yes,
MonSter++ MixAll,2.7219807939622007,37.69940431928283,7.870755010438197,40568142,75.61123073341984,yes,
Tiny U-Net e100,2.7223552777929214,37.951110036790766,7.8582946397725815,40568142,75.61123073341984,no,
SGBM,2.789541135713892,37.794501836620576,7.927840746722175,40568142,75.61123073341984,yes,fragile classical baseline
