method,gt_valid_pixels,evaluated_pixels,coverage_pct,excluded_pct
S2M2-L@736,53653593,53653593,100.0,0.0
StereoAnyVideo@384x640,53653593,53653593,100.0,0.0
Tiny U-Net e100,53653593,53653593,100.0,0.0
ConvGRU V2 e30,53653593,53653593,100.0,0.0
ConvGRU V2 e40,53653593,53653593,100.0,0.0
ConvGRU V2 e50,53653593,53653593,100.0,0.0
ConvGRU V2 latest,53653593,53653593,100.0,0.0
S2M2-S@512,53653593,53653593,100.0,0.0
Fast-FoundationStereo ONNX,53653593,53653593,100.0,0.0
DEFOM-Stereo ViT-L ETH3D,53653593,53653593,100.0,0.0
CREStereo,53653593,53653593,100.0,0.0
S2M2-L full,53653593,53653593,100.0,0.0
S2M2-XL,53653593,53653593,100.0,0.0
MonSter++ MixAll,53653593,53653593,100.0,0.0
RT-MonSter++ zero-shot,53653593,53653593,100.0,0.0
RAFT-Stereo Middlebury,53653593,53653593,100.0,0.0
StereoAnywhere,53653593,53653593,100.0,0.0
SGBM,53653593,40568142,75.61123073341984,24.388769266580155
EMA alpha=0.7,53653593,53653593,100.0,0.0
median5 non-causal,53653593,53653593,100.0,0.0
