boundary_dist_bin,px_fraction,gap_share,gap_px_mean,egbm_v1_recovered_frac,egbm_v2_care_recovered_frac,egbm_v3_window_recovered_frac
"[0,1)",0.2342181813538328,0.21544010937213898,6.040493011474609,0.13662579655647278,0.14219266176223755,0.14006932079792023
"[1,3)",0.4017720371339914,0.3722994029521942,6.085258960723877,0.1328800618648529,0.1363263577222824,0.13001170754432678
"[3,8)",0.2313116292730268,0.25698554515838623,7.295879364013672,0.12649987637996674,0.13136285543441772,0.12678208947181702
"[8,inf)",0.13269815223914905,0.15527477860450745,7.684267520904541,0.12454619258642197,0.13085141777992249,0.12669159471988678
