model,missed_support_frac_of_beneficial,gap_share_lost_to_missed_support,gap_share_lost_to_wrong_sign,gap_share_lost_to_undersized_magnitude,gap_share_recovered_total
egbm_v1,0.23484080795668633,0.05177944526076317,0.0129651864990592,0.8994746804237366,0.13075345754623413
egbm_v2_care,0.23933805058647645,0.037991996854543686,0.012160149402916431,0.9130994081497192,0.1354646384716034
egbm_v3_window,0.2517561597046963,0.08537951111793518,0.010356071405112743,0.8675192594528198,0.13083307445049286
