beneficial_rate,boundary_raw_mae,boundary_refined_mae,catastrophic_harmful_gt6px,corr_max,corr_p50,corr_p95,corr_p99,correction_magnitude_ratio,correction_sign_accuracy,delta_mae,fixed_bad1_pct_of_rawbad,fixed_bad3_pct_of_rawbad,frac_corr_gt12px,frac_corr_gt20px,frac_corr_gt3px,frac_corr_gt6px,harmful_rate,interior_raw_mae,interior_refined_mae,mean_beneficial_reduction,mean_harmful_increase,modified_pixel_ratio,net_benefit_ratio,neutral_rate,new_bad1_pct_of_rawgood,new_bad3_pct_of_rawgood,overshoot_rate,raw_bad1,raw_bad3,raw_bad5,raw_mae,raw_rmse,refined_bad1,refined_bad3,refined_bad5,refined_mae,refined_rmse,rel_impr,specimen,top0.1pct_damage_contrib,top1.0pct_damage_contrib,top10.0pct_damage_contrib,top5.0pct_damage_contrib,undershoot_rate,valid_px
0.0,7.163326740264893,7.158746242523193,0.0,0.05937957763671875,0.00634002685546875,0.011783599853515625,0.013298071920871735,0.0,nan,0.0008444786071777344,1.288316303864949,0.601684717208183,0.0,0.0,0.0,0.0,0.0,3.457198143005371,3.4565958976745605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,49.64711071901191,18.328187031318922,14.512571680635201,3.68280291557312,7.9095139503479,49.007498897221,18.217909131010146,14.512571680635201,3.6819584369659424,7.9056525230407715,0.00022930323086439613,specimen_1,0.003997237421572208,0.02854129858314991,0.21844062209129333,0.11648698151111603,nan,4534
1.0,14.400006294250488,14.392755508422852,0.0,0.16045379638671875,0.006365776062011719,0.013398932293057442,0.03762047737836838,0.002876443089917302,1.0,0.004260063171386719,0.35149384885764495,0.04257130693912303,0.0,0.0,0.0,0.0,0.0,7.937597274780273,7.933659553527832,0.13124895095825195,0.0,0.0033250207813798837,16.0,0.0,0.0,0.0,0.0,70.94763092269328,48.81546134663341,44.763092269326684,8.566110610961914,13.68399429321289,70.69825436408978,48.79467996674979,44.763092269326684,8.561850547790527,13.675321578979492,0.0004973159190747764,specimen_1,0.003011758904904127,0.031677860766649246,0.26585912704467773,0.13913661241531372,1.0,4812
0.0,6.402213096618652,6.3982391357421875,0.0,0.055942535400390625,0.006378173828125,0.01084136962890625,0.01233673095703125,0.0,nan,0.0005424022674560547,0.5738880918220948,0.17064846416382254,0.0,0.0,0.0,0.0,0.0,2.423027515411377,2.422642469406128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,43.89168765743073,12.300587741393787,9.739714525608733,2.597597122192383,6.012139320373535,43.63979848866499,12.279596977329975,9.739714525608733,2.5970547199249268,6.00916051864624,0.00020880923482016522,specimen_1,0.004006337374448776,0.0293290913105011,0.22470898926258087,0.11993231624364853,nan,4764
0.0,10.891024589538574,10.886306762695312,0.0,0.09751129150390625,0.006927490234375,0.01460418850183487,0.021730348467826843,0.0,nan,0.0057830810546875,0.2945902517407606,0.07230657989877079,0.0,0.0,0.0,0.0,0.0,13.104289054870605,13.098426818847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,73.3739438003537,54.352525054038125,51.69974454706229,12.951199531555176,18.628883361816406,73.15779131460012,54.31322460208292,51.69974454706229,12.945416450500488,18.619792938232422,0.0004465286045973743,specimen_1,0.005542938131839037,0.03997489809989929,0.31069573760032654,0.16650927066802979,nan,5089
0.0,8.47408390045166,8.469822883605957,0.0,0.037067413330078125,0.0063953399658203125,0.012126922607421875,0.013910219073295593,0.0,nan,0.0009706020355224609,0.41265474552957354,0.0,0.0,0.0,0.0,0.0,0.0,3.5510761737823486,3.550288677215576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,46.13920033848107,18.552993441929342,14.44891051406812,3.81040096282959,8.4707670211792,45.94880473873493,18.552993441929342,14.44891051406812,3.8094303607940674,8.466957092285156,0.00025472438333673297,specimen_1,0.004259064327925444,0.03539903089404106,0.2279169112443924,0.1243673712015152,nan,4727
0.0,4.1044921875,4.107471466064453,0.0,0.019741058349609375,0.0066070556640625,0.008620071224868298,0.010123749263584614,0.0,nan,-0.0016598701477050781,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1.6769381761550903,1.678524374961853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,62.70627062706271,15.181518151815181,3.9603960396039604,1.8051258325576782,2.6155025959014893,62.37623762376238,15.181518151815181,3.9603960396039604,1.8067857027053833,2.61575984954834,-0.0009195315460935,specimen_1,0.006751309148967266,0.020129887387156487,0.19179211556911469,0.09924955666065216,nan,303
0.0,4.1268696784973145,4.126858711242676,0.0,0.021526336669921875,0.006435394287109375,0.009678840637207031,0.011565972119569778,0.0,nan,-0.001062154769897461,0.4519774011299435,0.2762430939226519,0.0,0.0,0.0,0.0,0.0,1.8069095611572266,1.8080024719238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,42.0827389443652,8.606752258678078,6.3242986210175935,1.871444821357727,4.277699947357178,41.89253447456015,8.58297669995245,6.3242986210175935,1.8725069761276245,4.276093482971191,-0.0005675586892948685,specimen_1,0.0029913336038589478,0.021701747551560402,0.1759731024503708,0.09167525917291641,nan,4206
0.0,4.686069488525391,4.685349464416504,0.0,0.021457672119140625,0.0064792633056640625,0.010598563589155674,0.012149166315793991,0.0,nan,4.6253204345703125e-05,0.257201646090535,0.0,0.0,0.0,0.0,0.0,0.0,2.451817512512207,2.451796293258667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,48.4304932735426,15.944195316392626,10.961634280019931,2.5308568477630615,5.1624884605407715,48.30592924763329,15.944195316392626,10.961634280019931,2.530810594558716,5.159875392913818,1.8275709424886976e-05,specimen_1,0.00407623965293169,0.02937283366918564,0.20740659534931183,0.11134877055883408,nan,4014
0.0,4.686069488525391,4.685349464416504,0.0,0.021457672119140625,0.0064792633056640625,0.010598563589155674,0.012149166315793991,0.0,nan,4.6253204345703125e-05,0.257201646090535,0.0,0.0,0.0,0.0,0.0,0.0,2.451817512512207,2.451796293258667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,48.4304932735426,15.944195316392626,10.961634280019931,2.5308568477630615,5.1624884605407715,48.30592924763329,15.944195316392626,10.961634280019931,2.530810594558716,5.159875392913818,1.8275709424886976e-05,specimen_1,0.00407623965293169,0.02937283366918564,0.20740659534931183,0.11134877055883408,nan,4014
0.0,5.347502708435059,5.347717761993408,0.0,0.021379470825195312,0.0064144134521484375,0.011631011962890625,0.012687264010310173,0.0,nan,0.0004253387451171875,0.27223230490018147,0.12531328320802004,0.0,0.0,0.0,0.0,0.0,3.4315524101257324,3.4310882091522217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,54.93519441674975,19.890329012961118,14.132602193419741,3.540912389755249,7.26245641708374,54.785643070787636,19.865403788634097,14.132602193419741,3.540487051010132,7.258976936340332,0.00012012122817491886,specimen_1,0.004226937890052795,0.027817003428936005,0.2118755728006363,0.11172083020210266,nan,4012
0.0,5.347502708435059,5.347717761993408,0.0,0.021379470825195312,0.0064144134521484375,0.011631011962890625,0.012687264010310173,0.0,nan,0.0004253387451171875,0.27223230490018147,0.12531328320802004,0.0,0.0,0.0,0.0,0.0,3.4315524101257324,3.4310882091522217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,54.93519441674975,19.890329012961118,14.132602193419741,3.540912389755249,7.26245641708374,54.785643070787636,19.865403788634097,14.132602193419741,3.540487051010132,7.258976936340332,0.00012012122817491886,specimen_1,0.004226937890052795,0.027817003428936005,0.2118755728006363,0.11172083020210266,nan,4012
0.0,5.735629558563232,5.737095355987549,0.0,0.02509307861328125,0.006339073181152344,0.011707305908203125,0.012980842031538486,0.0,nan,0.0003867149353027344,0.22182786157941436,0.0,0.0,0.0,0.0,0.0,0.0,4.158022403717041,4.157496452331543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,57.70609318996416,22.887864823348693,16.538658474142345,4.268689155578613,9.035452842712402,57.57808499743984,22.887864823348693,16.538658474142345,4.2683024406433105,9.032135009765625,9.059336981643392e-05,specimen_1,0.004389642272144556,0.028490453958511353,0.21260209381580353,0.1136753186583519,nan,3906
0.0,5.735629558563232,5.737095355987549,0.0,0.02509307861328125,0.006339073181152344,0.011707305908203125,0.012980842031538486,0.0,nan,0.0003867149353027344,0.22182786157941436,0.0,0.0,0.0,0.0,0.0,0.0,4.158022403717041,4.157496452331543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,57.70609318996416,22.887864823348693,16.538658474142345,4.268689155578613,9.035452842712402,57.57808499743984,22.887864823348693,16.538658474142345,4.2683024406433105,9.032135009765625,9.059336981643392e-05,specimen_1,0.004389642272144556,0.028490453958511353,0.21260209381580353,0.1136753186583519,nan,3906
1.0,7.81285285949707,7.810943603515625,0.0,0.28934478759765625,0.00623321533203125,0.014129638671875,0.06346514821052551,0.0038561958353966475,1.0,0.0014247894287109375,0.4691689008042895,0.4655493482309125,0.0,0.0,0.0,0.0,0.0,5.440314292907715,5.438925266265869,0.18495279550552368,0.0,0.0033400133600534404,15.0,0.0,0.0,0.0,0.0,66.44399910932977,23.91449565798263,18.90447561790247,5.604083061218262,12.093860626220703,66.13226452905812,23.80316187931418,18.88220886216878,5.602658271789551,12.083783149719238,0.00025424131176264277,specimen_1,0.002942099701613188,0.02414104901254177,0.1908281147480011,0.10264163464307785,1.0,4491
0.0,7.34765625,7.3465704917907715,0.0,0.0214385986328125,0.00644683837890625,0.010528564453125,0.011702753603458405,0.0,nan,0.0005238056182861328,0.5025125628140703,0.0,0.0,0.0,0.0,0.0,0.0,2.3041493892669678,2.303638219833374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,53.63881401617251,12.93800539083558,9.973045822102426,2.4129042625427246,4.858170509338379,53.36927223719676,12.93800539083558,9.973045822102426,2.4123804569244385,4.855595588684082,0.00021708512286108903,specimen_1,0.013781294226646423,0.030034199357032776,0.2393237054347992,0.1309032291173935,nan,371
0.0,4.7734375,4.764650344848633,0.0,0.022907257080078125,0.0074005126953125,0.01102523785084486,0.022700883448123932,0.0,nan,0.0013880729675292969,0.7352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,2.4690027236938477,2.4676945209503174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,72.53333333333333,23.200000000000003,7.733333333333333,2.4935834407806396,4.106728553771973,72.0,23.200000000000003,7.733333333333333,2.4921953678131104,4.104358196258545,0.000556657918411083,specimen_1,0.017982369288802147,0.052434321492910385,0.2822006046772003,0.164054274559021,nan,375
0.0,2.0479166507720947,2.0503008365631104,0.0,0.022068023681640625,0.0068359375,0.007390594109892845,0.011166388168931007,0.0,nan,-0.000644683837890625,0.8163265306122449,0.0,0.0,0.0,0.0,0.0,0.0,1.5500156879425049,1.5505948066711426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,59.32203389830508,6.5375302663438255,2.4213075060532687,1.5680992603302002,2.2942097187042236,58.83777239709443,6.5375302663438255,2.4213075060532687,1.5687439441680908,2.294240951538086,-0.0004111243810897989,specimen_1,0.006656351499259472,0.026371710002422333,0.20194114744663239,0.10341206938028336,nan,413
0.0,3.483630895614624,3.4882514476776123,0.0,0.01050567626953125,0.007282257080078125,0.0075778961181640625,0.009597785770893097,0.0,nan,0.0015866756439208984,0.7168458781362007,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,1.777187466621399,1.7753111124038696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,59.23566878980891,21.443736730360936,7.855626326963907,1.8532710075378418,2.5064585208892822,58.81104033970276,21.231422505307858,7.855626326963907,1.851684331893921,2.5057735443115234,0.0008561487432045203,specimen_1,0.008163302205502987,0.03041473776102066,0.28460392355918884,0.1441284865140915,nan,471
0.0,3.483630895614624,3.4882514476776123,0.0,0.01050567626953125,0.007282257080078125,0.0075778961181640625,0.009597785770893097,0.0,nan,0.0015866756439208984,0.7168458781362007,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,1.777187466621399,1.7753111124038696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,59.23566878980891,21.443736730360936,7.855626326963907,1.8532710075378418,2.5064585208892822,58.81104033970276,21.231422505307858,7.855626326963907,1.851684331893921,2.5057735443115234,0.0008561487432045203,specimen_1,0.008163302205502987,0.03041473776102066,0.28460392355918884,0.1441284865140915,nan,471
0.0,3.070833444595337,3.074824571609497,0.0,0.010707855224609375,0.00750732421875,0.00809478759765625,0.009784704074263573,0.0,nan,0.0009218454360961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7725735902786255,1.7714747190475464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,60.092807424593964,18.329466357308586,4.176334106728538,1.8177566528320312,2.592578172683716,60.092807424593964,18.329466357308586,4.176334106728538,1.816834807395935,2.5913403034210205,0.0005071335784468033,specimen_1,0.00805625319480896,0.031033938750624657,0.25543802976608276,0.12989309430122375,nan,431
0.0,3.070833444595337,3.074824571609497,0.0,0.010707855224609375,0.00750732421875,0.00809478759765625,0.009784704074263573,0.0,nan,0.0009218454360961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7725735902786255,1.7714747190475464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,60.092807424593964,18.329466357308586,4.176334106728538,1.8177566528320312,2.592578172683716,60.092807424593964,18.329466357308586,4.176334106728538,1.816834807395935,2.5913403034210205,0.0005071335784468033,specimen_1,0.00805625319480896,0.031033938750624657,0.25543802976608276,0.12989309430122375,nan,431
0.0,4.293981552124023,4.300527572631836,0.0,0.011035919189453125,0.007610321044921875,0.008199882693588734,0.008986321277916431,0.0,nan,0.00029277801513671875,0.974025974025974,1.2195121951219512,0.0,0.0,0.0,0.0,0.0,1.84608793258667,1.845334768295288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,71.96261682242991,19.158878504672895,4.906542056074766,2.0005111694335938,2.6505231857299805,71.26168224299066,18.925233644859812,4.906542056074766,2.000218391418457,2.6499030590057373,0.00014635160233552368,specimen_1,0.007504331413656473,0.025684576481580734,0.23061861097812653,0.11863553524017334,nan,428
0.0,4.293981552124023,4.300527572631836,0.0,0.011035919189453125,0.007610321044921875,0.008199882693588734,0.008986321277916431,0.0,nan,0.00029277801513671875,0.974025974025974,1.2195121951219512,0.0,0.0,0.0,0.0,0.0,1.84608793258667,1.845334768295288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,71.96261682242991,19.158878504672895,4.906542056074766,2.0005111694335938,2.6505231857299805,71.26168224299066,18.925233644859812,4.906542056074766,2.000218391418457,2.6499030590057373,0.00014635160233552368,specimen_1,0.007504331413656473,0.025684576481580734,0.23061861097812653,0.11863553524017334,nan,428
0.0,,,0.0,0.011478424072265625,0.00754547119140625,0.008440208621323109,0.009824678301811218,0.0,nan,0.0008952617645263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1320536136627197,2.1311583518981934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,67.71428571428572,25.71428571428571,4.571428571428571,2.1320536136627197,2.7411246299743652,67.71428571428572,25.71428571428571,4.571428571428571,2.1311583518981934,2.7400734424591064,0.0004199058404485288,specimen_1,0.010284624993801117,0.028529826551675797,0.26805567741394043,0.13525894284248352,nan,350
0.0,2.88043475151062,2.8837130069732666,0.0,0.021549224853515625,0.00688934326171875,0.00762176513671875,0.009023971855640411,0.0,nan,-0.0014170408248901367,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,1.5587064027786255,1.5600205659866333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,55.35307517084283,15.945330296127564,1.5945330296127564,1.627954125404358,2.1511824131011963,55.35307517084283,15.717539863325742,1.5945330296127564,1.629371166229248,2.1525697708129883,-0.0008704427248760258,specimen_1,0.012034153565764427,0.027868788689374924,0.1871759295463562,0.09851005673408508,nan,439
0.0,,,0.0,0.019956588745117188,0.0072002410888671875,0.009486007504165173,0.01995079033076763,0.0,nan,0.001575469970703125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.532997488975525,1.5314220190048218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,65.78947368421053,8.552631578947368,2.631578947368421,1.532997488975525,1.9732364416122437,65.13157894736842,8.552631578947368,2.631578947368421,1.5314220190048218,1.973617434501648,0.0010277055129137777,specimen_1,0.046025600284338,0.046025600284338,0.3995117247104645,0.24793031811714172,nan,152
1.0,2.51953125,2.5212111473083496,0.0,0.10918426513671875,0.006595611572265625,0.0077228546142578125,0.018932435661554337,0.005476326681673527,1.0,0.003347158432006836,1.5105740181268883,0.0,0.0,0.0,0.0,0.0,0.0,2.246960163116455,2.243299961090088,0.10918426513671875,0.0,0.0018315018315018315,1.0,0.0,0.0,0.0,0.0,60.62271062271062,26.190476190476193,10.805860805860807,2.262934923171997,3.374509811401367,59.70695970695971,26.190476190476193,10.256410256410255,2.2595877647399902,3.3700878620147705,0.0014791227081842296,specimen_1,0.019768211990594864,0.07628171890974045,0.4162004888057709,0.23572967946529388,1.0,546
0.0,3.263962745666504,3.266530752182007,0.0,0.021839141845703125,0.006954193115234375,0.0074748992919921875,0.009473047219216824,0.0,nan,-0.0016565322875976562,0.3676470588235294,1.2345679012345678,0.0,0.0,0.0,0.0,0.0,1.4601329565048218,1.4616913795471191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,56.19834710743802,16.735537190082646,5.991735537190083,1.635298252105713,2.209825038909912,55.99173553719008,16.528925619834713,5.785123966942149,1.6369547843933105,2.211266040802002,-0.001012984809018539,specimen_1,0.010643756948411465,0.02571234107017517,0.18669800460338593,0.10104411095380783,nan,484
0.0,2.198214292526245,2.201313018798828,0.0,0.01163482666015625,0.006290435791015625,0.009552001953125,0.011222992092370987,0.0,nan,0.0007829666137695312,0.6681514476614699,1.5463917525773196,0.0,0.0,0.0,0.0,0.0,2.296557903289795,2.2955782413482666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,61.93103448275862,26.75862068965517,9.379310344827587,2.2918102741241455,3.43481707572937,61.51724137931035,26.344827586206897,9.241379310344827,2.291027307510376,3.432534694671631,0.000341636750044135,specimen_1,0.005520820617675781,0.03781052306294441,0.25528061389923096,0.14350676536560059,nan,725
0.0,,,0.0,0.021270751953125,0.0073986053466796875,0.009166717529296875,0.009609225206077099,0.0,nan,0.0038526058197021484,3.7735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,1.2069052457809448,1.2030526399612427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,56.98924731182796,4.301075268817205,0.0,1.2069052457809448,1.429113745689392,54.83870967741935,4.301075268817205,0.0,1.2030526399612427,1.4264634847640991,0.003192136112731258,specimen_1,0.027431698516011238,0.027431698516011238,0.4575892984867096,0.24439597129821777,nan,186
0.0,0.5795454382896423,0.5764690637588501,0.0,0.022701263427734375,0.006778717041015625,0.007716941647231579,0.011196563020348549,0.0,nan,0.0013645291328430176,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.9244019389152527,0.9230881333351135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,32.98429319371728,2.356020942408377,0.0,0.9144715070724487,1.1512919664382935,32.19895287958115,2.356020942408377,0.0,0.9131069779396057,1.1511023044586182,0.001492150517856335,specimen_1,0.019229285418987274,0.04622776433825493,0.28369206190109253,0.1602279096841812,nan,382
0.0,0.5795454382896423,0.5764690637588501,0.0,0.022701263427734375,0.006778717041015625,0.007716941647231579,0.011196563020348549,0.0,nan,0.0013645291328430176,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.9244019389152527,0.9230881333351135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,32.98429319371728,2.356020942408377,0.0,0.9144715070724487,1.1512919664382935,32.19895287958115,2.356020942408377,0.0,0.9131069779396057,1.1511023044586182,0.001492150517856335,specimen_1,0.019229285418987274,0.04622776433825493,0.28369206190109253,0.1602279096841812,nan,382
0.0,1.75,1.7556425333023071,0.0,0.023090362548828125,0.00664520263671875,0.00736160296946764,0.01875818520784378,0.0,nan,-0.0010620355606079102,0.40650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,1.6955658197402954,1.696479320526123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,59.42028985507246,13.526570048309178,6.280193236714976,1.6972750425338745,2.325582981109619,59.17874396135265,13.526570048309178,6.280193236714976,1.6983370780944824,2.3284811973571777,-0.0006257297927520277,specimen_1,0.012358811683952808,0.027835318818688393,0.18591520190238953,0.09750467538833618,nan,414
