role,backbone,sequence,region,aggregation_level,coverage_threshold,raw_error_sum,memory_error_sum,oracle_error_sum,helpful_sum,harmful_sum,temporal_difference_sum,gt_relative_temporal_consistency_sum,valid_pixel_count,memory_better_count,memory_worse_count,tie_count,raw_bad1_count,raw_bad3_count,raw_bad5_count,memory_bad1_count,memory_bad3_count,memory_bad5_count,oracle_bad1_count,oracle_bad3_count,oracle_bad5_count,valid_causal_pair_count,causal_pair_count,raw_epe,memory_epe,oracle_epe,oracle_epe_gain,relative_oracle_gain,memory_better_fraction,memory_worse_fraction,tie_fraction,mean_helpful_magnitude,mean_harmful_magnitude,raw_bad1,raw_bad3,raw_bad5,memory_bad1,memory_bad3,memory_bad5,oracle_bad1,oracle_bad3,oracle_bad5,flow_warped_raw_temporal_difference,gt_relative_temporal_error_consistency
seen,RAFT-Stereo,dataset_1_keyframe_2,all,sequence,0.5,352622.91458940506,366030.1922130585,310361.4539065361,42261.46068286896,55668.73830652237,106279.19012212753,97930.19898939133,4283664,1920804,2355095,7765,926,166,3,809,157,3,662,148,2,279,279,0.08231806103125854,0.08544792313614197,0.07245233377466956,0.009865727256588977,0.11984887803470828,0.4484021155720897,0.5497851838986437,0.0018127005292665345,0.022001964116520455,0.023637576533652515,0.00021617008243410315,3.875187222900769e-05,7.003350402832715e-07,0.00018885701586305556,3.6650867108157876e-05,7.003350402832715e-07,0.00015454059888917525,3.454986198730806e-05,4.6689002685551435e-07,0.02481034696515122,0.02286131661806139
seen,RAFT-Stereo,dataset_1_keyframe_2,boundary,sequence,0.5,300756.53162670135,313420.77330875397,265543.89217329025,35212.6394534111,47876.881135463715,90074.40659999847,83089.52058887482,3523196,1556042,1961135,6019,921,166,3,809,157,3,662,148,2,279,279,0.08536468922725314,0.08895922148774975,0.07537017303984514,0.009994516187408,0.11708021522577274,0.4416563824436676,0.5566352255168319,0.001708392039500499,0.022629620185966128,0.02441284314209053,0.0002614103785313108,4.711631143995395e-05,8.514996043365172e-07,0.00022962105996941412,4.45618126269444e-05,8.514996043365172e-07,0.0001878975793569248,4.2007313813934846e-05,5.676664028910115e-07,0.025566107193581756,0.023583564635312602
seen,RAFT-Stereo,dataset_1_keyframe_2,fb_consistent,sequence,0.5,352562.75903844833,365966.5323648453,310315.30863904953,42247.450399398804,55651.223725795746,106240.49381017685,97898.67412519455,4283270,1920630,2354875,7765,926,166,3,809,157,3,662,148,2,279,279,0.08231158881846073,0.08544092069023089,0.07244822498676234,0.00986336383169839,0.1198295886798172,0.4484027390288261,0.5497843936992064,0.0018128672719674454,0.021996662761384966,0.023632347248068685,0.0002161899670111854,3.875543685081725e-05,7.003994611593479e-07,0.00018887438802597082,3.66542384673392e-05,7.003994611593479e-07,0.00015455481442916275,3.455304008386116e-05,4.669329741062319e-07,0.0248035948726503,0.02285605953516695
seen,RAFT-Stereo,dataset_1_keyframe_2,fb_inconsistent_occlusion_like,sequence,0.5,60.155550956726074,63.6598482131958,46.145267486572266,14.010283470153809,17.514580726623535,38.696311950683594,31.524864196777344,394,174,220,0,0,0,0,0,0,0,0,0,0,49,279,0.15267906334194434,0.16157321881521777,0.11711996824003112,0.03555909510191321,0.23290092514043043,0.4416243654822335,0.5583756345177665,0.0,0.08051887051812534,0.07961173057556152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09821398972254719,0.08001234567709986
seen,RAFT-Stereo,dataset_1_keyframe_2,gt_disparity_0_to_2px,sequence,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seen,RAFT-Stereo,dataset_1_keyframe_2,gt_disparity_2_to_4px,sequence,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seen,RAFT-Stereo,dataset_1_keyframe_2,gt_disparity_4_to_8px,sequence,0.5,87246.6080737114,88864.77754306793,75899.34002399445,11347.26804971695,12965.437519073486,26630.551095485687,24312.705568790436,855531,406083,449434,14,2,0,0,3,0,0,0,0,0,279,279,0.10197948183492053,0.10387090303340023,0.08871606057991405,0.013263421255006486,0.13005970432833414,0.47465609077870935,0.5253275451152559,1.6364106034731645e-05,0.027943223552123458,0.028848368212181293,2.3377294335330925e-06,0.0,0.0,3.5065941502996385e-06,0.0,0.0,0.0,0.0,0.0,0.031127511563561912,0.028418263708492663
seen,RAFT-Stereo,dataset_1_keyframe_2,gt_disparity_ge_8px,sequence,0.5,265376.30651569366,277165.41466999054,234462.11388254166,30914.192633152008,42703.30078744888,79648.63902664185,73617.49342060089,3428133,1514721,1905661,7751,924,166,3,806,157,3,662,148,2,279,279,0.0774113217065072,0.08085025133797041,0.06839352903826708,0.009017792668240127,0.11649190931566396,0.44185012658493705,0.5558888759566796,0.002260997458383324,0.02040916619836393,0.022408655467813468,0.00026953446671993184,4.842285873972801e-05,8.751119049348436e-07,0.0002351133984591613,4.5797523024923476e-05,8.751119049348436e-07,0.0001931080270222888,4.3172187310118946e-05,5.83407936623229e-07,0.023233824074690757,0.02147451496794345
seen,RAFT-Stereo,dataset_1_keyframe_2,motion_high_ge_1px,sequence,0.5,26592.480576515198,27513.081300258636,22682.22663640976,3910.2539401054382,4830.854663848877,9660.75951719284,8741.108603954315,330382,155380,174530,472,217,56,1,179,50,2,164,45,1,83,279,0.08049010108454818,0.08327657469310869,0.06865454727076463,0.011835553813783553,0.1470435948558604,0.47030407225575244,0.5282672784836946,0.0014286492605529357,0.025165748102107338,0.027679222276106554,0.0006568154439406506,0.00016950075972661948,3.026799280832491e-06,0.0005417970712690159,0.00015133996404162453,6.053598561664982e-06,0.0004963950820565285,0.0001362059676374621,3.026799280832491e-06,0.02924117995893493,0.02645758123612762
seen,RAFT-Stereo,dataset_1_keyframe_2,motion_low_lt_1px,sequence,0.5,326030.43401288986,338517.11091279984,287679.22727012634,38351.20674276352,50837.88364267349,96618.43060493469,89189.09038543701,3953282,1765424,2180565,7293,709,110,2,630,107,1,498,103,1,275,279,0.08247082652158128,0.08562938614366489,0.07276972077127974,0.00970110575030153,0.11763075695334409,0.44657173457395655,0.5515834691276768,0.0018447962983667748,0.02172351046703994,0.023314087698680614,0.0001793446559086855,2.7824981875818623e-05,5.059087613785204e-07,0.00015936125983423394,2.7066118733750843e-05,2.529543806892602e-07,0.0001259712815832516,2.60543012109938e-05,2.529543806892602e-07,0.02444005527683952,0.022560771122686674
