role,backbone,sequence,coverage_threshold,raw_error_sum,memory_error_sum,oracle_error_sum,helpful_sum,harmful_sum,temporal_difference_sum,gt_relative_temporal_consistency_sum,valid_pixel_count,memory_better_count,memory_worse_count,tie_count,raw_bad1_count,raw_bad3_count,raw_bad5_count,memory_bad1_count,memory_bad3_count,memory_bad5_count,oracle_bad1_count,oracle_bad3_count,oracle_bad5_count,valid_causal_pair_count,causal_pair_count,raw_epe,memory_epe,oracle_epe,oracle_epe_gain,relative_oracle_gain,memory_better_fraction,memory_worse_fraction,tie_fraction,mean_helpful_magnitude,mean_harmful_magnitude,raw_bad1,raw_bad3,raw_bad5,memory_bad1,memory_bad3,memory_bad5,oracle_bad1,oracle_bad3,oracle_bad5,flow_warped_raw_temporal_difference,gt_relative_temporal_error_consistency,frame_count,mean_frame_oracle_gain
seen,RAFT-Stereo,dataset_1_keyframe_2,0.5,352622.91458940506,366030.1922130585,310361.4539065361,42261.46068286896,55668.73830652237,106279.19012212753,97930.19898939133,4283664,1920804,2355095,7765,926,166,3,809,157,3,662,148,2,279,279,0.08231806103125854,0.08544792313614197,0.07245233377466956,0.009865727256588977,0.11984887803470828,0.4484021155720897,0.5497851838986437,0.0018127005292665345,0.022001964116520455,0.023637576533652515,0.00021617008243410315,3.875187222900769e-05,7.003350402832715e-07,0.00018885701586305556,3.6650867108157876e-05,7.003350402832715e-07,0.00015454059888917525,3.454986198730806e-05,4.6689002685551435e-07,0.02481034696515122,0.02286131661806139,279,0.009637324346032124
seen,RAFT-Stereo,dataset_1_keyframe_3,0.5,513458.1129670143,528572.7540478706,454591.87308883667,58866.23987817764,73980.88095903397,143150.6640048027,132847.1208372116,5607664,2616157,2984358,7149,1077,76,11,1048,77,10,853,72,10,470,470,0.09156363736611436,0.09425899163142988,0.08106617534303708,0.01049746202307729,0.11464662528754196,0.4665324099304095,0.5321927276669929,0.001274862402597588,0.022501034868388115,0.024789546347668064,0.0001920585826825573,1.3552880486420014e-05,1.961601123034476e-06,0.00018688708881273915,1.373120786124133e-05,1.7832737482131596e-06,0.00015211325072258253,1.2839570987134749e-05,1.7832737482131596e-06,0.025527682115904716,0.023690278311470088,470,0.012581572186914783
seen,RAFT-Stereo,dataset_2_keyframe_2,0.5,429795.2814731598,419814.07167482376,386894.09474658966,42901.18672657013,32919.9769282341,81727.89040327072,75821.16365480423,2028109,1162243,864516,1350,22907,1055,726,21666,1045,721,20228,971,686,1029,1032,0.2119192220305515,0.20699778546164124,0.19076592764323302,0.021153294387318472,0.09981772386965865,0.5730673252768959,0.42626703002649263,0.0006656446966114741,0.03691240706682693,0.03807908347356683,0.01129475782613262,0.000520189003648226,0.0003579689257332816,0.010682857775395701,0.0005152583021918447,0.000355503575005091,0.009973822905968072,0.0004787711114146232,0.0003382461199077564,0.04029758282383773,0.037385152205726725,1032,nan
seen,RAFT-Stereo,dataset_2_keyframe_3,0.5,1198811.496810913,1207022.3947467804,1062354.4995183945,136456.99729251862,144667.89522838593,307674.4786272049,281124.89252090454,4673151,2299142,2373907,102,123604,3385,12,127918,3417,8,104144,2566,3,1101,1101,0.25653172705331223,0.25828876377989507,0.22733151561299741,0.029200211440314816,0.1138269007725756,0.4919896660732769,0.5079885071122247,2.1826814498397335e-05,0.05935126986176522,0.06094084360861059,0.026449819404508863,0.0007243506576183821,2.567860529223216e-06,0.02737296526476461,0.0007311982856963106,1.7119070194821439e-06,0.022285605579618548,0.0005490941764988976,6.41965132305804e-07,0.06583876245967761,0.060157459607212464,1101,0.02997769797916117
seen,RAFT-Stereo,dataset_2_keyframe_4,0.5,3825586.2804174423,3881788.677801609,3553088.6604008675,272497.62001657486,328700.0174007416,618818.9746966362,601197.6374173164,11119198,5555719,5559824,3655,168909,25000,6641,213306,24050,6581,143847,22497,6072,1860,2113,0.3440523570510609,0.3491068940225373,0.31954540789730224,0.024506949153758673,0.07123028995880877,0.4996510539698996,0.500020235272364,0.0003287107577363044,0.04904812860703985,0.05912057960840875,0.015190753865521597,0.002248363596007554,0.0005972553056434466,0.01918357780839949,0.002162925779359267,0.0005918592330130285,0.012936814327795943,0.0020232574327752775,0.0005460825501983147,0.05565320220906546,0.05406843527899372,2113,nan
seen,RAFT-Stereo,dataset_3_keyframe_1,0.5,350282.2512662411,362834.90632915497,303967.17943024635,46315.07183599472,58867.726898908615,116399.30488324165,105182.79873490334,4646996,2109779,2536023,1194,9921,482,3,9369,426,0,7700,263,0,328,328,0.07537821234755551,0.07807945311964008,0.06541154316256058,0.009966669184994933,0.13222214847760513,0.45400921369418007,0.545733846123388,0.00025694018243183336,0.02195257030996835,0.023212615539728393,0.002134927596236364,0.00010372292121620074,6.455783478186769e-07,0.002016141180237728,9.167212539025211e-05,0.0,0.0016569844260679372,5.6595701825437334e-05,0.0,0.025048290311255196,0.022634579142074437,328,0.012310325743656121
seen,RAFT-Stereo,dataset_3_keyframe_2,0.5,1509219.8820753098,1540964.54292202,1326488.4582691193,182731.4238061905,214476.0846529007,429564.94761133194,397207.5084590912,13621194,6401360,7216927,2907,40765,3082,0,38025,2300,0,34428,2105,0,1596,1596,0.11079938235042462,0.11312991672551026,0.09738415430168011,0.01341522804874451,0.12107674035868032,0.4699558643684247,0.5298307182175073,0.00021341741406810593,0.028545719004428823,0.02971847777494503,0.002992762602162483,0.00022626503961400152,0.0,0.0027916054936153174,0.000168854507174628,0.0,0.002527531727394823,0.00015453858156634433,0.0,0.031536511968872326,0.029160990472574665,1596,0.0136094809299186
seen,RAFT-Stereo,dataset_3_keyframe_3,0.5,480350.9194626808,477821.06207227707,410988.2068142891,69362.71264839172,66832.85525798798,149000.93654346466,136195.5679063797,2747846,1380982,1366801,63,48251,3532,0,46596,2795,0,39752,2440,0,447,447,0.17480998551690335,0.17388931623980278,0.14956740909581145,0.0252425764210919,0.1444000830184329,0.5025689212568681,0.4974081516940906,2.292704904132182e-05,0.050227093943579076,0.048897282968031176,0.017559572115759033,0.0012853704319674391,0.0,0.016957282176657644,0.0010171603503253094,0.0,0.014466604023660715,0.0008879682485845277,0.0,0.0542246314180142,0.04956448356508323,447,0.02761219396254592
seen,RAFT-Stereo,dataset_3_keyframe_4,0.5,835532.4254875183,842784.5920510292,671494.9460840225,164037.4794034958,171289.64596700668,392147.3278822899,335327.1253705025,6912892,3448729,3452228,11935,47688,7824,3027,47306,7464,2906,32151,3852,1225,833,833,0.12086582945133792,0.1219149079793275,0.09713661750885484,0.023729211942483078,0.19632688618611394,0.4988836799417668,0.499389835686714,0.0017264843715191847,0.04756461856048874,0.049617130145229886,0.00689841530867255,0.0011317983848149226,0.00043787751927847274,0.006843156236203314,0.00107972177201669,0.00042037399108795566,0.004650875494655493,0.0005572197569410892,0.00017720514077176384,0.05672695709440997,0.04850750241295575,833,0.02454685872599998
seen,RAFT-Stereo,dataset_6_keyframe_1,0.5,148680.80064678192,140133.45227479935,110217.5218539238,38463.278792858124,29915.93042087555,80744.52494001389,68379.20921373367,1334001,727321,604682,1998,5753,128,11,5371,119,11,3130,93,8,636,636,0.1114547894992447,0.10504748667714593,0.08262176853984653,0.028833020959398173,0.25869701148727725,0.5452177322205906,0.45328451777772283,0.0014977500016866553,0.05288349819798703,0.049473823300305864,0.004312590470321986,9.595195206000595e-05,8.245870880156762e-06,0.004026233863392906,8.920533043078679e-05,8.245870880156762e-06,0.0023463250777173332,6.971509016859807e-05,5.996997003750372e-06,0.06052808426681381,0.051258739096697585,636,0.061989103286748524
