epoch,train_total,train_disparity,train_reset,train_fusion,validation_fused_epe,validation_gain
1,1.7497443529406664,0.07737957367767169,0.691791401703756,0.9805733767597665,0.2974897091282879,0.012161940210633881
2,1.6136346389091512,0.0692005536853134,0.6417708812521365,0.9026632068099478,0.2909979882377193,0.018653661101202534
3,1.557557941371058,0.06825567854274686,0.6078746657189984,0.8814275963642374,0.307378437247387,0.002273212091534804
4,1.540453638740388,0.06219629294566768,0.5972704530321918,0.8809868932177308,0.3370480063867899,-0.02739635704786808
5,1.4828041961739182,0.050776330664266,0.5777252862835441,0.8543025810181317,0.3130821339576631,-0.003430484618741292
6,1.4513867260283524,0.04598632116133172,0.5594744832053086,0.8459259223523604,0.2886879591919949,0.020963690146926894
7,1.387026079392152,0.04480437752383187,0.5290297580812888,0.813191941857782,0.31987128550079696,-0.010219636161875156
8,1.3615135788584554,0.04592691623610991,0.5218779382962254,0.793708723961086,0.29790645707197183,0.011745192266949978
9,1.3049024237119804,0.043009170482812706,0.49514566579807034,0.7667475866002373,0.30864284604680964,0.0010088032921121703
10,1.269236142926894,0.04172095074564043,0.48268432906842323,0.7448308635838353,0.28326541851445625,0.026386230824465562
11,1.226509806571134,0.04025642405851431,0.4611387238020162,0.7251146583731762,0.31474757611802645,-0.0050959267791046425
12,1.2033758916187405,0.03868588355695338,0.449339531517529,0.7153504738650065,0.3206074157951989,-0.010955766456277105
