phase,sequence,backbone,reset_mean,fusion_mean,product_mean,product_p95
test,dataset_7_keyframe_1,S2M2-S,0.76468825340271,0.4445919692516327,0.42471081018447876,0.9998674988746643
test,dataset_7_keyframe_1,S2M2-S,0.7810747027397156,0.4840331971645355,0.46848151087760925,0.9999786615371704
test,dataset_7_keyframe_1,S2M2-S,0.7793887257575989,0.5137541890144348,0.5012180209159851,0.9999974966049194
test,dataset_7_keyframe_1,S2M2-S,0.7871991991996765,0.5120113492012024,0.49754929542541504,0.9999985098838806
test,dataset_7_keyframe_1,S2M2-S,0.7580626606941223,0.42700985074043274,0.4051187336444855,0.9945706725120544
test,dataset_7_keyframe_1,S2M2-S,0.7897090315818787,0.49514883756637573,0.4724469482898712,0.9998990893363953
test,dataset_7_keyframe_1,S2M2-S,0.7643343210220337,0.4785163402557373,0.46110644936561584,0.9999942183494568
test,dataset_7_keyframe_1,S2M2-S,0.7669823169708252,0.49164026975631714,0.4753957986831665,0.9999987483024597
test,dataset_7_keyframe_1,S2M2-S,0.7762688994407654,0.45084142684936523,0.43360912799835205,0.9901074767112732
test,dataset_7_keyframe_1,S2M2-S,0.7874975800514221,0.5052183866500854,0.48509371280670166,0.9999896287918091
test,dataset_7_keyframe_1,S2M2-S,0.742997407913208,0.4493798017501831,0.4299579858779907,0.9999924898147583
test,dataset_7_keyframe_1,S2M2-S,0.7196028232574463,0.4429543912410736,0.42705756425857544,0.9999984502792358
test,dataset_7_keyframe_1,S2M2-S,0.6924071311950684,0.37862056493759155,0.35354888439178467,0.9462228417396545
test,dataset_7_keyframe_1,S2M2-S,0.6739585995674133,0.3709724247455597,0.3495101034641266,0.9991531372070312
test,dataset_7_keyframe_1,S2M2-S,0.6409308910369873,0.3656533658504486,0.3497678339481354,0.9993719458580017
test,dataset_7_keyframe_1,S2M2-S,0.6259827017784119,0.31733742356300354,0.30611833930015564,0.997887134552002
test,dataset_7_keyframe_1,S2M2-S,0.6453120112419128,0.3178305923938751,0.2986769378185272,0.8457709550857544
test,dataset_7_keyframe_1,S2M2-S,0.6391013860702515,0.3035944700241089,0.29054033756256104,0.920516848564148
test,dataset_7_keyframe_1,S2M2-S,0.630436897277832,0.3400423228740692,0.31853345036506653,0.9616296887397766
test,dataset_7_keyframe_1,S2M2-S,0.6056233048439026,0.3018468916416168,0.2823087275028229,0.9025223255157471
test,dataset_7_keyframe_1,S2M2-S,0.6283121705055237,0.3971570134162903,0.35771021246910095,0.9938990473747253
test,dataset_7_keyframe_1,S2M2-S,0.653364896774292,0.36693185567855835,0.3428613245487213,0.9360038042068481
test,dataset_7_keyframe_1,S2M2-S,0.6209183931350708,0.359142929315567,0.3277105391025543,0.9992282390594482
test,dataset_7_keyframe_1,S2M2-S,0.6364543437957764,0.37945038080215454,0.34988898038864136,0.9984159469604492
test,dataset_7_keyframe_1,S2M2-S,0.5544469952583313,0.29369619488716125,0.26307010650634766,0.7482832670211792
test,dataset_7_keyframe_1,S2M2-S,0.6036150455474854,0.36960965394973755,0.33878806233406067,0.8962600827217102
test,dataset_7_keyframe_1,S2M2-S,0.6644952893257141,0.40845945477485657,0.373024582862854,0.9796658158302307
test,dataset_7_keyframe_1,S2M2-S,0.6754656434059143,0.3900480568408966,0.3606482148170471,0.9792113900184631
test,dataset_7_keyframe_1,S2M2-S,0.5593518614768982,0.3380697965621948,0.2891789376735687,0.8029085397720337
test,dataset_7_keyframe_1,S2M2-S,0.5306059718132019,0.28404346108436584,0.24821506440639496,0.6878611445426941
test,dataset_7_keyframe_1,S2M2-S,0.6152558326721191,0.350727915763855,0.32018226385116577,0.8233596682548523
test,dataset_7_keyframe_1,S2M2-S,0.6122061014175415,0.3494310677051544,0.32112565636634827,0.8495159149169922
test,dataset_7_keyframe_1,S2M2-S,0.6249799728393555,0.366817831993103,0.3326611816883087,0.840346097946167
test,dataset_7_keyframe_1,S2M2-S,0.5555601119995117,0.27835777401924133,0.24890796840190887,0.6563654541969299
test,dataset_7_keyframe_1,S2M2-S,0.5872737765312195,0.3225994110107422,0.2897339463233948,0.8346438407897949
test,dataset_7_keyframe_1,S2M2-S,0.6043205857276917,0.3133466839790344,0.2874410152435303,0.8987112045288086
test,dataset_7_keyframe_1,S2M2-S,0.6018184423446655,0.3097342848777771,0.27879852056503296,0.8548535704612732
test,dataset_7_keyframe_1,S2M2-S,0.6721363663673401,0.34991326928138733,0.3277827501296997,0.8031183481216431
test,dataset_7_keyframe_1,S2M2-S,0.6926743984222412,0.37596508860588074,0.34526118636131287,0.7854188084602356
test,dataset_7_keyframe_1,S2M2-S,0.6901469230651855,0.3854616582393646,0.35687801241874695,0.8858714699745178
test,dataset_7_keyframe_1,S2M2-S,0.7088309526443481,0.34566110372543335,0.32155898213386536,0.8080853819847107
test,dataset_7_keyframe_1,S2M2-S,0.6713602542877197,0.33864566683769226,0.30806195735931396,0.7753422260284424
test,dataset_7_keyframe_1,S2M2-S,0.6677302122116089,0.3026891052722931,0.2901848554611206,0.7899497747421265
test,dataset_7_keyframe_1,S2M2-S,0.7746821045875549,0.397687703371048,0.3733132481575012,0.8242462277412415
test,dataset_7_keyframe_1,S2M2-S,0.7846168279647827,0.3764728605747223,0.36256682872772217,0.828525722026825
test,dataset_7_keyframe_1,S2M2-S,0.7925145626068115,0.43861156702041626,0.4128943979740143,0.960831880569458
test,dataset_7_keyframe_1,S2M2-S,0.880327045917511,0.5201658010482788,0.5007228255271912,0.99996417760849
test,dataset_7_keyframe_1,S2M2-S,0.7801198959350586,0.4289608597755432,0.4071018695831299,0.9999499917030334
test,dataset_7_keyframe_1,S2M2-S,0.7783626914024353,0.34648656845092773,0.31998875737190247,0.7793799042701721
test,dataset_7_keyframe_1,S2M2-S,0.6906148195266724,0.2645181119441986,0.23928233981132507,0.6319012641906738
test,dataset_7_keyframe_1,S2M2-S,0.7086548209190369,0.3818202614784241,0.34455573558807373,0.9948302507400513
test,dataset_7_keyframe_1,S2M2-S,0.7088404297828674,0.3371243178844452,0.30239561200141907,0.9930994510650635
test,dataset_7_keyframe_1,S2M2-S,0.6925855278968811,0.3551786243915558,0.32474052906036377,0.9612689018249512
test,dataset_7_keyframe_1,S2M2-S,0.7085983753204346,0.31296828389167786,0.28296908736228943,0.824462890625
test,dataset_7_keyframe_1,S2M2-S,0.6859685778617859,0.36938291788101196,0.32052871584892273,0.9819027781486511
test,dataset_7_keyframe_1,S2M2-S,0.7216154336929321,0.41727542877197266,0.37352558970451355,0.9937376976013184
test,dataset_7_keyframe_1,S2M2-S,0.6754687428474426,0.3416896462440491,0.296764075756073,0.9278793931007385
test,dataset_7_keyframe_1,S2M2-S,0.6480992436408997,0.22855733335018158,0.20641019940376282,0.7421457767486572
test,dataset_7_keyframe_1,S2M2-S,0.7829059362411499,0.5749703645706177,0.5172997117042542,0.9999552369117737
test,dataset_7_keyframe_1,S2M2-S,0.7441324591636658,0.4996613562107086,0.45048514008522034,0.9999853372573853
test,dataset_7_keyframe_1,S2M2-S,0.6194634437561035,0.2847844362258911,0.2471148520708084,0.6331458687782288
test,dataset_7_keyframe_1,S2M2-S,0.7759088277816772,0.4691828191280365,0.43393757939338684,0.9945082664489746
test,dataset_7_keyframe_1,S2M2-S,0.6855734586715698,0.3635181188583374,0.3263137936592102,0.970975935459137
test,dataset_7_keyframe_1,S2M2-S,0.6847513914108276,0.3246084451675415,0.28739622235298157,0.9374765753746033
test,dataset_7_keyframe_1,S2M2-S,0.6734498143196106,0.33937013149261475,0.3071835935115814,0.8311914801597595
test,dataset_7_keyframe_1,S2M2-S,0.6860597729682922,0.333805650472641,0.28320813179016113,0.8432146310806274
test,dataset_7_keyframe_1,S2M2-S,0.7079271674156189,0.3597753047943115,0.3188447952270508,0.9629647731781006
test,dataset_7_keyframe_1,S2M2-S,0.6710323095321655,0.2723713219165802,0.23917093873023987,0.7252815365791321
test,dataset_7_keyframe_1,S2M2-S,0.6860231161117554,0.33925071358680725,0.2914542555809021,0.8044269680976868
test,dataset_7_keyframe_1,S2M2-S,0.7435126900672913,0.37721356749534607,0.34794822335243225,0.945869505405426
test,dataset_7_keyframe_1,S2M2-S,0.6954235434532166,0.3374587595462799,0.28511300683021545,0.8259316086769104
test,dataset_7_keyframe_1,S2M2-S,0.7055816054344177,0.37779301404953003,0.3304838240146637,0.9178337454795837
test,dataset_7_keyframe_1,S2M2-S,0.680709958076477,0.2932731509208679,0.25165584683418274,0.6599346995353699
test,dataset_7_keyframe_1,S2M2-S,0.7113671898841858,0.4023773670196533,0.35646381974220276,0.9678744077682495
test,dataset_7_keyframe_1,S2M2-S,0.7389534115791321,0.3866867125034332,0.35201382637023926,0.9459413290023804
