phase,sequence,backbone,frame_id,valid_count,raw_warped_disparity_difference,fused_warped_disparity_difference,raw_tepe,fused_tepe
test,dataset_7_keyframe_1,S2M2-S,['000002'],7310,0.04058808460831642,0.02265756204724312,0.043510209769010544,0.034735970199108124
test,dataset_7_keyframe_1,S2M2-S,['000002'],6998,0.05135213956236839,0.027235355228185654,0.048613641411066055,0.033634088933467865
test,dataset_7_keyframe_1,S2M2-S,['000002'],6650,0.046355705708265305,0.027883710339665413,0.04707067832350731,0.0359683632850647
test,dataset_7_keyframe_1,S2M2-S,['000002'],6328,0.042762499302625656,0.025375766679644585,0.04441528022289276,0.03237490355968475
test,dataset_7_keyframe_1,S2M2-S,['000006'],6032,0.03972027078270912,0.02490343526005745,0.041265781968832016,0.03248123824596405
test,dataset_7_keyframe_1,S2M2-S,['000006'],5690,0.04239217936992645,0.025437980890274048,0.040766630321741104,0.0307986568659544
test,dataset_7_keyframe_1,S2M2-S,['000006'],5230,0.05042634531855583,0.029171813279390335,0.04913529381155968,0.03575010970234871
test,dataset_7_keyframe_1,S2M2-S,['000006'],4631,0.06143289431929588,0.03160056099295616,0.0621742382645607,0.038142602890729904
test,dataset_7_keyframe_1,S2M2-S,['000010'],4069,0.05383549630641937,0.031053446233272552,0.05110174044966698,0.039210833609104156
test,dataset_7_keyframe_1,S2M2-S,['000010'],3587,0.062128424644470215,0.03202637657523155,0.06279031187295914,0.040339428931474686
test,dataset_7_keyframe_1,S2M2-S,['000010'],3040,0.06417697668075562,0.03613173961639404,0.06067575886845589,0.0367404967546463
test,dataset_7_keyframe_1,S2M2-S,['000010'],2658,0.050300050526857376,0.032339055091142654,0.0471811518073082,0.033650461584329605
test,dataset_7_keyframe_1,S2M2-S,['000014'],2244,0.050438206642866135,0.030467143282294273,0.05293748527765274,0.03960622102022171
test,dataset_7_keyframe_1,S2M2-S,['000014'],2002,0.06834972649812698,0.04356703534722328,0.06920779496431351,0.04773901030421257
test,dataset_7_keyframe_1,S2M2-S,['000014'],1833,0.06096348911523819,0.04229167476296425,0.06018069013953209,0.04397525638341904
test,dataset_7_keyframe_1,S2M2-S,['000014'],1521,0.07487156242132187,0.06830620020627975,0.07927761226892471,0.07136597484350204
test,dataset_7_keyframe_1,S2M2-S,['000018'],1385,0.06056629866361618,0.05278775468468666,0.0655357837677002,0.05950681492686272
test,dataset_7_keyframe_1,S2M2-S,['000018'],1205,0.06998191773891449,0.06033686175942421,0.06888921558856964,0.05965515598654747
test,dataset_7_keyframe_1,S2M2-S,['000018'],1092,0.07085888087749481,0.048613809049129486,0.07075535506010056,0.049787331372499466
test,dataset_7_keyframe_1,S2M2-S,['000018'],1050,0.08602683991193771,0.07546717673540115,0.08629745990037918,0.07509811967611313
test,dataset_7_keyframe_1,S2M2-S,['000022'],1038,0.07290113717317581,0.057028912007808685,0.07487881183624268,0.06284917145967484
test,dataset_7_keyframe_1,S2M2-S,['000022'],1009,0.07952958345413208,0.06871295720338821,0.08056988567113876,0.06951071321964264
test,dataset_7_keyframe_1,S2M2-S,['000022'],1085,0.07365399599075317,0.044344764202833176,0.0754673108458519,0.04883170500397682
test,dataset_7_keyframe_1,S2M2-S,['000022'],1067,0.07303968816995621,0.055167071521282196,0.07240444421768188,0.05605263262987137
test,dataset_7_keyframe_1,S2M2-S,['000026'],1181,0.04862414672970772,0.04201802983880043,0.05518225207924843,0.04961986839771271
test,dataset_7_keyframe_1,S2M2-S,['000026'],1203,0.0610380619764328,0.04024233669042587,0.06451538950204849,0.04643823578953743
test,dataset_7_keyframe_1,S2M2-S,['000026'],1282,0.05757138878107071,0.042205460369586945,0.0613996759057045,0.04575708135962486
test,dataset_7_keyframe_1,S2M2-S,['000026'],1268,0.04610529541969299,0.037315092980861664,0.04593765363097191,0.038015518337488174
test,dataset_7_keyframe_1,S2M2-S,['000030'],1287,0.076114222407341,0.04626370221376419,0.07348845154047012,0.045796655118465424
test,dataset_7_keyframe_1,S2M2-S,['000030'],1306,0.07532382011413574,0.056227073073387146,0.07924570888280869,0.05927649512887001
test,dataset_7_keyframe_1,S2M2-S,['000030'],1350,0.05768423527479172,0.039444584399461746,0.05784507468342781,0.04124634340405464
test,dataset_7_keyframe_1,S2M2-S,['000030'],1357,0.03655042499303818,0.0326896570622921,0.04518752917647362,0.03996049612760544
test,dataset_7_keyframe_1,S2M2-S,['000034'],1412,0.052039287984371185,0.035314179956912994,0.0539584644138813,0.03937174752354622
test,dataset_7_keyframe_1,S2M2-S,['000034'],1454,0.0659344419836998,0.04704217612743378,0.0673503503203392,0.0491708442568779
test,dataset_7_keyframe_1,S2M2-S,['000034'],1587,0.061567846685647964,0.04717673361301422,0.06347411870956421,0.05021268129348755
test,dataset_7_keyframe_1,S2M2-S,['000034'],1516,0.06954717636108398,0.04869275167584419,0.07037455588579178,0.04991966485977173
test,dataset_7_keyframe_1,S2M2-S,['000038'],1566,0.059113793075084686,0.04497278481721878,0.062239594757556915,0.049376774579286575
test,dataset_7_keyframe_1,S2M2-S,['000038'],1540,0.06380995362997055,0.042248595505952835,0.0655570700764656,0.04625776782631874
test,dataset_7_keyframe_1,S2M2-S,['000038'],1547,0.035057418048381805,0.027530979365110397,0.038908492773771286,0.03307507559657097
test,dataset_7_keyframe_1,S2M2-S,['000038'],1528,0.04701090231537819,0.033496350049972534,0.04922766610980034,0.037304725497961044
test,dataset_7_keyframe_1,S2M2-S,['000042'],1413,0.05077172443270683,0.03698694705963135,0.05242970958352089,0.040350280702114105
test,dataset_7_keyframe_1,S2M2-S,['000042'],1398,0.03739110007882118,0.033123455941677094,0.04103871434926987,0.036771323531866074
test,dataset_7_keyframe_1,S2M2-S,['000042'],1331,0.06763926148414612,0.049273207783699036,0.0712965652346611,0.05437854677438736
test,dataset_7_keyframe_1,S2M2-S,['000042'],1271,0.04487411677837372,0.029605615884065628,0.04705614596605301,0.03398136794567108
test,dataset_7_keyframe_1,S2M2-S,['000046'],1244,0.029344217851758003,0.020280249416828156,0.03305704891681671,0.026295455172657967
test,dataset_7_keyframe_1,S2M2-S,['000046'],1302,0.04272649437189102,0.023633068427443504,0.04811079055070877,0.030796829611063004
test,dataset_7_keyframe_1,S2M2-S,['000046'],1282,0.07028995454311371,0.02892594411969185,0.07214414328336716,0.03555240109562874
test,dataset_7_keyframe_1,S2M2-S,['000046'],1263,0.04474182426929474,0.02661481685936451,0.045649562031030655,0.031232379376888275
test,dataset_7_keyframe_1,S2M2-S,['000050'],1336,0.036865897476673126,0.02448655106127262,0.040013622492551804,0.029517877846956253
