epoch,global_step,learning_rate,total,geometry,correction,error_gate,memory_gate,clean_preservation,clean_pixel_update,clean_frame_update,safety_ranking,update_magnitude,target_error_mean,target_memory_mean,clean_pixel_ratio,clean_frame_ratio,gradient_norm,gate_mean,flow_latency_ms,update_abs_max,validation_raw_epe,validation_refined_epe,validation_oracle_epe,validation_oracle_recovery
0,1205,0.00042307188042020084,0.33798836714499225,0.2149103086457213,0.1198842605923716,0.256910444752804,0.6707864018396718,0.03054055288865665,0.028273610546706178,0.032807495229809615,0.00633635969749214,0.03373063072144052,0.07066264573592862,0.38643173728741054,0.20336688734065447,0.9331357439523911,0.5975237388206314,0.040153079210969916,5.884692862225161,2.5,0.7873572578335644,0.7728287438946705,0.6991422231907028,0.16469430633579127
1,2410,0.0012070826984827768,0.3070272264762538,0.18957415296699992,0.09946756722459654,0.24635538296828133,0.6704959147698651,0.07840375430047265,0.0709170465832924,0.08589046181670364,0.015054621335884161,0.09010501369772116,0.07071692260963788,0.3862315163572794,0.2033578428242711,0.933139448739681,0.9795620725362627,0.07457979447614108,5.185317760255462,3.0,0.7873572578335644,0.8001749549476724,0.6991422231907028,-0.145300596049194
2,3615,0.0018716739841408369,0.29513437386864944,0.17974583192485002,0.09156639160456993,0.244620643784891,0.6698081176805298,0.08986990263538737,0.08099731837874627,0.09874248666943851,0.016679250313301426,0.1054066661822598,0.07050295425772173,0.38621652697626485,0.2033528252570461,0.9331357439523911,0.7205173025363708,0.08068331010114108,4.696061756659873,3.0,0.7873572578335644,0.7924882762482638,0.6991422231907028,-0.058164897122949075
3,4820,0.0019887845648068705,0.2861100685917985,0.17236140113772197,0.08490918094748283,0.24391207920070507,0.6694769795504844,0.09880729036645276,0.0889755953737067,0.10863898535610729,0.017416715730924577,0.11824644914677529,0.07074717916393676,0.3865029688198042,0.20335739927049495,0.9331283343778112,0.5011802071604986,0.08451439315352698,5.073281826566406,3.0,0.7873572578335644,0.7981452880097345,0.6991422231907028,-0.12229242123913989
4,6025,0.0018658707122344853,0.27858236443205,0.16604326024837018,0.07972234307915838,0.2436880181686512,0.6697165690022385,0.1056345265930619,0.09481735018031726,0.11645170296870822,0.017403630179998415,0.12680585480515394,0.07071911928812004,0.38636817108546057,0.2033520393660949,0.9331357439523911,0.402883597936373,0.08596404142894191,4.922526821684431,3.0,0.7873572578335644,0.8098028617461397,0.6991422231907028,-0.2544419327549588
5,7230,0.0016232486196810256,0.26935433460963715,0.1578806794963437,0.0748160815956187,0.24481536470260856,0.6694553991076363,0.11162133722940916,0.1000373460136014,0.12320532841121012,0.01703228105508811,0.134255678692052,0.07071353279641555,0.38620647305769545,0.2033562540266029,0.933139448739681,0.32501501661736937,0.08966444339989627,5.0650754061901235,3.0,0.7873572578335644,0.826400752082636,0.6991422231907028,-0.4425945578000299
6,8435,0.0012944613986551297,0.26407331476815016,0.1533848060673698,0.0713480557272543,0.2449456582549202,0.6697481509066222,0.11479870398447721,0.10257061455568832,0.1270267935956662,0.01672676925535828,0.13821125248161095,0.07049762199466654,0.3862362930141544,0.2033547051652833,0.9331357439523911,0.30777297878166454,0.09232263842064316,5.080937667806779,3.0,0.7873572578335644,0.8407971732166406,0.6991422231907028,-0.6057914685339941
7,9640,0.0009249647053232175,0.2561622081208526,0.1465328892422415,0.06621580607107072,0.24586473598272474,0.6702893220537431,0.12016204731592993,0.10686926617600116,0.13345482835383832,0.0161681277414637,0.14599596365853465,0.07079807422529612,0.3864315888199074,0.20335584796686884,0.933139448739681,0.2790551938271127,0.0972429330912863,4.5179782376719935,3.0,0.7873572578335644,0.8448063217045141,0.6991422231907028,-0.6512389198001475
8,10845,0.000565842382282083,0.25078743952191224,0.14212628189335225,0.062167975513643246,0.24548880365132297,0.6706376565937184,0.12360772106533724,0.10939606323034437,0.13781937917856754,0.01574330086978268,0.15065166234228125,0.07070229329879847,0.38640334630902873,0.20335222362111713,0.9331246295410568,0.28879331598885327,0.09935935879149378,5.547195249157784,3.0,0.7873572578335644,0.8787423727127942,0.6991422231907028,-1.0359358271433254
9,12050,0.000266743989471764,0.24391859862566984,0.13602058892428134,0.05845712763392579,0.24583507664965396,0.6714645758704031,0.12701303490217297,0.11199958587212186,0.1420264838332952,0.015378749178900263,0.15537612250237048,0.07069072690000178,0.3862693047127783,0.2033509876718165,0.9331320391651011,0.2752203447257335,0.10230930692427385,5.709132277538275,3.0,0.7873572578335644,0.8536473969083953,0.6991422231907028,-0.7514607837905014
10,13255,6.902062825530119e-05,0.24014080479679267,0.1327755115400706,0.05613551487319202,0.24600402242909825,0.6715347297953372,0.12895349857718125,0.11340836269850553,0.14449863464134857,0.01509794614382119,0.1577537985758168,0.07061052366287382,0.3864085050786679,0.2033641317573326,0.933139448739681,0.2682019666517424,0.10384182118775934,5.65752235140254,3.0,0.7873572578335644,0.8504850374400325,0.6991422231907028,-0.7156124787802992
11,14460,8.048165419058827e-09,0.23792810814756576,0.1306969436928939,0.05531981293869464,0.246324178984551,0.6717769148438798,0.12970905791798074,0.11392733817031275,0.14549077811082864,0.014991731928947432,0.15911000278851797,0.07071228882151026,0.3862695884160481,0.20336052521877765,0.933143153526971,0.25824888879703783,0.10449583441390041,5.583762765854663,3.0,0.7873572578335644,0.8521031158607717,0.6991422231907028,-0.7339549124401626
