sequence_id,failure_group,reason,geometry_composite_score,rank_disparity_mae,rank_bad_3px,rank_depth_mae,rank_boundary,rank_flicker,rank_motion_mismatch,rank_error_variation,rank_lag,rank_low_valid,num_frames_total,frames_evaluated,frames_skipped,valid_pixel_pct_mean,disparity_mae_mean,bad_3px_mean,depth_mae_mean,boundary_disp_mae_px_mean,raw_temporal_disp_diff_px_mean,samepixel_temporal_motion_mismatch_px_mean,samepixel_temporal_error_variation_px_mean,lag_rate_mean
dataset_7_keyframe_3,low_valid_stress,valid_pixel_pct_mean <= q25 (0.168),0.8145291420941388,8,19,5,3,11,10,12,4,3,584,440,144,0.11012379110675968,9.804030399761483,25.103893081999487,5.870868868373654,21.563163676045157,1.2439813120523997,1.7816062275668212,1.9253148794309969,0.8587699316628702
dataset_7_keyframe_4,low_valid_stress,valid_pixel_pct_mean <= q25 (0.168),0.6842597799046201,11,9,14,12,9,6,7,7,2,2197,1467,730,0.09795418497536146,6.354396106350698,57.92420164585913,2.9858841097746858,6.6288259806239695,1.3926647890862307,2.336405329172478,2.5545207438494955,0.7360163710777626
dataset_7_keyframe_2,low_valid_stress,valid_pixel_pct_mean <= q25 (0.168),0.5614694749506167,14,11,21,11,14,4,5,14,4,628,628,0,0.12360826237186506,5.08548632431493,55.98328273065582,1.841357682917296,9.251370472513187,0.7274176432517917,3.7318011266573006,3.1542136075964384,0.6762360446570973
dataset_2_keyframe_2,low_valid_stress,valid_pixel_pct_mean <= q25 (0.168),0.428028931466294,17,16,17,15,21,18,18,9,7,1033,968,65,0.16200900451719244,3.2265873043066304,33.519971341702444,2.4852944341631034,4.9406866377050225,0.4658885930492442,0.8977149734514329,0.930004399065641,0.7207859358841778
dataset_2_keyframe_3,low_valid_stress,valid_pixel_pct_mean <= q25 (0.168),0.3344871819717479,20,18,18,20,15,19,19,1,1,1102,731,371,0.09437449155831726,2.2806708208889153,25.320978751303887,2.14087650319205,2.421490224621038,0.5744025448924058,0.8132658947412282,0.912140702384792,0.9136986301369863
dataset_2_keyframe_4,low_valid_stress,valid_pixel_pct_mean <= q25 (0.168),0.31316227977521244,18,17,23,18,16,24,22,11,5,2114,1677,437,0.13928499862396615,2.6433017191615917,25.977084254774166,1.550845702545773,3.632172465573199,0.502676442343306,0.5189058956621229,0.612552751460266,0.7028639618138425
dataset_4_keyframe_3,high_temporal_flicker,raw temporal diff or error variation >= q75,0.9847545508054965,7,7,9,10,4,5,4,25,8,407,366,41,0.17424734991949958,10.28876536399717,73.43564551244897,4.481146336229445,9.481359340128352,3.466784179292313,2.9971626188657057,3.3256189645153205,0.4986301369863014
dataset_6_keyframe_4,high_temporal_flicker,raw temporal diff or error variation >= q75,0.6694882452952117,12,13,10,13,5,7,8,21,17,1360,1334,26,0.2528798552120433,5.89130060297308,44.88199535708873,4.0406479978592325,5.52028916689052,1.7812584457109946,2.17093254812481,2.319985412402164,0.5611402850712678
dataset_3_keyframe_1,high_motion_mismatch,motion mismatch or lag rate >= q75,1.038167643192059,10,8,2,8,23,21,21,5,23,329,329,0,0.3710166328221469,6.805031045158282,60.598592980279065,8.232884324631346,13.172279820616122,0.31085498567398,0.5699002045865466,0.6350187865517488,0.8353658536585366
dataset_7_keyframe_1,high_motion_mismatch,motion mismatch or lag rate >= q75,0.3460418709559454,19,21,15,16,18,13,15,3,15,647,647,0,0.2248178496795607,2.381847070895342,18.70409727783319,2.8032345423313325,4.537283089282524,0.5001727314925415,1.264321978431737,1.2149210010335172,0.8808049535603715
dataset_1_keyframe_1,high_motion_mismatch,motion mismatch or lag rate >= q75,0.09344617490577571,26,26,25,26,25,25,26,6,24,197,197,0,0.382522943177199,0.88014494341593,1.148010104422663,0.9431024714172415,1.0869449449674733,0.21001387398918064,0.5122951364942959,0.5005821625188905,0.7704081632653061
dataset_1_keyframe_2,high_motion_mismatch,motion mismatch or lag rate >= q75,0.08642970171816104,27,27,26,27,27,27,27,2,25,280,280,0,0.38382579258510047,0.7405731589637572,0.7043286608293449,0.9402222513463798,1.073069103700774,0.161743662663899,0.45720129254471015,0.3910941335249118,0.8817204301075269
dataset_5_keyframe_3,high_boundary_error,boundary_disp_mae_px_mean >= q75 (13.585),1.4012412584720302,4,4,4,2,3,3,3,19,13,1440,1263,177,0.19746236006418863,18.46372969081005,82.63394635000691,6.0842351524218,24.997938645424018,4.642143829145636,4.4839802284012125,4.873713690533691,0.5760697305863708
dataset_4_keyframe_1,high_boundary_error,boundary_disp_mae_px_mean >= q75 (13.585),1.3534902355746123,5,3,3,5,6,9,9,20,18,728,728,0,0.2687018226791214,14.946885210066961,83.58555026558055,7.118679504599538,15.693082918505093,1.6824055563714841,1.8009057233553314,2.228838587233584,0.5749656121045392
dataset_5_keyframe_4,high_boundary_error,boundary_disp_mae_px_mean >= q75 (13.585),0.9750350450461163,6,6,11,6,7,12,11,13,21,411,411,0,0.31349045505198825,10.872851227573369,77.2234367671776,3.7087434155471324,14.40115217280794,1.5580798535812193,1.5229797755799643,2.024295787258846,0.7
dataset_4_keyframe_2,clean_core,moderate residual case; usable as secondary control,0.7321931077601214,9,10,12,9,10,15,13,22,22,540,540,0,0.36054854922824436,6.834366183543665,56.75886259568288,3.5949964823220957,9.899618408856568,1.2489094525741513,1.2137617799479354,1.456335941803035,0.5510204081632653
dataset_3_keyframe_3,clean_core,moderate residual case; usable as secondary control,0.6519339814581618,16,14,7,19,17,17,17,18,14,448,448,0,0.20840611457824706,3.3977511891173484,38.12841143143227,5.632073572573473,3.224715848054205,0.5015922659795556,1.010095536042113,1.078933627546767,0.6085011185682326
dataset_6_keyframe_2,clean_core,moderate residual case; usable as secondary control,0.5720368791613123,13,12,19,14,12,11,10,23,9,1087,1055,32,0.17805567638744646,5.150513123565584,54.83876130687447,2.0685804523646167,4.995304517892865,1.2190608749134322,1.7662513813664835,2.115255205833708,0.547438330170778
dataset_6_keyframe_3,clean_core,moderate residual case; usable as secondary control,0.5203348970863476,15,15,13,17,13,14,14,24,11,1573,1400,173,0.188960431990772,3.6544819328253846,36.346568571169314,3.517273894761075,3.852375006164823,0.9792610795062043,1.2148542267412181,1.3741277793716584,0.5353824160114368
dataset_6_keyframe_1,clean_core,all core error metrics <= median and valid ratio >= median,0.32299316865089794,21,20,20,21,20,16,16,27,20,637,637,0,0.29317364295947496,2.1984791113034543,24.989091838662734,2.0262191558604936,2.0660901952950135,0.4933710591340402,1.11119553807584,1.0876596357275106,0.43553459119496857
dataset_3_keyframe_2,clean_core,all core error metrics <= median and valid ratio >= median,0.2816004027787134,24,24,16,22,24,23,23,16,16,1597,1597,0,0.22969554741082523,1.6987021510384481,12.376373945292958,2.637247247520419,1.7071260230647227,0.29420586731891735,0.5204290967331943,0.5790362623625231,0.6466165413533834
dataset_3_keyframe_4,clean_core,moderate residual case; usable as secondary control,0.24429540356102464,22,23,22,23,22,20,20,8,12,834,834,0,0.19337063064392235,1.8087748706369526,15.328711401883893,1.740738519488507,1.6836297440943386,0.4243997239998552,0.7637604566968503,0.8179968794425424,0.7334933973589436
