sequence_id,frame_id,probe_bucket,target_mask_priority,disparity_mae,bad_3px,depth_mae,boundary_disp_mae_px,raw_temporal_disp_diff_px,samepixel_temporal_motion_mismatch_px,samepixel_temporal_error_variation_px,valid_pixel_pct
dataset_5_keyframe_2,000418,high_geometry_error,s2m2_error_mask,867.4085628135725,100.0,38.40686171214904,817.005615234375,798.1629028320312,794.794677734375,796.1777954101562,0.1978271484375
dataset_5_keyframe_2,000425,high_geometry_error,s2m2_error_mask,740.9225862712182,100.0,36.87086376079266,691.7214965820312,199.93328857421875,196.04420471191406,200.17117309570312,0.19109573364257812
dataset_5_keyframe_2,000422,high_geometry_error,s2m2_error_mask,662.2057816483887,100.0,36.38964109805489,612.6539306640625,356.4007568359375,352.6108703613281,356.2289123535156,0.186138916015625
dataset_5_keyframe_2,000423,high_geometry_error,s2m2_error_mask,632.1862553315678,100.0,36.098524818738184,567.5752563476562,31.761539459228516,31.57036781311035,33.49420928955078,0.18711318969726562
dataset_5_keyframe_2,000419,high_geometry_error,s2m2_error_mask,630.1085649003173,100.0,36.523665900889085,582.1476440429688,240.34844970703125,237.45782470703125,241.42591857910156,0.1936859130859375
dataset_5_keyframe_2,000424,high_geometry_error,s2m2_error_mask,570.1693091240626,100.0,35.311441353961364,560.4337158203125,123.70692443847656,119.69037628173828,123.70721435546875,0.19029159545898439
dataset_5_keyframe_2,000426,high_geometry_error,s2m2_error_mask,433.5519218028621,100.0,33.62773740372903,393.72491455078125,308.7556457519531,305.0216064453125,308.4327087402344,0.19139022827148439
dataset_5_keyframe_2,000430,high_geometry_error,s2m2_error_mask,385.2244697023631,100.0,32.578428674944696,363.0633850097656,90.5991439819336,86.90086364746094,90.86919403076172,0.19124908447265626
dataset_5_keyframe_2,000421,high_geometry_error,s2m2_error_mask,315.2176712421488,100.0,31.236389577404083,316.41802978515625,32.99494552612305,32.5041389465332,34.917327880859375,0.18702926635742187
dataset_5_keyframe_3,000799,high_geometry_error,s2m2_error_mask,314.8340197665806,100.0,29.2592124078964,162.2721710205078,87.51718139648438,86.35386657714844,89.55337524414062,0.30740890502929685
dataset_5_keyframe_2,000420,high_geometry_error,s2m2_error_mask,311.4491325282513,100.0,31.2047915041507,305.0155029296875,326.7618103027344,323.2258605957031,327.38470458984375,0.1900909423828125
dataset_5_keyframe_2,000429,high_geometry_error,s2m2_error_mask,308.2917892118728,100.0,30.642503837682668,310.7659912109375,238.97634887695312,235.1813201904297,236.15455627441406,0.19105377197265624
dataset_5_keyframe_3,000798,high_geometry_error,s2m2_error_mask,227.00089040361857,99.6998274131255,26.57510207887202,73.2546615600586,34.90586471557617,37.78945541381836,38.20291519165039,0.30855865478515626
dataset_5_keyframe_3,000797,high_geometry_error,s2m2_error_mask,195.263012817042,99.78513329374398,25.237279808766573,65.69166564941406,58.97759246826172,61.138755798339844,60.16865921020508,0.30962600708007815
