model,convention,delta_mae,harmful_rate,n,new_bad3_pct,raw_mae,refined_bad3,refined_mae
raw,,0.0,0.0,52,0.0,2.725,20.23,2.725
raw,direct_polaris,0.0,0.0,34,0.0,7.292,46.05,7.292
raw,direct_ps,0.0,0.0,51,0.0,3.348,37.96,3.348
v3.2c,,-0.343,0.634,52,18.72,2.725,31.96,3.068
v3.2c,direct_polaris,-0.182,0.481,34,15.72,7.292,55.92,7.474
v3.2c,direct_ps,-0.528,0.408,51,8.65,3.348,42.08,3.875
EGBM-v1,,-0.578,0.682,52,22.13,2.725,34.62,3.303
EGBM-v1,direct_polaris,-0.675,0.718,34,22.62,7.292,56.77,7.967
EGBM-v1,direct_ps,-0.899,0.783,51,20.49,3.348,49.26,4.247
EGBM-v2,,-0.58,0.638,52,24.72,2.725,34.53,3.305
EGBM-v2,direct_polaris,-1.005,0.745,34,39.13,7.292,60.03,8.297
EGBM-v2,direct_ps,-1.199,0.77,51,29.32,3.348,52.82,4.547
EGBM-v2-CARE,,-0.469,0.636,52,22.99,2.725,33.18,3.194
EGBM-v2-CARE,direct_polaris,-0.776,0.731,34,22.96,7.292,57.33,8.068
EGBM-v2-CARE,direct_ps,-0.968,0.703,51,18.84,3.348,48.83,4.315
EGBM-v3-CARE-S,,-0.543,0.662,52,20.49,2.725,33.34,3.268
EGBM-v3-CARE-S,direct_polaris,-0.483,0.697,34,22.0,7.292,58.0,7.775
EGBM-v3-CARE-S,direct_ps,-0.66,0.792,51,15.4,3.348,45.41,4.007
