model,delta_mae,pixels,raw_error_bin,raw_mae,refined_mae
raw,0.0,49570,<1,0.476,0.476
raw,0.0,53959,1-3,1.721,1.721
raw,0.0,16084,3-6,4.266,4.266
raw,0.0,4968,6-12,8.197,8.197
raw,0.0,11042,>12,26.369,26.369
v3.2c,-0.482,49570,<1,0.476,0.958
v3.2c,-0.278,53959,1-3,1.721,1.999
v3.2c,0.217,16084,3-6,4.266,4.049
v3.2c,0.85,4968,6-12,8.197,7.347
v3.2c,2.601,11042,>12,26.369,23.768
EGBM-v1,-1.032,49570,<1,0.476,1.507
EGBM-v1,-0.324,53959,1-3,1.721,2.045
EGBM-v1,-0.342,16084,3-6,4.266,4.608
EGBM-v1,0.48,4968,6-12,8.197,7.717
EGBM-v1,1.888,11042,>12,26.369,24.482
EGBM-v2,-1.252,49570,<1,0.476,1.728
EGBM-v2,-0.098,53959,1-3,1.721,1.819
EGBM-v2,-0.089,16084,3-6,4.266,4.355
EGBM-v2,-0.03,4968,6-12,8.197,8.227
EGBM-v2,1.538,11042,>12,26.369,24.831
EGBM-v2-CARE,-1.274,49570,<1,0.476,1.749
EGBM-v2-CARE,-0.042,53959,1-3,1.721,1.763
EGBM-v2-CARE,0.103,16084,3-6,4.266,4.163
EGBM-v2-CARE,0.359,4968,6-12,8.197,7.838
EGBM-v2-CARE,1.499,11042,>12,26.369,24.871
EGBM-v3-CARE-S,-0.71,49570,<1,0.476,1.186
EGBM-v3-CARE-S,-0.245,53959,1-3,1.721,1.966
EGBM-v3-CARE-S,-0.095,16084,3-6,4.266,4.361
EGBM-v3-CARE-S,0.412,4968,6-12,8.197,7.785
EGBM-v3-CARE-S,1.643,11042,>12,26.369,24.726
