model,Bad1,Bad3,Bad5,anchors,boundary_MAE,disp_MAE,harmful_rate,modified_ratio,new_Bad3,pct_improved,runtime_ms
raw,67.69,33.24,18.62,137,10.547,4.09,0.0,0.0,0.0,0.0,0.0
v3.2c,73.38,41.68,23.2,137,10.589,4.462,0.512,0.324,14.23,14.6,3.02
EGBM-v1,79.8,45.57,25.64,137,10.933,4.812,0.728,0.796,21.64,9.5,12.94
EGBM-v2,82.87,47.67,28.32,137,10.973,5.006,0.713,0.958,30.01,5.1,16.55
EGBM-v2-CARE,80.75,45.0,26.22,137,10.648,4.821,0.685,0.897,21.44,9.5,13.34
EGBM-v3-CARE-S,76.16,43.95,25.75,137,10.971,4.662,0.719,0.62,18.97,9.5,16.01
