model,specimen,delta_mae,harmful_rate,n,new_bad3_pct,raw_mae,refined_bad3,refined_mae
raw,specimen_1,0.0,0.0,72,0.0,2.514,19.96,2.514
raw,specimen_2,0.0,0.0,25,0.0,1.505,6.99,1.505
raw,specimen_3,0.0,0.0,40,0.0,8.542,73.53,8.542
v3.2c,specimen_1,-0.411,0.656,72,20.77,2.514,33.08,2.925
v3.2c,specimen_2,0.054,0.02,25,0.17,1.505,6.63,1.451
v3.2c,specimen_3,-0.569,0.56,40,11.24,8.542,79.05,9.111
EGBM-v1,specimen_1,-0.586,0.678,72,24.0,2.514,35.0,3.1
EGBM-v1,specimen_2,-0.419,0.63,25,7.4,1.505,13.44,1.923
EGBM-v1,specimen_3,-1.155,0.881,40,26.29,8.542,84.66,9.698
EGBM-v2,specimen_1,-0.622,0.648,72,26.82,2.514,35.44,3.136
EGBM-v2,specimen_2,-1.023,0.712,25,12.76,1.505,18.75,2.527
EGBM-v2,specimen_3,-1.379,0.832,40,46.54,8.542,87.75,9.921
EGBM-v2-CARE,specimen_1,-0.525,0.656,72,24.39,2.514,34.32,3.039
EGBM-v2-CARE,specimen_2,-1.027,0.713,25,12.12,1.505,18.11,2.532
EGBM-v2-CARE,specimen_3,-0.915,0.718,40,21.94,8.542,81.03,9.458
EGBM-v3-CARE-S,specimen_1,-0.585,0.664,72,23.73,2.514,34.83,3.1
EGBM-v3-CARE-S,specimen_2,-0.091,0.656,25,1.91,1.505,8.05,1.596
EGBM-v3-CARE-S,specimen_3,-0.847,0.856,40,21.08,8.542,82.81,9.39
