model,session,delta_mae,harmful_rate,n,new_bad3_pct,raw_mae,refined_bad3,refined_mae
EGBM-v2,2025_05_08-14_59_26,-1.436,0.867,3,66.67,2.199,75.56,3.635
EGBM-v2-CARE,2025_03_06-16_49_40,-0.604,0.67,1,17.22,3.81,29.22,4.415
EGBM-v2-CARE,2025_03_06-16_53_09,-0.196,0.547,2,18.99,7.774,44.13,7.971
EGBM-v2-CARE,2025_03_06-16_54_09,-0.28,0.582,2,18.18,6.124,43.09,6.404
EGBM-v2-CARE,2025_03_06-16_56_00,-0.386,0.605,8,15.68,3.52,27.71,3.905
EGBM-v2-CARE,2025_03_06-17_03_37,-0.667,0.709,2,25.78,1.898,32.47,2.565
EGBM-v2-CARE,2025_03_06-17_04_37,-0.72,0.767,9,21.36,1.783,29.96,2.503
EGBM-v2-CARE,2025_03_06-17_10_48,-0.444,0.61,2,19.52,2.453,31.78,2.897
EGBM-v2-CARE,2025_03_06-17_33_33,-0.723,0.695,2,33.23,1.985,42.68,2.708
EGBM-v2-CARE,2025_03_06-17_35_04,-0.965,0.758,1,32.3,1.805,39.6,2.771
EGBM-v2-CARE,2025_03_06-17_36_19,-1.037,0.781,7,40.62,2.372,54.5,3.41
EGBM-v2-CARE,2025_03_06-17_38_21,-0.013,0.482,9,19.56,2.255,24.05,2.268
EGBM-v2-CARE,2025_03_06-17_39_51,-0.178,0.547,7,19.48,2.071,25.58,2.248
EGBM-v2-CARE,2025_03_06-17_43_05,-0.867,0.768,1,26.02,1.628,34.4,2.494
EGBM-v2-CARE,2025_03_06-17_46_07,-0.811,0.762,8,30.68,1.88,39.75,2.692
EGBM-v2-CARE,2025_03_06-17_50_08,-0.527,0.665,2,21.73,1.964,32.53,2.491
EGBM-v2-CARE,2025_03_06-17_51_03,-0.558,0.663,9,27.3,2.083,36.46,2.641
EGBM-v2-CARE,2025_04_10-16_07_15,0.396,0.203,2,1.64,1.393,2.16,0.997
EGBM-v2-CARE,2025_04_10-16_08_53,-0.499,0.614,9,1.28,0.933,2.52,1.431
EGBM-v2-CARE,2025_04_10-16_13_29,0.424,0.402,2,2.13,8.792,65.17,8.368
EGBM-v2-CARE,2025_04_10-16_18_24,-1.723,0.867,2,8.33,0.629,8.33,2.352
EGBM-v2-CARE,2025_04_10-16_19_14,-1.939,0.936,10,26.73,0.759,27.88,2.699
EGBM-v2-CARE,2025_05_08-14_24_24,-1.69,0.948,1,24.71,4.279,87.83,5.969
EGBM-v2-CARE,2025_05_08-14_25_47,-1.215,0.806,1,12.5,11.185,86.01,12.4
EGBM-v2-CARE,2025_05_08-14_27_51,-0.836,0.743,12,15.23,16.093,85.82,16.93
EGBM-v2-CARE,2025_05_08-14_33_16,0.358,0.374,2,16.99,5.918,62.5,5.56
EGBM-v2-CARE,2025_05_08-14_34_16,-0.076,0.494,10,22.59,6.799,76.66,6.875
EGBM-v2-CARE,2025_05_08-14_36_52,-0.951,0.821,1,54.15,2.694,56.15,3.645
EGBM-v2-CARE,2025_05_08-14_38_08,-0.375,0.599,1,43.8,6.044,62.94,6.419
EGBM-v2-CARE,2025_05_08-14_39_50,-2.222,1.0,3,33.33,5.714,100.0,7.936
EGBM-v2-CARE,2025_05_08-14_49_00,-0.141,0.333,1,0.0,1.203,0.0,1.344
EGBM-v2-CARE,2025_05_08-14_50_11,-2.15,1.0,5,0.0,3.921,100.0,6.071
EGBM-v2-CARE,2025_05_08-14_59_26,-1.58,0.867,3,66.67,2.199,75.56,3.779
EGBM-v3-CARE-S,2025_03_06-16_49_40,-0.214,0.62,1,6.73,3.81,23.76,4.024
EGBM-v3-CARE-S,2025_03_06-16_53_09,0.248,0.448,2,6.8,7.774,37.6,7.526
EGBM-v3-CARE-S,2025_03_06-16_54_09,0.008,0.517,2,9.0,6.124,38.9,6.116
EGBM-v3-CARE-S,2025_03_06-16_56_00,-0.112,0.572,8,10.04,3.52,26.54,3.631
EGBM-v3-CARE-S,2025_03_06-17_03_37,-0.397,0.611,2,18.38,1.898,25.57,2.295
EGBM-v3-CARE-S,2025_03_06-17_04_37,-0.943,0.755,9,24.41,1.783,31.95,2.726
EGBM-v3-CARE-S,2025_03_06-17_10_48,-0.485,0.608,2,22.99,2.453,34.31,2.938
EGBM-v3-CARE-S,2025_03_06-17_33_33,-1.067,0.76,2,43.04,1.985,50.96,3.051
EGBM-v3-CARE-S,2025_03_06-17_35_04,-1.126,0.79,1,40.08,1.805,46.2,2.931
EGBM-v3-CARE-S,2025_03_06-17_36_19,-1.462,0.859,7,46.36,2.372,58.81,3.834
EGBM-v3-CARE-S,2025_03_06-17_38_21,-0.133,0.554,9,10.43,2.255,20.23,2.387
EGBM-v3-CARE-S,2025_03_06-17_39_51,-0.39,0.677,7,14.3,2.071,27.89,2.461
EGBM-v3-CARE-S,2025_03_06-17_43_05,-1.343,0.815,1,39.57,1.628,44.19,2.971
EGBM-v3-CARE-S,2025_03_06-17_46_07,-0.692,0.667,8,31.82,1.88,37.43,2.573
EGBM-v3-CARE-S,2025_03_06-17_50_08,-0.784,0.718,2,29.91,1.964,39.7,2.747
EGBM-v3-CARE-S,2025_03_06-17_51_03,-0.605,0.649,9,32.11,2.083,39.05,2.688
EGBM-v3-CARE-S,2025_04_10-16_07_15,0.113,0.231,2,1.46,1.393,1.89,1.28
EGBM-v3-CARE-S,2025_04_10-16_08_53,0.005,0.43,9,1.33,0.933,2.57,0.928
EGBM-v3-CARE-S,2025_04_10-16_13_29,0.385,0.414,2,2.13,8.792,65.17,8.407
EGBM-v3-CARE-S,2025_04_10-16_18_24,-0.166,0.875,2,0.0,0.629,0.0,0.794
EGBM-v3-CARE-S,2025_04_10-16_19_14,-0.299,0.95,10,2.86,0.759,4.4,1.058
EGBM-v3-CARE-S,2025_05_08-14_24_24,-0.838,1.0,1,3.53,4.279,85.74,5.117
EGBM-v3-CARE-S,2025_05_08-14_25_47,-0.264,0.754,1,2.27,11.185,84.79,11.449
EGBM-v3-CARE-S,2025_05_08-14_27_51,-0.118,0.709,12,8.28,16.093,85.57,16.211
EGBM-v3-CARE-S,2025_05_08-14_33_16,-0.727,0.92,2,25.45,5.918,68.18,6.645
EGBM-v3-CARE-S,2025_05_08-14_34_16,-0.677,0.933,10,29.3,6.799,82.93,7.477
EGBM-v3-CARE-S,2025_05_08-14_36_52,-0.529,0.994,1,30.5,2.694,33.53,3.222
EGBM-v3-CARE-S,2025_05_08-14_38_08,-0.944,0.894,1,63.54,6.044,89.12,6.989
EGBM-v3-CARE-S,2025_05_08-14_39_50,-2.244,1.0,3,33.33,5.714,100.0,7.957
EGBM-v3-CARE-S,2025_05_08-14_49_00,-0.14,0.333,1,0.0,1.203,0.0,1.343
EGBM-v3-CARE-S,2025_05_08-14_50_11,-2.058,1.0,5,0.0,3.921,100.0,5.979
EGBM-v3-CARE-S,2025_05_08-14_59_26,-1.503,0.867,3,66.67,2.199,75.56,3.702
