sequence,dataset,protocol,frames,authorization_ratio,catastrophic_update_gt3,clean_degradation,epe_gain,false_update_rate,harmful_modified_rate,intervention_coverage_all,intervention_precision,max_update_abs,mean_clean_update,mean_update_abs,new_bad3,p95_update_abs,raw_bad1,raw_bad3,raw_boundary_epe,raw_epe,raw_mc_temporal_error,raw_temporal_variance,refined_bad1,refined_bad3,refined_boundary_epe,refined_epe,refined_mc_temporal_error,refined_temporal_variance,runtime_ms,support_ratio,temporal_delta,temporal_worsened_ratio,transition,evaluated_frames,valid_count,clean_count,modified_count,frames_worsened,worst_frame_degradation,p95_frame_degradation
specimen_1__2025_03_06-16_49_40,D4D anchors,curated-pose Zivid GT at final frame of causal windows,1,0.303879140766386,0.0,0.04199475065616798,0.0953371524810791,0.12860892388451445,0.307909604519774,0.19946494610118815,0.6864406779661016,2.9033966064453125,0.050021298229694366,0.12378846853971481,0.0099601593625498,0.950060248374939,0.4418052256532066,0.20506730007917656,2.7938520908355713,3.584477186203003,0.41643548011779785,2.066788673400879,0.4410134600158353,0.21140142517814728,2.7183165550231934,3.4891397953033447,0.5000303983688354,2.106920003890991,27.298028115183115,0.9806327160493827,0.0835949033498764,0.2356991108663152,3.0,1,1263,381,354,0.0,-0.0953373908996582,-0.0953373908996582
specimen_1__2025_03_06-16_53_09,D4D anchors,curated-pose Zivid GT at final frame of causal windows,2,0.44956236548662676,0.0,0.11858407079646018,0.14340969814204987,0.21946902654867256,0.24041055718475074,0.33776409337849495,0.7992248062015503,2.97064208984375,0.17851850519665574,0.2604418247938156,0.015868143252914503,1.9752992987632751,0.6425576519916143,0.41544374563242487,7.543891787528992,7.781954687013233,1.0773601531982422,6.820907711982727,0.6446540880503144,0.42662473794549266,7.370346665382385,7.638544594133592,0.9649088084697723,5.800959825515747,28.297653887420893,0.9807291666666667,-0.11245137453079224,0.18962637257563486,3.0,2,2862,565,1290,0.0,-0.025989055633544922,-0.03637406826019288
specimen_1__2025_03_06-16_54_09,D4D anchors,curated-pose Zivid GT at final frame of causal windows,2,0.5184687037332766,0.0,0.1767337807606264,0.2167181506752968,0.3243847874720358,0.19082894185007568,0.32789653637831273,0.8092006033182504,2.98944091796875,0.1925817557789752,0.2464025691151619,0.008427277358198046,1.5388144850730896,0.648473282442748,0.4152671755725191,5.238377332687378,6.001029825210571,0.8126851320266724,5.366749048233032,0.6400763358778626,0.41908396946564885,5.0612952709198,5.784311497211457,0.7927528023719788,5.11816930770874,31.853813212364912,0.9783371913580248,-0.01993233896791935,0.21244788706991838,3.0,2,2620,447,1326,0.0,-0.11309123039245605,-0.12251187562942506
specimen_1__2025_03_06-16_56_00,D4D anchors,curated-pose Zivid GT at final frame of causal windows,8,0.48454519071502344,0.0,0.16408668730650156,0.022380685249003687,0.27347781217750256,0.4990223639449645,0.35329086361213846,0.49558916194076874,2.9817657470703125,0.10659387532082115,0.20298939757049084,0.019887382763522747,1.2420097216963768,0.46450086058519796,0.1496342512908778,1.9117757081985474,2.7046855892761643,0.5499013662338257,2.114646300673485,0.47601118760757316,0.16544750430292599,1.9577552378177643,2.682305041219712,0.5216494053602219,2.174561321735382,25.935931596904993,0.9807195216049382,-0.02825194224715233,0.21864555900609217,3.0,8,9296,2907,3174,0.25,0.011492013931274414,0.011492013931274414
specimen_1__2025_03_06-17_03_37,D4D anchors,curated-pose Zivid GT at final frame of causal windows,2,0.8731904967171105,0.0,0.0,0.0027767529245465994,0.0,0.07692307692307693,0.530374613582152,0.9230769230769231,2.9782943725585938,0.0,0.19568701088428497,0.03225806451612903,0.9783274233341217,0.42424242424242425,0.06060606060606061,,1.2739918231964111,1.506573498249054,6.571097135543823,0.42424242424242425,0.09090909090909091,,1.2712150812149048,1.3955334424972534,6.278394818305969,29.75646499544382,0.9501929012345679,-0.11103997379541397,0.27625413415121153,3.0,1,33,7,13,0.0,-0.0027767419815063477,-0.0027767419815063477
specimen_1__2025_03_06-17_04_37,D4D anchors,curated-pose Zivid GT at final frame of causal windows,9,0.8727423051455033,0.0,0.3142857142857143,0.10016335764446774,0.4857142857142857,0.3016835016835017,0.5805422484161712,0.6435643564356436,2.916950225830078,0.13950740684356008,0.18421533869372475,0.0,0.9595089356104533,0.3027027027027027,0.05405405405405406,,0.9217101006894498,1.36322773165173,4.336919652091132,0.23783783783783785,0.043243243243243246,,0.8215467626984055,1.2316235370106168,3.9232029914855957,27.537311892956495,0.9589334705075445,-0.1316041209631496,0.28092725303763744,3.0,9,185,70,101,0.2222222222222222,0.16340309381484985,0.16340309381484985
specimen_1__2025_03_06-17_10_48,D4D anchors,curated-pose Zivid GT at final frame of causal windows,2,0.8247209866883405,0.0,0.8,-0.03241143611873069,0.8666666666666667,0.5291666666666667,0.5373987831684116,0.34782608695652173,2.9792938232421875,0.28633880615234375,0.18670541048049927,0.0,0.943677544593811,0.3902439024390244,0.07317073170731707,,1.004165034468581,0.8602616488933563,3.454498767852783,0.34146341463414637,0.07317073170731707,,1.0365764731314124,0.7803649306297302,3.019170343875885,27.769971871748567,0.9628279320987654,-0.07989670149981976,0.33795041824498234,3.0,2,41,15,23,0.5,0.11977207660675049,0.10484796762466429
specimen_1__2025_03_06-17_33_33,D4D anchors,curated-pose Zivid GT at final frame of causal windows,2,0.8272151054070404,0.0,0.0,-0.054245597437808386,0.0,0.35,0.6098213762970839,0.6666666666666666,2.9104270935058594,0.0,0.2136734053492546,0.0,1.3004741966724396,0.6842105263157895,0.15789473684210525,,1.9383422261790226,1.025992214679718,4.74781346321106,0.631578947368421,0.15789473684210525,,1.9925878926327354,0.8907422125339508,3.69532573223114,25.996231473982334,0.9619791666666666,-0.13525004498660564,0.3073641624992163,3.0,2,19,0,9,1.0,0.08291447162628174,0.07951005101203919
specimen_1__2025_03_06-17_35_04,D4D anchors,curated-pose Zivid GT at final frame of causal windows,1,0.978274211366147,0.0,0.0,-0.06849899142980576,0.5,0.75,0.5372938914119717,0.25,2.895111083984375,0.05650138854980469,0.1659391075372696,0.11111111111111112,0.8194732666015625,0.5,0.1,,1.4695005416870117,1.1543757915496826,4.766509056091309,0.5,0.2,,1.5379995107650757,1.0657778978347778,3.881338596343994,28.832396026700735,0.9429398148148148,-0.0885978564620018,0.333578822470439,3.0,1,10,2,4,1.0,0.06849896907806396,0.06849896907806396
specimen_1__2025_03_06-17_36_19,D4D anchors,curated-pose Zivid GT at final frame of causal windows,7,0.9506296588474902,0.0,0.6666666666666666,-0.4036643434909807,0.6666666666666666,0.6136054421768707,0.6724762909796472,0.3157894736842105,2.960216522216797,0.07309850056966145,0.2709749255861555,0.07729468599033816,1.4625091552734375,0.5652173913043478,0.2898550724637681,,2.321903135465539,0.7820118239947728,1.026676458971841,0.5652173913043478,0.34782608695652173,,2.7255675136179165,0.649488091468811,0.8554382494517735,27.83233645771231,0.9556547619047618,-0.13252374662884644,0.29059036592287635,3.0,7,69,6,38,0.8571428571428571,0.7315402030944824,0.7315402030944824
