dataset,coverage,n,raw_wrong_precision,raw_error_mean,incorrect_authorization_rate,predicted_uncertainty
CREStereo,0.01,410,0.9707317352294922,9.934985160827637,0.046341463923454285,1.738010287284851
CREStereo,0.05,2048,0.85009765625,6.862567901611328,0.19775390625,1.0796648263931274
CREStereo,0.1,4096,0.69921875,5.560177326202393,0.262451171875,0.7726937532424927
CREStereo,0.2,8192,0.5205078125,4.003897190093994,0.1312255859375,0.5202478766441345
CREStereo,0.5,20480,0.30327147245407104,2.3239169120788574,0.052490234375,0.3274381756782532
CREStereo,1.0,40960,0.16745606064796448,1.278633713722229,0.0262451171875,0.21762597560882568
D4D,0.01,78,0.6794871687889099,3.872532367706299,0.0,3.6059794425964355
D4D,0.05,388,0.6443299055099487,2.1531262397766113,0.036082472652196884,2.628854751586914
D4D,0.1,775,0.7470967769622803,2.205064535140991,0.18709677457809448,2.1968870162963867
D4D,0.2,1550,0.814838707447052,3.117814779281616,0.26774194836616516,1.7066154479980469
D4D,0.5,3874,0.8156943917274475,2.619218349456787,0.3833247423171997,1.1252868175506592
D4D,1.0,7748,0.7724574208259583,2.2174038887023926,0.23735158145427704,0.7440157532691956
SCARED-C-heldout,0.01,1229,0.9511798024177551,11.910116195678711,0.07648494839668274,1.9951622486114502
SCARED-C-heldout,0.05,6144,0.814453125,7.011928558349609,0.2736002504825592,1.0930182933807373
SCARED-C-heldout,0.1,12288,0.6580403447151184,5.0706658363342285,0.2662760317325592,0.7568528652191162
SCARED-C-heldout,0.2,24576,0.4822184145450592,3.5194740295410156,0.1331380158662796,0.5096718072891235
SCARED-C-heldout,0.5,61440,0.2922526001930237,1.9889651536941528,0.05325520783662796,0.3242618143558502
SCARED-C-heldout,1.0,122880,0.16343587636947632,1.1149661540985107,0.02662760391831398,0.21695579588413239
SERV-CT,0.01,18,0.7777777910232544,1.0815972089767456,0.0,2.948455333709717
SERV-CT,0.05,90,0.8111110925674438,1.3465278148651123,0.0,2.788464307785034
SERV-CT,0.1,180,0.7444444298744202,1.1923611164093018,0.0,2.671480417251587
SERV-CT,0.2,359,0.6685236692428589,1.0303795337677002,0.0,2.5594053268432617
SERV-CT,0.5,896,0.5691964030265808,0.9071219563484192,0.1149553582072258,2.3032028675079346
SERV-CT,1.0,1792,0.5881696343421936,0.9486083984375,0.3359375,1.9610406160354614
