,penultimate_00,penultimate_01,penultimate_02,penultimate_03,penultimate_04,penultimate_05,penultimate_06,penultimate_07,penultimate_08,penultimate_09,penultimate_10,penultimate_11,penultimate_12,penultimate_13,penultimate_14,penultimate_15,penultimate_16,penultimate_17,penultimate_18,penultimate_19,penultimate_20,penultimate_21,penultimate_22,penultimate_23
penultimate_00,1.0000005,-0.6942866,-0.68214685,-0.6794,0.72989917,0.7715219,-0.59265226,0.9118495,0.79406035,0.5833471,0.8475594,-0.7031024,-0.6816766,-0.5739397,0.8982253,0.8181536,-0.6691522,0.6787203,0.85330015,0.6853399,-0.6684612,0.7308242,-0.6958275,0.8117295
penultimate_01,-0.6942866,1.0000007,0.95725673,0.9661033,-0.45110422,-0.5171141,0.82376206,-0.6621781,-0.47963613,-0.42853338,-0.59128153,0.9317285,0.89749295,0.8745877,-0.5782147,-0.59864235,0.9782101,-0.43692344,-0.5960846,-0.48806202,0.95949095,-0.553918,0.9423807,-0.6867236
penultimate_02,-0.68214685,0.95725673,0.99999976,0.94330305,-0.4469813,-0.5347338,0.7322282,-0.5921142,-0.5156129,-0.28663146,-0.5950155,0.90672773,0.87713015,0.77508634,-0.5572457,-0.5815799,0.93146336,-0.3393296,-0.5675115,-0.40834224,0.8803487,-0.43923083,0.8997007,-0.64084965
penultimate_03,-0.6794,0.9661033,0.94330305,0.99999964,-0.49464104,-0.5623151,0.80286896,-0.6232108,-0.5316224,-0.40341836,-0.5957808,0.8890372,0.87434363,0.8550358,-0.59029675,-0.6098119,0.9582726,-0.412706,-0.5852571,-0.4751805,0.92526764,-0.5254549,0.8875058,-0.643477
penultimate_04,0.72989917,-0.45110422,-0.4469813,-0.49464104,1.0,0.8591109,-0.47142723,0.7804938,0.7925751,0.4457014,0.7070548,-0.46646273,-0.49390993,-0.42522636,0.81643593,0.54275143,-0.46393305,0.769888,0.89699554,0.90331686,-0.45300895,0.8443459,-0.44815096,0.3306597
penultimate_05,0.7715219,-0.5171141,-0.5347338,-0.5623151,0.8591109,0.99999976,-0.35289383,0.7666113,0.87174964,0.2966985,0.76917475,-0.4504435,-0.42360175,-0.39439848,0.838218,0.585835,-0.48742065,0.74415725,0.9202497,0.75942636,-0.437744,0.7363526,-0.43602222,0.38143668
penultimate_06,-0.59265226,0.82376206,0.7322282,0.80286896,-0.47142723,-0.35289383,0.9999996,-0.5831403,-0.4149406,-0.42373335,-0.33077636,0.87591124,0.9279724,0.93932533,-0.4168973,-0.38473207,0.8866424,-0.4676369,-0.5003835,-0.55721164,0.9367961,-0.58618194,0.9081836,-0.5416011
penultimate_07,0.9118495,-0.6621781,-0.5921142,-0.6232108,0.7804938,0.7666113,-0.5831403,0.99999994,0.6726467,0.73342043,0.8205706,-0.6629993,-0.6032067,-0.6155354,0.90040135,0.76897925,-0.6317881,0.85242033,0.91826457,0.85036325,-0.66392845,0.8816075,-0.6705146,0.7226106
penultimate_08,0.79406035,-0.47963613,-0.5156129,-0.5316224,0.7925751,0.87174964,-0.4149406,0.6726467,0.99999994,0.23390855,0.78569585,-0.5098324,-0.52328694,-0.33463505,0.77914006,0.6155699,-0.49389386,0.5552832,0.78670114,0.60219985,-0.43670982,0.62394744,-0.45306596,0.5215683
penultimate_09,0.5833471,-0.42853338,-0.28663146,-0.40341836,0.4457014,0.2966985,-0.42373335,0.73342043,0.23390855,1.0000004,0.53902227,-0.37796327,-0.36109447,-0.43931273,0.6439677,0.7102293,-0.3969273,0.6329407,0.52274823,0.6047174,-0.4694323,0.70314753,-0.4066926,0.66646326
penultimate_10,0.8475594,-0.59128153,-0.5950155,-0.5957808,0.7070548,0.76917475,-0.33077636,0.8205706,0.78569585,0.53902227,1.0000002,-0.5774465,-0.48465008,-0.3412124,0.91504014,0.82570463,-0.54821765,0.5378498,0.7871616,0.58430886,-0.49583444,0.6561852,-0.5190273,0.73503625
penultimate_11,-0.7031024,0.9317285,0.90672773,0.8890372,-0.46646273,-0.4504435,0.87591124,-0.6629993,-0.5098324,-0.37796327,-0.5774465,0.9999998,0.9576948,0.8553975,-0.55116177,-0.56452745,0.9570298,-0.41263247,-0.56222975,-0.4941788,0.9520295,-0.52152044,0.9781132,-0.70966685
penultimate_12,-0.6816766,0.89749295,0.87713015,0.87434363,-0.49390993,-0.42360175,0.9279724,-0.6032067,-0.52328694,-0.36109447,-0.48465008,0.9576948,0.9999996,0.8533697,-0.5120897,-0.5308326,0.948478,-0.400421,-0.5255322,-0.5036088,0.9444868,-0.5188987,0.9506727,-0.65067524
penultimate_13,-0.5739397,0.8745877,0.77508634,0.8550358,-0.42522636,-0.39439848,0.93932533,-0.6155354,-0.33463505,-0.43931273,-0.3412124,0.8553975,0.8533697,1.0000002,-0.39921573,-0.35194522,0.89064956,-0.5022967,-0.54225975,-0.54140747,0.9471902,-0.6053572,0.90311235,-0.5133834
penultimate_14,0.8982253,-0.5782147,-0.5572457,-0.59029675,0.81643593,0.838218,-0.4168973,0.90040135,0.77914006,0.6439677,0.91504014,-0.55116177,-0.5120897,-0.39921573,0.99999917,0.880026,-0.5537809,0.73776305,0.86848855,0.7770005,-0.5242455,0.764331,-0.5385978,0.6859523
penultimate_15,0.8181536,-0.59864235,-0.5815799,-0.6098119,0.54275143,0.585835,-0.38473207,0.76897925,0.6155699,0.7102293,0.82570463,-0.56452745,-0.5308326,-0.35194522,0.880026,1.0,-0.5677105,0.54273576,0.6175924,0.52754396,-0.53195655,0.5415015,-0.54327196,0.85116154
