dataset,authorization,raw_wrong,incorrect_authorization,pc1,pc2
CREStereo,0.0,0.0,0.0,-5.128084,0.7685871
CREStereo,0.0,1.0,0.0,-3.9898236,-0.6123382
CREStereo,0.0,0.0,0.0,-7.046694,1.3852677
CREStereo,0.0,0.0,0.0,-7.7122736,1.3034728
CREStereo,0.0,0.0,0.0,-6.696357,1.0084096
CREStereo,0.0,0.0,0.0,-7.018608,1.5975894
CREStereo,0.0,0.0,0.0,-3.5817084,-0.8382996
CREStereo,0.0,0.0,0.0,-7.267577,1.6314396
CREStereo,0.0,0.0,0.0,-6.925276,1.0100356
CREStereo,0.0,1.0,0.0,-1.735867,-4.6792774
CREStereo,0.0,0.0,0.0,-8.679628,3.0777817
CREStereo,1.0,1.0,0.0,6.858148,-3.8311524
CREStereo,0.0,0.0,0.0,-7.7272053,1.8873779
CREStereo,0.0,0.0,0.0,-5.284007,-1.4445237
CREStereo,0.0,0.0,0.0,-7.2451267,1.6043744
CREStereo,1.0,1.0,0.0,3.8788915,-4.56912
CREStereo,0.0,0.0,0.0,-8.8844595,2.6365979
CREStereo,0.0,0.0,0.0,-4.312075,-2.4823565
CREStereo,0.0,1.0,0.0,-3.6447134,-0.14314425
CREStereo,0.0,0.0,0.0,-4.4707146,-2.456186
CREStereo,0.0,0.0,0.0,-8.552612,2.9182768
CREStereo,0.0,0.0,0.0,-5.872193,-0.6922451
CREStereo,0.0,0.0,0.0,-3.4221716,-0.9475802
CREStereo,0.0,0.0,0.0,-6.2509313,-1.3005044
CREStereo,0.0,0.0,0.0,-8.06019,2.3634624
CREStereo,0.0,0.0,0.0,-4.325601,-2.2955914
CREStereo,0.0,0.0,0.0,-8.7518425,2.7589626
CREStereo,0.0,0.0,0.0,-7.095334,0.6174152
CREStereo,0.0,0.0,0.0,-5.832622,0.6815729
CREStereo,0.0,1.0,0.0,-3.0686119,-1.0830417
CREStereo,0.0,0.0,0.0,-6.4270587,0.995298
