reference,dataset,feature,reference_mean,dataset_mean,mean_shift_std,std_ratio,wasserstein,ks_stat,ks_pvalue
SCARED-C-heldout,CREStereo,raw_probability,0.15053370594978333,0.1593816727399826,0.043212007731199265,1.0487587451934814,0.008948272467580409,0.028922526041666674,9.288735755955134e-23
SCARED-C-heldout,CREStereo,intervention_probability,0.11731842905282974,0.12662635743618011,0.04227784648537636,1.052878975868225,0.00933679824406776,0.028922526041666674,9.288735755955134e-23
SCARED-C-heldout,CREStereo,predicted_error_mu,0.2396923452615738,0.24046850204467773,0.003409381490200758,0.9395692944526672,0.006149092638437067,0.008390299479166696,0.026313201979661804
SCARED-C-heldout,CREStereo,predicted_uncertainty_sigma,0.21695576608181,0.21762597560882568,0.0025313356891274452,0.9303247928619385,0.007267304529159466,0.008927408854166652,0.01485320495490438
SCARED-C-heldout,CREStereo,authorization,0.0711263045668602,0.08186034858226776,0.04176090657711029,1.0665905475616455,0.010734049479166674,0.010734049479166674,0.0016728194605894104
SCARED-C-heldout,CREStereo,authorization_ultra_safe,0.02002766914665699,0.025634765625,0.04002358019351959,1.128115177154541,0.005607096354166674,0.005607096354166674,0.28786949508515436
SCARED-C-heldout,CREStereo,update_magnitude,0.04881897196173668,0.05821726471185684,0.03467888757586479,1.0944324731826782,0.009406157051457184,0.01131184895833326,0.0007644942534535423
SCARED-C-heldout,CREStereo,update_signed,-0.04746035113930702,-0.05699295550584793,-0.035143207758665085,1.0943355560302734,0.009600176521514753,0.011490885416666673,0.0005948161576959331
SCARED-C-heldout,CREStereo,a2_proposal_magnitude,0.10231674462556839,0.11009868234395981,0.02679668739438057,1.0425198078155518,0.00785298307088761,0.039420572916666674,6.465582322945964e-42
SCARED-C-heldout,CREStereo,a2_error_gate,0.08582928031682968,0.09019599109888077,0.03819084167480469,1.0565661191940308,0.0043668114589157404,0.03188476562499998,1.4416069419237086e-27
SCARED-C-heldout,CREStereo,a2_memory_gate,0.41241323947906494,0.41346827149391174,0.015107588842511177,1.017616629600525,0.0017963837955903732,0.02851562499999999,3.9077391299053044e-22
SCARED-C-heldout,CREStereo,aligned_disparity,12.875865936279297,13.074605941772461,0.03678685799241066,1.0107914209365845,0.3764274486262972,0.01517740885416674,1.411965655395974e-06
SCARED-C-heldout,CREStereo,disparity_residual_signed,-0.02896697074174881,-0.01607409305870533,0.00880417786538601,0.5567143559455872,0.08074092569295321,0.016487630208333326,1.1022929287075184e-07
SCARED-C-heldout,CREStereo,bidavideo_disagreement_abs,0.282991498708725,0.21110789477825165,-0.05002015456557274,0.5480591058731079,0.07904217968850086,0.020524088541666652,1.1329071915675551e-11
SCARED-C-heldout,CREStereo,forward_backward_error,0.051872219890356064,0.05133257061243057,-0.008119923993945122,0.9915692806243896,0.0005844448959185396,0.0056722005208333925,0.27526343226301153
SCARED-C-heldout,CREStereo,forward_backward_confidence,0.9109687209129333,0.911778450012207,0.008912959136068821,0.9887927770614624,0.0008258936887311092,0.00550944010416668,0.3075392324270516
