dataset,target,feature,pearson,spearman
CREStereo,false_update,raw_probability,0.35135287046432495,0.21428521400372189
CREStereo,false_update,intervention_probability,0.37095534801483154,0.2142852140038809
CREStereo,false_update,predicted_error_mu,0.22055061161518097,0.2092400384629039
CREStereo,false_update,predicted_uncertainty_sigma,0.21230044960975647,0.2086025365900269
CREStereo,false_update,update_magnitude,0.1098179966211319,0.4527790151944919
CREStereo,false_update,a2_proposal_magnitude,0.08374103903770447,0.18974437929784102
CREStereo,false_update,a2_error_gate,0.11526472866535187,0.18504922777167185
CREStereo,false_update,a2_memory_gate,0.14700071513652802,0.17183331600334534
CREStereo,false_update,aligned_disparity,-0.013512822799384594,-0.0016798369470655398
CREStereo,false_update,disparity_residual_signed,-0.06830555945634842,0.009304946840734771
CREStereo,false_update,bidavideo_disagreement_abs,0.07883194833993912,0.10789219283274525
CREStereo,false_update,forward_backward_error,0.09598729014396667,0.0727257420038857
CREStereo,false_update,forward_backward_confidence,-0.09306223690509796,-0.07182326981372818
CREStereo,false_update,photometric_residual,-0.022601982578635216,-0.017246750951676378
CREStereo,false_update,flow_magnitude,0.08061470091342926,0.06768573956659873
CREStereo,false_update,raw_gradient_x,0.03491926193237305,-0.005744512939500739
CREStereo,false_update,raw_gradient_y,0.21147824823856354,0.12930127568562702
CREStereo,false_update,raw_gradient_magnitude,0.21068790555000305,0.1442882505958331
CREStereo,false_update,raw_local_variance,0.09240549802780151,0.14461073243188394
CREStereo,clean_degradation,raw_probability,0.2657395005226135,0.15691659771038113
CREStereo,clean_degradation,intervention_probability,0.27956685423851013,0.15691658740170078
CREStereo,clean_degradation,predicted_error_mu,0.1847960501909256,0.15422083704123618
CREStereo,clean_degradation,predicted_uncertainty_sigma,0.18193957209587097,0.15393042792669695
CREStereo,clean_degradation,update_magnitude,0.09349551051855087,0.3299157768415789
CREStereo,clean_degradation,a2_proposal_magnitude,0.07425808906555176,0.1241809413405985
CREStereo,clean_degradation,a2_error_gate,0.09455542266368866,0.1218310201867185
CREStereo,clean_degradation,a2_memory_gate,0.12547588348388672,0.11697099979342286
CREStereo,clean_degradation,aligned_disparity,-0.01438254676759243,-0.012337227808565852
CREStereo,clean_degradation,disparity_residual_signed,-0.05993009731173515,-0.013318986072852658
CREStereo,clean_degradation,bidavideo_disagreement_abs,0.07008425146341324,0.08863172571230042
CREStereo,clean_degradation,forward_backward_error,0.029606863856315613,0.033248364378013914
CREStereo,clean_degradation,forward_backward_confidence,-0.031155923381447792,-0.0329031949356597
CREStereo,clean_degradation,photometric_residual,-0.031644515693187714,-0.03560912095466147
CREStereo,clean_degradation,flow_magnitude,0.02920215018093586,0.019270182296405647
CREStereo,clean_degradation,raw_gradient_x,0.05608147755265236,0.02274688640574677
CREStereo,clean_degradation,raw_gradient_y,0.22237440943717957,0.11904002543016297
CREStereo,clean_degradation,raw_gradient_magnitude,0.21730206906795502,0.11972774467503408
CREStereo,clean_degradation,raw_local_variance,0.08973173052072525,0.12297584966322586
CREStereo,incorrect_authorization,raw_probability,0.41911810636520386,0.25335258156421814
CREStereo,incorrect_authorization,intervention_probability,0.44187086820602417,0.25335258156440615
CREStereo,incorrect_authorization,predicted_error_mu,0.27409306168556213,0.24788146385740026
CREStereo,incorrect_authorization,predicted_uncertainty_sigma,0.268201619386673,0.24747537787753077
CREStereo,incorrect_authorization,update_magnitude,0.11588378250598907,0.5299803986336472
CREStereo,incorrect_authorization,a2_proposal_magnitude,0.08539512008428574,0.1712831940437915
CREStereo,incorrect_authorization,a2_error_gate,0.11562927067279816,0.17588824857634763
CREStereo,incorrect_authorization,a2_memory_gate,0.14768549799919128,0.16568562410177867
CREStereo,incorrect_authorization,aligned_disparity,0.009866125881671906,0.010829570804905427
CREStereo,incorrect_authorization,disparity_residual_signed,-0.13396123051643372,-0.021855177775931715
CREStereo,incorrect_authorization,bidavideo_disagreement_abs,0.1492057740688324,0.14059891719368048
CREStereo,incorrect_authorization,forward_backward_error,0.10929759591817856,0.07871528730058848
CREStereo,incorrect_authorization,forward_backward_confidence,-0.10305297374725342,-0.07781134851325701
CREStereo,incorrect_authorization,photometric_residual,-0.030020657926797867,-0.025974921385578394
CREStereo,incorrect_authorization,flow_magnitude,0.08379526436328888,0.06530227036441522
CREStereo,incorrect_authorization,raw_gradient_x,0.10338608920574188,0.028276549474185276
CREStereo,incorrect_authorization,raw_gradient_y,0.30991336703300476,0.17462884428792486
CREStereo,incorrect_authorization,raw_gradient_magnitude,0.3129834234714508,0.18691814740633972
CREStereo,incorrect_authorization,raw_local_variance,0.14856752753257751,0.18635382487219923
D4D,false_update,raw_probability,0.19319351017475128,0.166786354542938
D4D,false_update,intervention_probability,0.20267625153064728,0.16678684900393312
D4D,false_update,predicted_error_mu,0.049458425492048264,0.1571515118674798
D4D,false_update,predicted_uncertainty_sigma,0.04691223055124283,0.15663767809675275
D4D,false_update,update_magnitude,0.1036597415804863,0.288769770991969
D4D,false_update,a2_proposal_magnitude,0.05708198994398117,0.19557080298088161
D4D,false_update,a2_error_gate,0.07422922551631927,0.19247746859905657
D4D,false_update,a2_memory_gate,0.08320917934179306,0.12536648511497014
D4D,false_update,aligned_disparity,0.09571871161460876,0.12882039855013588
D4D,false_update,disparity_residual_signed,0.05279938876628876,0.14188527651546617
D4D,false_update,bidavideo_disagreement_abs,0.03709295019507408,0.10537208369034634
D4D,false_update,forward_backward_error,0.04548204690217972,0.11992542633275133
D4D,false_update,forward_backward_confidence,-0.11828437447547913,-0.12265209738719651
D4D,false_update,photometric_residual,-0.045296285301446915,-0.01816475552313446
D4D,false_update,flow_magnitude,0.026491127908229828,0.11503574011561707
D4D,false_update,raw_gradient_x,0.0035734856501221657,-0.0193099531307619
D4D,false_update,raw_gradient_y,-0.02830803394317627,-0.1227856572908386
D4D,false_update,raw_gradient_magnitude,0.0014667995274066925,0.07309733114092015
D4D,false_update,raw_local_variance,-0.029726721346378326,0.05965019694345569
D4D,clean_degradation,raw_probability,0.1574382185935974,0.13628162079395897
D4D,clean_degradation,intervention_probability,0.16506178677082062,0.13628231512497999
D4D,clean_degradation,predicted_error_mu,0.03896790370345116,0.12897963338053375
D4D,clean_degradation,predicted_uncertainty_sigma,0.036937929689884186,0.1285473174062314
D4D,clean_degradation,update_magnitude,0.09119170159101486,0.20992468282688778
D4D,clean_degradation,a2_proposal_magnitude,0.05142853781580925,0.08852907373332979
D4D,clean_degradation,a2_error_gate,0.061137743294239044,0.09426737612883393
D4D,clean_degradation,a2_memory_gate,0.0500241257250309,0.0344573665245771
D4D,clean_degradation,aligned_disparity,0.07588782906532288,0.1050196386992031
D4D,clean_degradation,disparity_residual_signed,0.037258658558130264,0.09124835189244815
D4D,clean_degradation,bidavideo_disagreement_abs,0.019650515168905258,0.05840564825758094
D4D,clean_degradation,forward_backward_error,0.039610981941223145,0.10992924674814655
D4D,clean_degradation,forward_backward_confidence,-0.10659909248352051,-0.11245552665516043
D4D,clean_degradation,photometric_residual,-0.04154609888792038,-0.018854124196322875
D4D,clean_degradation,flow_magnitude,0.023381516337394714,0.1067848401832969
D4D,clean_degradation,raw_gradient_x,0.0032098558731377125,-0.025702845292542482
D4D,clean_degradation,raw_gradient_y,-0.02469625324010849,-0.09063740152916071
D4D,clean_degradation,raw_gradient_magnitude,0.003923746757209301,0.060859521001014695
