dataset,target,feature,pearson,spearman
D4D,clean_degradation,raw_local_variance,-0.018467895686626434,0.055108192644263414
D4D,incorrect_authorization,raw_probability,0.3707941174507141,0.3179930054412699
D4D,incorrect_authorization,intervention_probability,0.39267414808273315,0.3179932761319247
D4D,incorrect_authorization,predicted_error_mu,0.08105099946260452,0.29494852086914053
D4D,incorrect_authorization,predicted_uncertainty_sigma,0.07451712340116501,0.29134336144117157
D4D,incorrect_authorization,update_magnitude,0.23557481169700623,0.5215427153756179
D4D,incorrect_authorization,a2_proposal_magnitude,0.1369999647140503,0.23580924482473553
D4D,incorrect_authorization,a2_error_gate,0.159835547208786,0.28285521221587384
D4D,incorrect_authorization,a2_memory_gate,0.17127572000026703,0.17413268577546134
D4D,incorrect_authorization,aligned_disparity,0.07628925144672394,0.09547257208444
D4D,incorrect_authorization,disparity_residual_signed,0.05636443942785263,0.20190533888638756
D4D,incorrect_authorization,bidavideo_disagreement_abs,0.0769614428281784,0.21082397523113258
D4D,incorrect_authorization,forward_backward_error,0.13842663168907166,0.2370397406277512
D4D,incorrect_authorization,forward_backward_confidence,-0.23803484439849854,-0.24006928977538086
D4D,incorrect_authorization,photometric_residual,-0.07521310448646545,-0.04071984580933284
D4D,incorrect_authorization,flow_magnitude,0.06666485220193863,0.21863533463748067
D4D,incorrect_authorization,raw_gradient_x,0.07617484033107758,0.09324654154507589
D4D,incorrect_authorization,raw_gradient_y,0.01862068846821785,-0.0928239945537417
D4D,incorrect_authorization,raw_gradient_magnitude,0.0596749484539032,0.1714597749297124
D4D,incorrect_authorization,raw_local_variance,0.18538802862167358,0.23796610021453515
SCARED-C-heldout,false_update,raw_probability,0.35133659839630127,0.20423318845120714
SCARED-C-heldout,false_update,intervention_probability,0.3716129958629608,0.2042331902408274
SCARED-C-heldout,false_update,predicted_error_mu,0.19359296560287476,0.1982787164938748
SCARED-C-heldout,false_update,predicted_uncertainty_sigma,0.18354976177215576,0.1974770017425336
SCARED-C-heldout,false_update,update_magnitude,0.13908754289150238,0.4638307912626146
SCARED-C-heldout,false_update,a2_proposal_magnitude,0.1057429164648056,0.18386615265964634
SCARED-C-heldout,false_update,a2_error_gate,0.14207887649536133,0.18195468493555395
SCARED-C-heldout,false_update,a2_memory_gate,0.1586633026599884,0.16683188888417375
SCARED-C-heldout,false_update,aligned_disparity,-0.008288637734949589,0.0022572181112862906
SCARED-C-heldout,false_update,disparity_residual_signed,-0.020804299041628838,0.022476775386574943
SCARED-C-heldout,false_update,bidavideo_disagreement_abs,0.026656802743673325,0.09565487718869894
SCARED-C-heldout,false_update,forward_backward_error,0.09927653521299362,0.07427059395239789
SCARED-C-heldout,false_update,forward_backward_confidence,-0.09650720655918121,-0.0732814343129013
SCARED-C-heldout,false_update,photometric_residual,-0.011705835349857807,-0.011308655302180181
SCARED-C-heldout,false_update,flow_magnitude,0.08377661556005478,0.07005279447506313
SCARED-C-heldout,false_update,raw_gradient_x,0.025839651003479958,-0.024518989087085268
SCARED-C-heldout,false_update,raw_gradient_y,0.15407215058803558,0.11940075427703849
SCARED-C-heldout,false_update,raw_gradient_magnitude,0.14986884593963623,0.13921405684263813
SCARED-C-heldout,false_update,raw_local_variance,0.075227290391922,0.14312418039817504
SCARED-C-heldout,clean_degradation,raw_probability,0.2710466682910919,0.15362556834182234
SCARED-C-heldout,clean_degradation,intervention_probability,0.2859974205493927,0.1536255707132798
SCARED-C-heldout,clean_degradation,predicted_error_mu,0.163951575756073,0.15010013915917061
SCARED-C-heldout,clean_degradation,predicted_uncertainty_sigma,0.15869304537773132,0.14961280657619644
SCARED-C-heldout,clean_degradation,update_magnitude,0.12464042752981186,0.34783485392111285
SCARED-C-heldout,clean_degradation,a2_proposal_magnitude,0.09830804914236069,0.12337639242883136
SCARED-C-heldout,clean_degradation,a2_error_gate,0.1232302337884903,0.12287843413591575
SCARED-C-heldout,clean_degradation,a2_memory_gate,0.13756942749023438,0.11669985074397243
SCARED-C-heldout,clean_degradation,aligned_disparity,-0.011186270043253899,-0.008001403915075615
SCARED-C-heldout,clean_degradation,disparity_residual_signed,-0.020228134468197823,-0.006247379802312092
SCARED-C-heldout,clean_degradation,bidavideo_disagreement_abs,0.02850528247654438,0.07532585233026033
SCARED-C-heldout,clean_degradation,forward_backward_error,0.032401539385318756,0.03908761307904192
SCARED-C-heldout,clean_degradation,forward_backward_confidence,-0.03406339883804321,-0.03851763121234265
SCARED-C-heldout,clean_degradation,photometric_residual,-0.01763848401606083,-0.02205435607615277
SCARED-C-heldout,clean_degradation,flow_magnitude,0.03579504042863846,0.02748623651844479
SCARED-C-heldout,clean_degradation,raw_gradient_x,0.04318341240286827,-0.0032464790704947017
SCARED-C-heldout,clean_degradation,raw_gradient_y,0.16021203994750977,0.10304200561393886
SCARED-C-heldout,clean_degradation,raw_gradient_magnitude,0.1570187658071518,0.11769443525793868
SCARED-C-heldout,clean_degradation,raw_local_variance,0.07147589325904846,0.12351121774887193
SCARED-C-heldout,incorrect_authorization,raw_probability,0.4535512328147888,0.25950447037578656
SCARED-C-heldout,incorrect_authorization,intervention_probability,0.4784221351146698,0.2595044718042364
SCARED-C-heldout,incorrect_authorization,predicted_error_mu,0.27483317255973816,0.2536595128024525
SCARED-C-heldout,incorrect_authorization,predicted_uncertainty_sigma,0.26665401458740234,0.25303078225615405
SCARED-C-heldout,incorrect_authorization,update_magnitude,0.18257452547550201,0.5841695176970695
SCARED-C-heldout,incorrect_authorization,a2_proposal_magnitude,0.1399107128381729,0.18078854643883344
SCARED-C-heldout,incorrect_authorization,a2_error_gate,0.17434701323509216,0.18225890564004285
SCARED-C-heldout,incorrect_authorization,a2_memory_gate,0.1965305060148239,0.17675275359766981
SCARED-C-heldout,incorrect_authorization,aligned_disparity,0.046086303889751434,0.03255659028674696
SCARED-C-heldout,incorrect_authorization,disparity_residual_signed,-0.09669104218482971,-0.013147357204023446
SCARED-C-heldout,incorrect_authorization,bidavideo_disagreement_abs,0.1197025254368782,0.14496728101726647
SCARED-C-heldout,incorrect_authorization,forward_backward_error,0.11970625072717667,0.09381714581813223
SCARED-C-heldout,incorrect_authorization,forward_backward_confidence,-0.11788715422153473,-0.09278728054842149
SCARED-C-heldout,incorrect_authorization,photometric_residual,-0.018468335270881653,-0.020271243075482843
SCARED-C-heldout,incorrect_authorization,flow_magnitude,0.09557987004518509,0.07188823452672528
SCARED-C-heldout,incorrect_authorization,raw_gradient_x,0.08451026678085327,0.012812938801278621
SCARED-C-heldout,incorrect_authorization,raw_gradient_y,0.28291648626327515,0.18186084208908068
SCARED-C-heldout,incorrect_authorization,raw_gradient_magnitude,0.2778797745704651,0.19922536762034312
SCARED-C-heldout,incorrect_authorization,raw_local_variance,0.15205292403697968,0.2004965445131307
SERV-CT,false_update,raw_probability,0.020677734166383743,-0.3339502215809081
SERV-CT,false_update,intervention_probability,0.035075921565294266,-0.3339448554583663
SERV-CT,false_update,predicted_error_mu,-0.25815463066101074,-0.3448250605009863
SERV-CT,false_update,predicted_uncertainty_sigma,-0.26063042879104614,-0.3439957181031993
SERV-CT,false_update,update_magnitude,0.18047377467155457,0.4271621280456093
SERV-CT,false_update,a2_proposal_magnitude,-0.230238676071167,-0.19350603525599788
SERV-CT,false_update,a2_error_gate,-0.23880797624588013,-0.229057953732591
SERV-CT,false_update,a2_memory_gate,-0.24262088537216187,-0.22841258463091854
SERV-CT,false_update,aligned_disparity,0.08828814327716827,0.10778896750112946
SERV-CT,false_update,disparity_residual_signed,-0.16324782371520996,-0.22247590706312598
SERV-CT,false_update,bidavideo_disagreement_abs,-0.10169488936662674,-0.1361281161132701
SERV-CT,false_update,forward_backward_error,-0.01954181306064129,-0.02086658082182147
SERV-CT,false_update,forward_backward_confidence,0.010533742606639862,0.027051263281897425
SERV-CT,false_update,photometric_residual,-0.011163674294948578,-0.010944199190179258
SERV-CT,false_update,flow_magnitude,0.04289877042174339,0.01860499670941841
SERV-CT,false_update,raw_gradient_x,0.005661722272634506,-0.025252968169447877
SERV-CT,false_update,raw_gradient_y,-0.04220552742481232,-0.10609104993068963
SERV-CT,false_update,raw_gradient_magnitude,-0.03582274541258812,-0.08818912772827424
SERV-CT,false_update,raw_local_variance,-0.04013754427433014,-0.10761240164990649
SERV-CT,clean_degradation,raw_probability,0.01939277909696102,-0.23238538337309111
SERV-CT,clean_degradation,intervention_probability,0.029067756608128548,-0.23238909244421524
SERV-CT,clean_degradation,predicted_error_mu,-0.18357998132705688,-0.24004827926362252
SERV-CT,clean_degradation,predicted_uncertainty_sigma,-0.1854492425918579,-0.23912326435562242
SERV-CT,clean_degradation,update_magnitude,0.23642589151859283,0.32433449017355415
SERV-CT,clean_degradation,a2_proposal_magnitude,-0.12213883548974991,-0.12030300304870216
SERV-CT,clean_degradation,a2_error_gate,-0.12357866764068604,-0.12514890079485338
SERV-CT,clean_degradation,a2_memory_gate,-0.13390198349952698,-0.14011056636035404
SERV-CT,clean_degradation,aligned_disparity,0.05027049034833908,0.05782742395890129
SERV-CT,clean_degradation,disparity_residual_signed,-0.05280371755361557,-0.09284132606942619
SERV-CT,clean_degradation,bidavideo_disagreement_abs,-0.11293311417102814,-0.13810046517342958
SERV-CT,clean_degradation,forward_backward_error,-0.023922203108668327,0.005539575666650632
SERV-CT,clean_degradation,forward_backward_confidence,-0.08532272279262543,-0.009085464708175261
SERV-CT,clean_degradation,photometric_residual,-0.0022925864905118942,0.0007358070298893673
SERV-CT,clean_degradation,flow_magnitude,-0.022981207817792892,-0.047589194626469884
SERV-CT,clean_degradation,raw_gradient_x,0.02758740447461605,-0.007446495573695482
SERV-CT,clean_degradation,raw_gradient_y,-0.03231681510806084,-0.08242529163557065
SERV-CT,clean_degradation,raw_gradient_magnitude,0.0019025243818759918,-0.014361248688111164
SERV-CT,clean_degradation,raw_local_variance,-0.02464902028441429,-0.023472318383357168
SERV-CT,incorrect_authorization,raw_probability,-0.01056012324988842,-0.48105188960653555
SERV-CT,incorrect_authorization,intervention_probability,0.020893901586532593,-0.4810431787447901
SERV-CT,incorrect_authorization,predicted_error_mu,-0.4092002809047699,-0.5019406075878272
SERV-CT,incorrect_authorization,predicted_uncertainty_sigma,-0.4135987162590027,-0.5007152835213544
SERV-CT,incorrect_authorization,update_magnitude,0.3399202823638916,0.624185293069764
SERV-CT,incorrect_authorization,a2_proposal_magnitude,-0.3237842917442322,-0.3201140515143764
SERV-CT,incorrect_authorization,a2_error_gate,-0.33421000838279724,-0.3401969072656984
SERV-CT,incorrect_authorization,a2_memory_gate,-0.3549608290195465,-0.3471858234707022
SERV-CT,incorrect_authorization,aligned_disparity,0.11434006690979004,0.14890704141772373
SERV-CT,incorrect_authorization,disparity_residual_signed,-0.20691898465156555,-0.3093455954200091
SERV-CT,incorrect_authorization,bidavideo_disagreement_abs,-0.22204220294952393,-0.2746414252962907
SERV-CT,incorrect_authorization,forward_backward_error,0.021132469177246094,0.03434102676592281
SERV-CT,incorrect_authorization,forward_backward_confidence,-0.090940922498703,-0.044280648240071246
SERV-CT,incorrect_authorization,photometric_residual,0.028147749602794647,0.027033624088261453
SERV-CT,incorrect_authorization,flow_magnitude,-0.00018739700317382812,-0.028912148033374354
SERV-CT,incorrect_authorization,raw_gradient_x,0.015653550624847412,-0.026654439089963348
SERV-CT,incorrect_authorization,raw_gradient_y,-0.03302185237407684,-0.10571525054190428
SERV-CT,incorrect_authorization,raw_gradient_magnitude,-0.05309930443763733,-0.10648305950143555
SERV-CT,incorrect_authorization,raw_local_variance,-0.03608085215091705,-0.09100994844659972
