dataset,metric,n,prevalence,brier,auroc,ap,ece,bin,predicted_mean,observed_frequency,value
CREStereo,raw_error_probability,40960,0.1674560546875,0.10028165860529495,0.8587476708245382,0.6279273592207456,0.05613825494206139,,,,
CREStereo,reliability_bin,31275,,,,,,0.0,0.030925454571843147,0.06986410915851593,
CREStereo,reliability_bin,3383,,,,,,1.0,0.1390652358531952,0.2932308614253998,
CREStereo,reliability_bin,1405,,,,,,2.0,0.2465084344148636,0.3551601469516754,
CREStereo,reliability_bin,897,,,,,,3.0,0.34652936458587646,0.41025641560554504,
CREStereo,reliability_bin,566,,,,,,4.0,0.44569578766822815,0.5106006860733032,
CREStereo,reliability_bin,447,,,,,,5.0,0.547346293926239,0.5324384570121765,
CREStereo,reliability_bin,420,,,,,,6.0,0.648675799369812,0.5714285969734192,
CREStereo,reliability_bin,458,,,,,,7.0,0.7517482042312622,0.5851528644561768,
CREStereo,reliability_bin,567,,,,,,8.0,0.8565815687179565,0.7054673433303833,
CREStereo,reliability_bin,1542,,,,,,9.0,0.9678528904914856,0.8949416279792786,
D4D,raw_error_probability,7748,0.7724574083634487,0.3039947715775818,0.5527137469311395,0.7881767181553023,0.28954309939897716,,,,
D4D,reliability_bin,963,,,,,,0.0,0.05897405371069908,0.7559708952903748,
D4D,reliability_bin,646,,,,,,1.0,0.1451689600944519,0.7043343782424927,
D4D,reliability_bin,546,,,,,,2.0,0.24584133923053741,0.708791196346283,
D4D,reliability_bin,644,,,,,,3.0,0.35542377829551697,0.6909937858581543,
D4D,reliability_bin,412,,,,,,4.0,0.44387829303741455,0.7742718458175659,
D4D,reliability_bin,325,,,,,,5.0,0.5489450097084045,0.7076923251152039,
D4D,reliability_bin,308,,,,,,6.0,0.6494182348251343,0.7954545617103577,
D4D,reliability_bin,383,,,,,,7.0,0.7525050044059753,0.8067885041236877,
D4D,reliability_bin,697,,,,,,8.0,0.8513337969779968,0.8335724472999573,
D4D,reliability_bin,2824,,,,,,9.0,0.9781193137168884,0.8094900846481323,
SCARED-C-heldout,raw_error_probability,122880,0.16343587239583332,0.10322990544350406,0.8432179165782313,0.5899759383297072,0.059368165842170126,,,,
SCARED-C-heldout,reliability_bin,95720,,,,,,0.0,0.03016151301562786,0.07907438278198242,
SCARED-C-heldout,reliability_bin,9575,,,,,,1.0,0.1408650428056717,0.26945170760154724,
SCARED-C-heldout,reliability_bin,4243,,,,,,2.0,0.24535799026489258,0.3431534171104431,
SCARED-C-heldout,reliability_bin,2530,,,,,,3.0,0.3460525572299957,0.39723318815231323,
SCARED-C-heldout,reliability_bin,1664,,,,,,4.0,0.4474486708641052,0.4615384638309479,
SCARED-C-heldout,reliability_bin,1292,,,,,,5.0,0.5503625273704529,0.5239937901496887,
SCARED-C-heldout,reliability_bin,1139,,,,,,6.0,0.6503875851631165,0.5891132354736328,
SCARED-C-heldout,reliability_bin,1203,,,,,,7.0,0.7520700097084045,0.6384040117263794,
SCARED-C-heldout,reliability_bin,1569,,,,,,8.0,0.8522689342498779,0.6966220736503601,
SCARED-C-heldout,reliability_bin,3945,,,,,,9.0,0.9696614742279053,0.8861850500106812,
SERV-CT,raw_error_probability,1792,0.5881696428571429,0.4103934587952409,0.48681497251405154,0.6217976208214164,0.409010910944614,,,,
SERV-CT,reliability_bin,4,,,,,,2.0,0.23744909465312958,0.75,
SERV-CT,reliability_bin,9,,,,,,4.0,0.45391926169395447,0.6666666865348816,
SERV-CT,reliability_bin,3,,,,,,5.0,0.5505658388137817,1.0,
SERV-CT,reliability_bin,6,,,,,,6.0,0.6518967747688293,0.8333333134651184,
SERV-CT,reliability_bin,8,,,,,,7.0,0.7618976831436157,1.0,
SERV-CT,reliability_bin,28,,,,,,8.0,0.8539595603942871,0.75,
SERV-CT,reliability_bin,1734,,,,,,9.0,0.9975374937057495,0.5813148617744446,
StereoMIS,no_reference,0,,,,,,,,,
