dataset,authorization,raw_wrong,incorrect_authorization,tsne1,tsne2
CREStereo,0.0,0.0,0.0,-24.015335,15.684406
CREStereo,1.0,1.0,0.0,38.39944,-21.43286
CREStereo,0.0,0.0,0.0,12.178949,-18.70263
CREStereo,0.0,0.0,0.0,-36.36241,-11.537387
CREStereo,0.0,0.0,0.0,-36.810856,-26.457396
CREStereo,0.0,0.0,0.0,13.27325,-27.065931
CREStereo,0.0,0.0,0.0,-14.81503,30.071138
CREStereo,0.0,0.0,0.0,-17.052319,-11.273416
CREStereo,0.0,0.0,0.0,-8.878139,3.313527
CREStereo,0.0,0.0,0.0,-36.305004,-7.8326273
CREStereo,0.0,0.0,0.0,-38.4284,-30.434359
CREStereo,0.0,0.0,0.0,-18.396696,-8.538246
CREStereo,0.0,0.0,0.0,-33.64427,-44.72616
CREStereo,0.0,0.0,0.0,-2.2757196,23.232353
CREStereo,0.0,0.0,0.0,-16.54918,7.1241736
CREStereo,0.0,0.0,0.0,-24.775438,-43.102787
CREStereo,0.0,0.0,0.0,10.421556,-12.2339525
CREStereo,0.0,0.0,0.0,9.212843,-9.365181
CREStereo,0.0,0.0,0.0,-26.151012,0.8201971
CREStereo,0.0,1.0,0.0,9.469604,60.66641
CREStereo,0.0,0.0,0.0,-4.152146,23.67503
CREStereo,1.0,0.0,1.0,20.430923,-29.19307
CREStereo,0.0,0.0,0.0,11.900411,-14.63116
CREStereo,0.0,1.0,0.0,1.6419622,33.5994
CREStereo,0.0,0.0,0.0,-34.916077,-26.346205
CREStereo,0.0,0.0,0.0,-10.289898,-7.1873713
CREStereo,0.0,0.0,0.0,0.9898031,21.916544
CREStereo,0.0,0.0,0.0,-17.70509,2.4722385
CREStereo,0.0,0.0,0.0,-13.970162,-3.15881
CREStereo,0.0,0.0,0.0,-0.95220894,23.009659
CREStereo,0.0,0.0,0.0,-5.5503445,28.479818
CREStereo,0.0,0.0,0.0,-22.22758,-48.490513
CREStereo,0.0,0.0,0.0,-34.906223,-24.5703
CREStereo,0.0,1.0,0.0,13.686933,-15.969166
CREStereo,0.0,0.0,0.0,-19.849577,19.086346
CREStereo,0.0,0.0,0.0,-13.002441,12.615984
CREStereo,0.0,0.0,0.0,-13.269236,-10.983518
CREStereo,0.0,0.0,0.0,-19.32447,17.359522
CREStereo,1.0,1.0,0.0,21.101997,-51.402313
CREStereo,0.0,0.0,0.0,-29.796268,-39.099266
CREStereo,0.0,0.0,0.0,-15.743633,27.16677
CREStereo,0.0,0.0,0.0,-15.9991865,-12.928681
CREStereo,0.0,1.0,0.0,11.819167,4.6767325
CREStereo,1.0,1.0,0.0,22.253315,-59.95753
CREStereo,0.0,0.0,0.0,-14.409214,36.97072
CREStereo,0.0,0.0,0.0,-12.707824,-4.8549514
CREStereo,0.0,0.0,0.0,-22.0334,14.854109
CREStereo,0.0,0.0,0.0,-15.796663,34.697987
CREStereo,0.0,1.0,0.0,-38.57803,-38.932056
CREStereo,0.0,0.0,0.0,-25.617102,-37.844345
CREStereo,0.0,0.0,0.0,-17.229008,-13.333874
CREStereo,0.0,0.0,0.0,-39.49957,-22.881077
CREStereo,0.0,0.0,0.0,-16.880125,4.2751646
CREStereo,0.0,0.0,0.0,-9.558537,12.314908
CREStereo,0.0,0.0,0.0,-20.220243,-41.50647
CREStereo,0.0,0.0,0.0,-24.702261,11.842128
CREStereo,0.0,0.0,0.0,-3.0952392,24.25173
CREStereo,0.0,0.0,0.0,10.753819,-14.333659
CREStereo,0.0,0.0,0.0,-5.225743,12.065375
CREStereo,0.0,0.0,0.0,1.2393314,30.081099
CREStereo,0.0,0.0,0.0,-17.391373,-10.209205
CREStereo,0.0,0.0,0.0,-20.132727,12.282955
CREStereo,0.0,0.0,0.0,-20.11083,-42.126667
CREStereo,0.0,0.0,0.0,-8.036516,3.3567123
CREStereo,0.0,0.0,0.0,-0.60845727,15.9818125
CREStereo,0.0,0.0,0.0,-1.8696835,25.569118
CREStereo,0.0,0.0,0.0,-16.88434,28.795725
CREStereo,0.0,0.0,0.0,12.29666,5.489466
CREStereo,1.0,1.0,0.0,25.711363,-51.450348
CREStereo,0.0,1.0,0.0,-8.6150465,-48.62036
CREStereo,1.0,0.0,1.0,14.891758,-27.96279
CREStereo,0.0,0.0,0.0,-6.575931,-7.9057364
CREStereo,0.0,0.0,0.0,-10.055002,7.4058957
CREStereo,0.0,1.0,0.0,-23.060741,-42.84377
CREStereo,1.0,1.0,0.0,23.087307,-52.91949
CREStereo,0.0,1.0,0.0,8.558721,61.557816
CREStereo,0.0,0.0,0.0,8.472752,-23.391582
CREStereo,1.0,1.0,0.0,46.445957,-31.781618
CREStereo,0.0,0.0,0.0,-44.842705,-19.126863
CREStereo,0.0,0.0,0.0,-16.615675,11.596703
CREStereo,0.0,0.0,0.0,-25.807735,-48.083935
CREStereo,0.0,0.0,0.0,-2.973983,32.475536
CREStereo,0.0,0.0,0.0,11.452582,-9.058464
CREStereo,0.0,0.0,0.0,-26.472174,-42.944115
CREStereo,0.0,0.0,0.0,-3.4243076,12.8953
CREStereo,0.0,1.0,0.0,-21.703789,-37.260677
CREStereo,0.0,0.0,0.0,-43.480167,-22.558186
CREStereo,0.0,0.0,0.0,-26.437292,-50.645447
CREStereo,0.0,0.0,0.0,-10.246009,0.35504785
CREStereo,0.0,1.0,0.0,7.9577913,-8.477269
CREStereo,0.0,0.0,0.0,-2.657477,38.584026
CREStereo,0.0,0.0,0.0,-29.466314,-33.469456
CREStereo,0.0,1.0,0.0,-26.296741,-40.395145
CREStereo,0.0,0.0,0.0,-13.699188,-11.979619
CREStereo,0.0,1.0,0.0,-7.8226247,-19.142328
CREStereo,0.0,0.0,0.0,-39.110165,-24.625322
CREStereo,0.0,0.0,0.0,-35.142063,35.66045
CREStereo,0.0,1.0,0.0,-8.776701,3.0196922
CREStereo,0.0,0.0,0.0,-6.531831,-7.5902963
CREStereo,0.0,0.0,0.0,12.080376,4.971701
CREStereo,0.0,0.0,0.0,8.75809,-13.092936
CREStereo,0.0,0.0,0.0,-10.770229,-6.9940853
CREStereo,0.0,0.0,0.0,-2.463904,23.225597
CREStereo,0.0,0.0,0.0,-23.197363,-40.652454
CREStereo,0.0,0.0,0.0,-42.56024,-20.316149
CREStereo,0.0,1.0,0.0,6.136396,-24.345402
CREStereo,0.0,0.0,0.0,-35.04522,-43.372555
CREStereo,0.0,0.0,0.0,-7.622218,-9.056162
CREStereo,0.0,1.0,0.0,9.19552,-12.742591
CREStereo,0.0,0.0,0.0,-1.6796007,-15.865444
CREStereo,0.0,0.0,0.0,-37.75827,-28.921268
CREStereo,0.0,0.0,0.0,-9.923566,-13.75262
CREStereo,0.0,1.0,0.0,11.56896,-20.297525
CREStereo,0.0,1.0,0.0,-12.276917,-47.800144
CREStereo,0.0,0.0,0.0,-22.602058,-39.42074
CREStereo,0.0,0.0,0.0,-20.870981,-42.200756
CREStereo,0.0,1.0,0.0,12.141159,-17.011005
CREStereo,0.0,0.0,0.0,10.082567,-23.425753
CREStereo,0.0,1.0,0.0,7.640249,-19.265915
CREStereo,0.0,0.0,0.0,-32.064453,-39.777042
CREStereo,0.0,0.0,0.0,-10.631703,16.919617
CREStereo,0.0,0.0,0.0,-11.078751,27.714931
CREStereo,0.0,1.0,0.0,6.1020894,-18.283705
CREStereo,0.0,0.0,0.0,-17.836018,-9.025842
CREStereo,0.0,0.0,0.0,10.401881,-17.095594
CREStereo,0.0,0.0,0.0,-9.931655,26.23421
CREStereo,0.0,0.0,0.0,-36.752964,-25.972107
CREStereo,0.0,0.0,0.0,-18.462156,-1.7825478
CREStereo,0.0,0.0,0.0,-33.25864,-7.3699117
CREStereo,0.0,0.0,0.0,-30.338268,-13.321415
CREStereo,0.0,0.0,0.0,0.74098736,31.733809
CREStereo,0.0,0.0,0.0,-34.26314,-13.792116
CREStereo,1.0,1.0,1.0,22.533585,-59.516968
CREStereo,0.0,0.0,0.0,-4.485173,18.586502
CREStereo,1.0,1.0,0.0,45.60894,-16.650644
CREStereo,0.0,0.0,0.0,-43.84606,-20.665335
CREStereo,0.0,0.0,0.0,-31.505995,-7.8923283
CREStereo,0.0,0.0,0.0,-5.254706,20.578188
CREStereo,0.0,0.0,0.0,-16.333464,0.46107274
CREStereo,0.0,0.0,0.0,-23.120798,7.9244127
CREStereo,0.0,0.0,0.0,-42.60503,-14.26498
CREStereo,0.0,0.0,0.0,-13.620361,36.794804
CREStereo,0.0,1.0,0.0,13.05129,-18.911573
CREStereo,0.0,0.0,0.0,-36.01734,-7.8457217
CREStereo,0.0,0.0,0.0,-24.487047,13.265203
CREStereo,0.0,0.0,0.0,-34.40499,-41.092438
CREStereo,0.0,0.0,0.0,-0.9279333,17.694326
CREStereo,0.0,0.0,0.0,10.467864,-14.158425
CREStereo,0.0,0.0,0.0,-13.520855,2.9884677
CREStereo,0.0,0.0,0.0,-25.418638,25.59642
CREStereo,0.0,0.0,0.0,-14.362058,-7.9981694
CREStereo,0.0,0.0,0.0,-38.084915,-24.735836
CREStereo,0.0,0.0,0.0,-40.466423,-26.368952
CREStereo,0.0,0.0,0.0,-24.306597,0.3378167
CREStereo,0.0,0.0,0.0,-9.287232,4.636557
CREStereo,0.0,0.0,0.0,-10.297797,27.132654
CREStereo,0.0,0.0,0.0,-6.266992,41.653484
