epoch,optimizer_step,total,classification,regression,ranking,fusion,weight_regularizer,learning_rate,loader_wait_s
1,3973,0.7877868353840448,0.5647744654056379,0.0848267555146333,0.08068616028976848,0.14650627975383754,0.06960575267946333,0.0019986980580164217,7.003245093743317
2,7946,0.6067493607175461,0.434900340301367,0.03816439957921003,0.06923622370568865,0.12477781819711771,0.053399758827407266,0.0019947958005990065,1.424892505077878
3,11919,0.5668900691904831,0.4036765764032582,0.026191553563440276,0.06342440450272417,0.1242350214997833,0.050132640086821396,0.0019883039235640988,1.116352179495152
4,15892,0.5427173777792126,0.38285768828937294,0.023777265139821924,0.06028403217894659,0.12318853071834278,0.04855736982843421,0.0019792402206954118,1.2089409203617834
5,19865,0.5230182331780208,0.36570473790089997,0.022537131385391086,0.058154432646172594,0.12222817154793904,0.04639080469115627,0.0019676295349724867,0.9881125298852567
6,23838,0.5057704943723802,0.3509797185486881,0.021764120455348868,0.05661012883444138,0.12069819418944581,0.04529013010827234,0.0019535036904778625,1.23836217954522
7,27811,0.4998153314020662,0.3448513142226356,0.020492013792087517,0.055708982375784005,0.12195984826953235,0.04415453419468129,0.001936901405169823,1.1310591951478273
8,31784,0.49093177380533026,0.33769551102093565,0.020025235212728216,0.05430809115246032,0.12117006127803903,0.04238291456451531,0.001917868184757982,0.9000675757124554
9,35757,0.48689488368237793,0.33271825298471924,0.019580565225189982,0.053594222755562596,0.12251457829978209,0.04236592365517414,0.0018964561979764897,0.968860821594717
10,39730,0.48027295048406976,0.32918589425983746,0.019472221774394862,0.05274206540471596,0.11985623385284162,0.041545755341705314,0.0018727241335927888,1.381855109357275
11,43703,0.47502931339252275,0.32492960878832344,0.01884108226695453,0.051327782053617155,0.11983858767121922,0.04004345713110616,0.0018467370395457595,1.2210773322731256
12,47676,0.46837524559255994,0.3195912671084859,0.018292961525056852,0.050554884476233214,0.11912828357726159,0.039352447717159185,0.0018185661446538427,1.087120781041449
13,51649,0.4641228682379593,0.31410861196005313,0.018051222800198646,0.050462845640759584,0.12054736730053069,0.03912785369504347,0.0017882886633818036,1.037385544157587
14,55622,0.45922625141737294,0.3103168907228613,0.01730621019355449,0.049298077614334725,0.12032533089226881,0.038032104949221456,0.001755987584201243,0.9436565861687995
15,59595,0.45380470585551513,0.30520641987333663,0.017172139941638753,0.04881831906980155,0.12041707326717377,0.036953022820266045,0.0017217514421249793,0.9527782021032181
16,63568,0.4504346932466673,0.302026759443972,0.017155500372683992,0.04787522620027344,0.12051131174937847,0.036750441560089935,0.0016856740760387197,1.2611848069354892
17,67541,0.4472938186945916,0.3005256919931501,0.01717639027438587,0.04746543286167124,0.11900082438785219,0.03656372638724476,0.0016478543714951912,1.2121723316377029
18,71514,0.4424926743020106,0.29454824649005673,0.016836544867649978,0.047020840930503745,0.12060027341917438,0.03585345193597432,0.001608395989675746,0.9427136327140033
19,75487,0.43910527785524084,0.29242324723709506,0.016360214535520137,0.04631399784284967,0.11976682989753308,0.03578300605695193,0.001567407083262229,1.2249566420796327
20,79460,0.4359386399718367,0.28959031935182084,0.016306730884948,0.04598726899103606,0.11958767469314141,0.03555235201424926,0.0015249999999980143,1.0225755798164755
21,83433,0.4331668132469302,0.2885417559177336,0.015682487738717946,0.04556692030462264,0.1183488953163814,0.03521607007963544,0.001481290974750642,1.0440887114673387
22,87406,0.4327732449504806,0.28476323720640645,0.015919592235350583,0.045198265476358114,0.12191891950467709,0.0341586394541635,0.0014363998109201464,1.0447321995161474
23,91379,0.42516998493218344,0.2825942763835079,0.015537298543204308,0.04435132580215996,0.11682650910302708,0.034463620803952065,0.0013904495520662339,1.0398926918278448
24,95352,0.42492902678996136,0.2794339642647852,0.014990971545785386,0.044370651542352785,0.12014515222801074,0.03380879244455126,0.001343566144654463,1.0163293197692838
25,99325,0.4220577712615461,0.2780453194567562,0.015071336170155653,0.043941768341042096,0.11878438795507217,0.033534625600934356,0.001295878092845718,0.8728808127634693
26,103298,0.4188657186263429,0.27425752564272665,0.015017042197301147,0.043601461036518505,0.11945054898933495,0.03374379856773087,0.0012475161062752602,1.037455898389453
27,107271,0.4151369579813356,0.27281935263416673,0.014641345488791266,0.04331923760075812,0.11746182897485176,0.03352649932600166,0.0011986127417866676,1.0990462352056056
28,111244,0.412093439996205,0.27042393129916237,0.014732974615058677,0.042929199212982036,0.11697782049873989,0.03296451583005846,0.0011493020401027927,1.1144552160403691
29,115217,0.41059530296581176,0.26780545227735925,0.01468556002213151,0.042076647136310714,0.1184314840504646,0.032482069684251144,0.001099719158429394,1.2201910005242098
30,119190,0.4085366216111012,0.26589954318842046,0.01419163932819285,0.04212955539233152,0.11855849517444174,0.03225158630916462,0.001049999999998555,1.3623928191664163
31,123163,0.40707094976835545,0.264010447822183,0.014199135784894741,0.041972238481374824,0.118999119519366,0.03234397965956178,0.001000280841567629,0.9963323067640886
32,127136,0.40599788129779757,0.26296418140415667,0.014150605915925821,0.041228470407410414,0.11928338846032363,0.03183936832715065,0.0009506979598941348,0.9747640870918985
33,131109,0.4042590251110406,0.26136141787092076,0.014077267379811976,0.04099966797990813,0.11928578053563346,0.03161643177323398,0.0009013872582102765,0.9850866509077605
34,135082,0.39942345228876003,0.2589231859062785,0.013792277100277287,0.04076108800609714,0.11715592175915278,0.03128979387914627,0.0008524838937217165,1.0992664999503177
35,139055,0.3968894848055723,0.2561765992917869,0.013553795577084336,0.040561597705217445,0.11754249198607895,0.03126543929827114,0.0008041219071512812,1.0551774587365799
36,143028,0.3965443779517264,0.2551102668451079,0.013556342202568324,0.040508117812753416,0.11840606473089521,0.030614267210500715,0.0007564338553425626,1.1032016439712606
37,147001,0.39307462875519145,0.253522707330822,0.013361851760317995,0.039866897316622366,0.11673509170133184,0.03084585788476206,0.0007095504479308171,1.1355853481800295
38,150974,0.39224206220021995,0.25250460968085386,0.01318350180861883,0.03984136267526747,0.11707743579777755,0.03053973467020553,0.0006636001890769243,1.2119950060150586
39,154947,0.38846095768219574,0.25002639983651054,0.01300694079048324,0.03945768159545073,0.11604700341920109,0.03009827419639144,0.0006187090252464519,1.1204286494466942
40,158920,0.39013223167487276,0.24966318179095404,0.013046304331528641,0.039087652585959344,0.11816532505894624,0.03004340611805161,0.0005749999999991333,1.1943384660989977
41,162893,0.3876128655799969,0.247295345643171,0.012976597772635521,0.039141997069379666,0.11803723056091564,0.030032439223471197,0.0005325929167350369,1.213684875954641
42,166866,0.38750286133462464,0.2471706628749743,0.012766686374017547,0.03882425646992668,0.1182878682342504,0.029774503566262826,0.0004916040103216306,1.1351083398621995
43,170839,0.3826013162990916,0.24438666923990365,0.012638486394973501,0.0383224515719637,0.11650336088751917,0.02905708459892052,0.0004521456285021947,1.0607069271209184
44,174812,0.38567716623812337,0.2432987859780651,0.012660837463471733,0.0381519315061538,0.12068122520603534,0.02914378302780831,0.0004143259239586724,1.3372990255302284
45,178785,0.3838197187886951,0.24226205324598937,0.01245371365179902,0.03793420880941992,0.12007506538603034,0.02886082044093038,0.0003782485578724147,1.2471367146936245
46,182758,0.3828676505796771,0.2419550224000355,0.012616706896110809,0.03826865639692051,0.11922697692449874,0.029050829666794443,0.0003440124157961557,1.2373075702635106
47,186731,0.37861412283799195,0.24028591171850297,0.012284526009951327,0.03755738444039362,0.11705844723819944,0.028690739239669406,0.0003117113366156521,0.8671158087963704
48,190704,0.37605262460811084,0.2392054691056543,0.012390180110546725,0.03741049228891029,0.11561864242367888,0.028404101898170317,0.0002814338553436547,1.180992375826463
49,194677,0.3783659959451516,0.2389900553408938,0.012153447707551219,0.03737427835496179,0.1182961288127901,0.028297532333884826,0.00025326296045177456,1.1526066940859891
50,198650,0.37626116288033085,0.23799299291578133,0.012258208604396354,0.03729332525234106,0.11715432528390911,0.02830698314314371,0.00022727586640477202,1.069267021957785
51,202623,0.3725880574910385,0.23635211467190642,0.011982909735464958,0.03695707237889454,0.1154404233874115,0.02782405523938194,0.00020354380202105112,1.303192124934867
52,206596,0.372659210816097,0.23558015935122967,0.011915449374810138,0.036762698963314966,0.11634999839671044,0.02790311107160221,0.00018213181523952997,1.1341172234679107
