bad_2mm,bad_4mm,checkpoint,depth_mae_mm,depth_median_error_mm,depth_p95_error_mm,depth_rmse_mm,disparity_mae_px,disparity_rmse,edge_depth_mae,frame_id,method,nonedge_depth_mae,refined_to_backbone_mae,refined_to_sav_mae,residual_abs_mean,residual_std,sample_id,sequence_id,valid_pixel_count
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000002,raw_s2m2_l736,nan,0.0,0.9541689157485962,0.0,0.0,882,test_dataset_9_keyframe_3,1250420
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000003,raw_s2m2_l736,nan,0.0,1.079197883605957,0.0,0.0,883,test_dataset_9_keyframe_3,1245540
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000004,raw_s2m2_l736,nan,0.0,0.8926283121109009,0.0,0.0,884,test_dataset_9_keyframe_3,1241316
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000005,raw_s2m2_l736,nan,0.0,0.8523327112197876,0.0,0.0,885,test_dataset_9_keyframe_3,1248245
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000006,raw_s2m2_l736,nan,0.0,0.9883188009262085,0.0,0.0,886,test_dataset_9_keyframe_3,1249640
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000007,raw_s2m2_l736,nan,0.0,0.9498974084854126,0.0,0.0,887,test_dataset_9_keyframe_3,1243662
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000008,raw_s2m2_l736,nan,0.0,0.8334354162216187,0.0,0.0,888,test_dataset_9_keyframe_3,1256108
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000009,raw_s2m2_l736,nan,0.0,0.8694650530815125,0.0,0.0,889,test_dataset_9_keyframe_3,1254217
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000010,raw_s2m2_l736,nan,0.0,0.783143162727356,0.0,0.0,890,test_dataset_9_keyframe_3,1257609
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000011,raw_s2m2_l736,nan,0.0,0.8179386258125305,0.0,0.0,891,test_dataset_9_keyframe_3,1262986
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000012,raw_s2m2_l736,nan,0.0,0.8332098126411438,0.0,0.0,892,test_dataset_9_keyframe_3,1259322
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000013,raw_s2m2_l736,nan,0.0,0.8212505578994751,0.0,0.0,893,test_dataset_9_keyframe_3,1261283
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000014,raw_s2m2_l736,nan,0.0,0.7981894612312317,0.0,0.0,894,test_dataset_9_keyframe_3,1261347
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000015,raw_s2m2_l736,nan,0.0,0.8198568224906921,0.0,0.0,895,test_dataset_9_keyframe_3,1256417
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000016,raw_s2m2_l736,nan,0.0,0.7716639041900635,0.0,0.0,896,test_dataset_9_keyframe_3,1262021
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000017,raw_s2m2_l736,nan,0.0,0.8107795715332031,0.0,0.0,897,test_dataset_9_keyframe_3,1269971
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000018,raw_s2m2_l736,nan,0.0,0.7931720018386841,0.0,0.0,898,test_dataset_9_keyframe_3,1269498
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000019,raw_s2m2_l736,nan,0.0,0.8603266477584839,0.0,0.0,899,test_dataset_9_keyframe_3,1272561
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000020,raw_s2m2_l736,nan,0.0,0.7742206454277039,0.0,0.0,900,test_dataset_9_keyframe_3,1275878
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000021,raw_s2m2_l736,nan,0.0,0.8402767181396484,0.0,0.0,901,test_dataset_9_keyframe_3,1274199
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000022,raw_s2m2_l736,nan,0.0,0.9087592959403992,0.0,0.0,902,test_dataset_9_keyframe_3,1280504
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000023,raw_s2m2_l736,nan,0.0,1.0382575988769531,0.0,0.0,903,test_dataset_9_keyframe_3,1283417
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000024,raw_s2m2_l736,nan,0.0,0.9763237237930298,0.0,0.0,904,test_dataset_9_keyframe_3,1284505
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000025,raw_s2m2_l736,nan,0.0,0.982155978679657,0.0,0.0,905,test_dataset_9_keyframe_3,1289062
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000026,raw_s2m2_l736,nan,0.0,0.965430736541748,0.0,0.0,906,test_dataset_9_keyframe_3,1283517
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000027,raw_s2m2_l736,nan,0.0,0.8687477111816406,0.0,0.0,907,test_dataset_9_keyframe_3,1276939
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000028,raw_s2m2_l736,nan,0.0,1.04801344871521,0.0,0.0,908,test_dataset_9_keyframe_3,1257677
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000029,raw_s2m2_l736,nan,0.0,0.9978876113891602,0.0,0.0,909,test_dataset_9_keyframe_3,1226068
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000030,raw_s2m2_l736,nan,0.0,0.9785959124565125,0.0,0.0,910,test_dataset_9_keyframe_3,1237971
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000031,raw_s2m2_l736,nan,0.0,0.9642864465713501,0.0,0.0,911,test_dataset_9_keyframe_3,1250819
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000032,raw_s2m2_l736,nan,0.0,1.0296375751495361,0.0,0.0,912,test_dataset_9_keyframe_3,1239439
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000033,raw_s2m2_l736,nan,0.0,1.1930214166641235,0.0,0.0,913,test_dataset_9_keyframe_3,1207352
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000034,raw_s2m2_l736,nan,0.0,1.1190751791000366,0.0,0.0,914,test_dataset_9_keyframe_3,1242581
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000035,raw_s2m2_l736,nan,0.0,1.1420702934265137,0.0,0.0,915,test_dataset_9_keyframe_3,1236460
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000036,raw_s2m2_l736,nan,0.0,1.0687458515167236,0.0,0.0,916,test_dataset_9_keyframe_3,1253523
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000037,raw_s2m2_l736,nan,0.0,1.3615678548812866,0.0,0.0,917,test_dataset_9_keyframe_3,1233775
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000038,raw_s2m2_l736,nan,0.0,1.093848705291748,0.0,0.0,918,test_dataset_9_keyframe_3,1262807
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000039,raw_s2m2_l736,nan,0.0,1.738990068435669,0.0,0.0,919,test_dataset_9_keyframe_3,1253033
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000040,raw_s2m2_l736,nan,0.0,1.6464487314224243,0.0,0.0,920,test_dataset_9_keyframe_3,1197617
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000041,raw_s2m2_l736,nan,0.0,1.418381690979004,0.0,0.0,921,test_dataset_9_keyframe_3,1221407
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000042,raw_s2m2_l736,nan,0.0,1.4971234798431396,0.0,0.0,922,test_dataset_9_keyframe_3,1244625
nan,nan,,nan,nan,nan,nan,nan,nan,nan,000043,raw_s2m2_l736,nan,0.0,1.5911035537719727,0.0,0.0,923,test_dataset_9_keyframe_3,1244169
