dataset,backbone,sequence,method,coverage_threshold,frames,valid_count,raw_epe,epe,bad1,bad3,boundary_epe,refined_minus_raw_epe,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,new_bad3,frames_worsened,worst_frame_degradation,p95_frame_degradation
SCARED-C-final,S2M2-S,dataset_7_keyframe_3,raw,0.5,160,1080260,2.0566170331282083,2.0566170331282083,0.15639568235510892,0.1317321749169307,5.592373080758894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,S2M2-S,dataset_7_keyframe_3,a2_unconditional,0.5,160,1080260,2.0566170331282083,2.043929417530106,0.16575546618615072,0.13176364949307492,5.487621005943299,-0.012687596006569615,0.4243256253124248,0.48230297001191147,0.35484862492153135,0.20039272756505364,0.00034649850063191693,0.4375,0.0989864245057106,0.058041434362530654
SCARED-C-final,S2M2-S,dataset_7_keyframe_3,p4_multidomain,0.5,160,1080260,2.0566170331282083,2.038376149024344,0.15801196053945624,0.13165441597759325,5.532143180186991,-0.018240858786631186,0.03957010349360339,0.7396247602114818,0.01045184949620454,0.008390088889782108,4.264596932040757e-05,0.075,0.014235488139092922,9.955155474017233e-06
SCARED-C-final,RAFT-Stereo,dataset_7_keyframe_3,raw,0.5,160,1080260,1.7916664566297147,1.7916664566297147,0.15932275558083928,0.1250698898247734,4.742246337102523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,RAFT-Stereo,dataset_7_keyframe_3,a2_unconditional,0.5,160,1080260,1.7916664566297147,1.7690076184712134,0.16236831875470253,0.1252087460002766,4.631171598375056,-0.022658846793966236,0.4266482143187751,0.4973952626542935,0.34913250306583843,0.20210995591312556,0.0011733562481146345,0.275,0.12810194492340088,0.035412442125380035
SCARED-C-final,RAFT-Stereo,dataset_7_keyframe_3,p4_multidomain,0.5,160,1080260,1.7916664566297147,1.7752326168418824,0.1591135465040242,0.12500694235381207,4.695670828469977,-0.016433842797331403,0.03486012626589895,0.8208348823623135,0.006381180812676683,0.005227813568777172,0.00012484764493948033,0.08125,0.014349367469549179,3.237959672332372e-05
SCARED-C-final,StereoAnywhere,dataset_7_keyframe_3,raw,0.5,160,1080260,1.8206295204489957,1.8206295204489957,0.174826430044496,0.13211634207414394,4.51635001822066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,StereoAnywhere,dataset_7_keyframe_3,a2_unconditional,0.5,160,1080260,1.8206295204489957,1.812091444021259,0.18368355746491483,0.133058707559339,4.446355309767931,-0.00853808251692406,0.4203812045248366,0.4792709432067665,0.3322486060373005,0.19242573543549318,0.0021844401345296727,0.33125,0.3527272045612335,0.08460252843797181
SCARED-C-final,StereoAnywhere,dataset_7_keyframe_3,p4_multidomain,0.5,160,1080260,1.8206295204489957,1.8118573894574206,0.17536148629140336,0.13184233399384618,4.488650591227767,-0.008772144535548356,0.0386175550330476,0.7501258479756454,0.011572293789655835,0.009607527398577197,0.00015999317516690505,0.075,0.12209957093000412,0.009939403133466836
SCARED-C-final,S2M2-S,dataset_7_keyframe_4,raw,0.5,160,1319822,0.1878163762078234,0.1878163762078234,0.01175082705522147,0.0007372206222477752,0.528368785720027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,S2M2-S,dataset_7_keyframe_4,a2_unconditional,0.5,160,1319822,0.1878163762078234,0.18453122415646425,0.012249379105265032,0.0007531318590648905,0.5344006955753725,-0.0032851512115185926,0.02382366713087068,0.39627262029704546,0.022428462199047733,0.01295285899581658,1.8197686100509982e-05,0.35,0.025109432637691498,0.018940049037337283
SCARED-C-final,S2M2-S,dataset_7_keyframe_4,p4_multidomain,0.5,160,1319822,0.1878163762078234,0.1883834956977673,0.011900847202125715,0.0007372206241889979,0.5267305073215178,0.0005671202868593982,0.016649972496291167,0.38379977246871444,0.015520216622321644,0.009374142658396143,7.582369442896827e-07,0.45625,0.006335151847451925,0.0040321903070434885
SCARED-C-final,RAFT-Stereo,dataset_7_keyframe_4,raw,0.5,160,1319822,0.21722288078611612,0.21722288078611612,0.0178933220893125,0.002716275359012146,0.5769456427711808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,RAFT-Stereo,dataset_7_keyframe_4,a2_unconditional,0.5,160,1319822,0.21722288078611612,0.22191775859302132,0.018660092043146087,0.002726125176130291,0.5866637877095161,0.004694877303776336,0.025591329739919472,0.4336215063950734,0.023334194343165405,0.012829046497842509,1.9753281361157065e-05,0.5625,0.02799382619559765,0.02693920703604817
SCARED-C-final,RAFT-Stereo,dataset_7_keyframe_4,p4_multidomain,0.5,160,1319822,0.21722288078611612,0.21692702953458834,0.018106229498581847,0.0027094562632939707,0.5747478966161974,-0.0002958510790618994,0.018250945960894726,0.5375705745599468,0.016748297021899453,0.007389782462554351,0.0,0.3,0.004421550780534744,0.0021925216075032905
SCARED-C-final,StereoAnywhere,dataset_7_keyframe_4,raw,0.5,160,1319822,0.20102268693813702,0.20102268693813702,0.013454844604042483,0.0009046674459056674,0.5347280954194428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,StereoAnywhere,dataset_7_keyframe_4,a2_unconditional,0.5,160,1319822,0.20102268693813702,0.2043427740280695,0.013982188489540692,0.0009054251262306204,0.5429692190668256,0.003320085386466873,0.025751957460930338,0.4485995057078969,0.023346236347049975,0.01249455525695078,1.592564394534588e-05,0.53125,0.0271613746881485,0.026182949729263782
SCARED-C-final,StereoAnywhere,dataset_7_keyframe_4,p4_multidomain,0.5,160,1319822,0.20102268693813702,0.20067729096625303,0.01357531544341517,0.0008963329919639379,0.5323921182251414,-0.00034539622162804793,0.018514617880289918,0.5395727614994271,0.0166703649827001,0.007451695883363331,3.791819976220393e-06,0.325,0.0037404086906462908,0.001996112882625311
