dataset,auroc,average_precision,brier,ece,raw_error_mae,mu_error_pearson,mu_error_spearman,uncertainty_error_correlation
SCARED-C-test,0.8825451934589656,0.575461309787703,0.11851298063993454,0.18840266451707313,0.8174956440925598,0.7722076570350304,0.4418629408246044,0.7138008561697925
Fast-FoundationStereo,0.8845564798862209,0.6163093787286498,0.1148633137345314,0.19870357807325603,0.7978148460388184,0.7898013151606683,0.45242527091158474,0.7056331065279928
CREStereo,0.9033460236827304,0.691346066088346,0.11389612406492233,0.2021330402213493,0.8717127442359924,0.7940438483133437,0.4803333474927372,0.7037381731294436
D4D-heldout-specimen3,0.5502008032128515,0.974064805626088,0.34337231516838074,0.5407040389471277,6.106351852416992,0.8594416345198407,0.2107174866738997,0.7829549198779789
SERV-CT-unseen,0.46804861944187004,0.5952794702776812,0.2499597668647766,0.12340609079817862,1.9145245552062988,-0.017473349205303638,-0.09320642567318979,0.6905298604133344
