epoch,global_step,learning_rate,train_total,train_classification,train_positive_gain,train_harmful_magnitude,train_harmful_selection,validation_loss_total,validation_loss_classification,validation_loss_positive_gain,validation_loss_harmful_magnitude,validation_loss_harmful_selection,validation_auroc,validation_auprc,validation_utility_mae
1,2576,0.002,0.10890628366878614,0.10289704572859144,0.0017075221080546574,0.001972817463790239,0.0006712448387070366,0.3176054717002747,0.30367370530342064,0.0012680228125162563,0.001729533051666484,0.005034721146451678,0.954380823020527,0.4289958345790516,0.04553782194852829
2,5152,0.001961518324933773,0.07961692378107134,0.07558671649515061,0.000982289163750101,0.001410233316519352,0.00046628404820637923,0.3177569350543005,0.305966544089218,0.001375429169926866,0.0016724364871312603,0.003953152969764536,0.9562063657349462,0.40408786616687375,0.045664623379707336
3,7728,0.0018491908561896221,0.07293675826415594,0.07024470227445123,0.0006238097717302073,0.0008392277003130267,0.0004047022803474675,0.3125492054813852,0.299933708521227,0.0013582349612715205,0.00161391404143482,0.0044181951855231695,0.953184937688322,0.41311276602730707,0.045694295316934586
4,10304,0.001672117697248021,0.06736446961453936,0.06506832168359448,0.0006672024121761362,0.0006257884189658511,0.0003451314713749514,0.32813163863805433,0.3164185265079141,0.0013775734455947486,0.0016802132896193219,0.003907610561115386,0.9480180410232483,0.40412056283082426,0.04536247253417969
5,12880,0.0014446442623517923,0.06310521466447827,0.06105354638706592,0.0005326365668077878,0.0005957815089935404,0.0003126797258469281,0.3351593233644962,0.3216143449147542,0.0013635177256636174,0.001697680515853032,0.004817469532129811,0.947552988034516,0.42608881786266906,0.045298513025045395
6,15456,0.001185199096359621,0.05914290301373043,0.05737574726432816,0.0005010361373093554,0.00046890684160381333,0.00028137971809984993,0.3304534411523491,0.31763453444776435,0.0013755302982922045,0.0017839407043472495,0.0043837320863228035,0.9471427712166745,0.41744933766817044,0.045556530356407166
7,18032,0.0009148009036403791,0.054998328766108766,0.05316125468447839,0.00045299218553241163,0.0005782293087955052,0.00025836894677808435,0.3414825707334482,0.33030188938913246,0.0013633004419721948,0.0016807714644961299,0.003648112070550269,0.9483882251270976,0.40809416398093756,0.04576865956187248
8,20608,0.000655355737648208,0.051869752986417356,0.050273156234262775,0.0004929544188988947,0.00041859473174735064,0.00023787513695246477,0.3207618025946431,0.31089496609444417,0.0013374186673580368,0.0016082903181768415,0.003058491717456491,0.9469004065859511,0.432129114065838,0.04551555588841438
9,23184,0.0004278823027519793,0.04796689858997055,0.04653454164183346,0.0003936279891048069,0.0004140887412994806,0.0002087979114104082,0.33057690123096106,0.3204690710331003,0.0012918997078709064,0.0018205183397943378,0.0030425767337874275,0.9486772413987193,0.426447728983208,0.0459025539457798
10,25760,0.0002508091438103778,0.04556751526929785,0.04428552172070092,0.00039337259844825315,0.0003355897215936673,0.00019261821181339514,0.3266935633185009,0.3172817249316722,0.0013219753022089737,0.0016122289545213184,0.002835759896879608,0.9463538004411722,0.43836993387911316,0.04569480940699577
11,28336,0.0001384816750662276,0.04391177629644155,0.04267772105348915,0.0003466587150053286,0.00034197876593376487,0.0001872141869579316,0.32757965723673504,0.31718995704626046,0.0012949002241318416,0.0015679245202287954,0.0033714577942494848,0.9516998393712841,0.44896265427446924,0.04569912329316139
12,30912,0.0001,0.04294535080122802,0.04180665152734551,0.0003104189670567063,0.00031440947885063924,0.00017833302233018753,0.32244063323984545,0.31219440780890484,0.0013098428450016779,0.0015605490437034556,0.0032977779000551285,0.9501450591128602,0.44685526798746994,0.04566735774278641
