sequence_id,group,reason,frames_evaluated,frames_skipped,valid_pixel_pct_mean,disparity_mae_mean,bad_3px_mean,depth_mae_mean
dataset_1_keyframe_1,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,197,0,0.382522943177199,0.88014494341593,1.148010104422663,0.9431024714172415
dataset_1_keyframe_2,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,280,0,0.38382579258510047,0.7405731589637572,0.7043286608293449,0.9402222513463798
dataset_1_keyframe_3,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,471,0,0.39099186210875303,1.7748372515912882,17.414814413471802,1.5129528056186594
dataset_2_keyframe_1,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,88,0,0.27394582575017756,1.1187246118794543,4.053843384461527,0.8975869631038726
dataset_2_keyframe_2,stress_eval,valid_pixel_pct_mean<=0.1681 q25,968,65,0.16200900451719244,3.2265873043066304,33.519971341702444,2.4852944341631034
dataset_2_keyframe_3,exclude_or_diagnostic,valid_pixel_pct_mean<=0.1182 q10,731,371,0.09437449155831726,2.2806708208889153,25.320978751303887,2.14087650319205
dataset_2_keyframe_4,stress_eval,valid_pixel_pct_mean<=0.1681 q25; skipped_ratio>=0.08629 q75,1677,437,0.13928499862396615,2.6433017191615917,25.977084254774166,1.550845702545773
dataset_3_keyframe_1,stress_eval,depth_mae_mean>=5.371 q75,329,0,0.3710166328221469,6.805031045158282,60.598592980279065,8.232884324631346
dataset_3_keyframe_2,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,1597,0,0.22969554741082523,1.6987021510384481,12.376373945292958,2.637247247520419
dataset_3_keyframe_3,stress_eval,depth_mae_mean>=5.371 q75,448,0,0.20840611457824706,3.3977511891173484,38.12841143143227,5.632073572573473
dataset_3_keyframe_4,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,834,0,0.19337063064392235,1.8087748706369526,15.328711401883893,1.740738519488507
dataset_4_keyframe_1,stress_eval,disparity_mae_mean>=10.05 q75; bad_3px_mean>=67.02 q75; depth_mae_mean>=5.371 q75,728,0,0.2687018226791214,14.946885210066961,83.58555026558055,7.118679504599538
dataset_4_keyframe_2,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,540,0,0.36054854922824436,6.834366183543665,56.75886259568288,3.5949964823220957
dataset_4_keyframe_3,stress_eval,disparity_mae_mean>=10.05 q75; bad_3px_mean>=67.02 q75; skipped_ratio>=0.08629 q75,366,41,0.17424734991949958,10.28876536399717,73.43564551244897,4.481146336229445
dataset_4_keyframe_4,stress_eval,disparity_mae_mean>=10.05 q75; bad_3px_mean>=67.02 q75; valid_pixel_pct_mean<=0.1681 q25,323,25,0.15214270668468255,20.030629586179547,91.1538297223239,5.109387308542862
dataset_5_keyframe_1,stress_eval,disparity_mae_mean>=10.05 q75; bad_3px_mean>=67.02 q75; depth_mae_mean>=5.371 q75,197,0,0.4006560233643818,19.443522059571265,78.63989973075365,10.306404509813039
dataset_5_keyframe_2,exclude_or_diagnostic,disparity_mae_mean>=21.76 upper_fence,1565,108,0.1811160792723004,22.18017049642852,86.61120137463669,5.81993525343394
dataset_5_keyframe_3,stress_eval,disparity_mae_mean>=10.05 q75; bad_3px_mean>=67.02 q75; depth_mae_mean>=5.371 q75; skipped_ratio>=0.08629 q75,1263,177,0.19746236006418863,18.46372969081005,82.63394635000691,6.0842351524218
dataset_5_keyframe_4,stress_eval,disparity_mae_mean>=10.05 q75; bad_3px_mean>=67.02 q75,411,0,0.31349045505198825,10.872851227573369,77.2234367671776,3.7087434155471324
dataset_6_keyframe_1,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,637,0,0.29317364295947496,2.1984791113034543,24.989091838662734,2.0262191558604936
dataset_6_keyframe_2,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,1055,32,0.17805567638744646,5.150513123565584,54.83876130687447,2.0685804523646167
dataset_6_keyframe_3,stress_eval,skipped_ratio>=0.08629 q75,1400,173,0.188960431990772,3.6544819328253846,36.346568571169314,3.517273894761075
dataset_6_keyframe_4,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,1334,26,0.2528798552120433,5.89130060297308,44.88199535708873,4.0406479978592325
dataset_7_keyframe_1,core_eval,below q75 error thresholds and above q25 valid-pixel threshold,647,0,0.2248178496795607,2.381847070895342,18.70409727783319,2.8032345423313325
dataset_7_keyframe_2,stress_eval,valid_pixel_pct_mean<=0.1681 q25,628,0,0.12360826237186506,5.08548632431493,55.98328273065582,1.841357682917296
dataset_7_keyframe_3,exclude_or_diagnostic,valid_pixel_pct_mean<=0.1182 q10,440,144,0.11012379110675968,9.804030399761483,25.103893081999487,5.870868868373654
dataset_7_keyframe_4,exclude_or_diagnostic,valid_pixel_pct_mean<=0.1182 q10,1467,730,0.09795418497536146,6.354396106350698,57.92420164585913,2.9858841097746858
