sequence_id,frame_id,valid_pixel_pct,valid_pixel_count,disparity_mae,bad_3px,depth_mae,rank_disparity_mae_worst,rank_bad_3px_worst
dataset_5_keyframe_2,000418,0.1978271484375,259296,867.4085628135725,100.0,38.40686171214904,1,1
dataset_5_keyframe_2,000419,0.1936859130859375,253868,630.1085649003173,100.0,36.523665900889085,5,2
dataset_5_keyframe_2,000425,0.19109573364257812,250473,740.9225862712182,100.0,36.87086376079266,2,8
dataset_5_keyframe_2,000420,0.1900909423828125,249156,311.4491325282513,100.0,31.2047915041507,11,3
dataset_5_keyframe_2,000422,0.186138916015625,243976,662.2057816483887,100.0,36.38964109805489,3,5
dataset_5_keyframe_2,000421,0.18702926635742187,245143,315.2176712421488,100.0,31.236389577404083,9,4
dataset_5_keyframe_2,000423,0.18711318969726562,245253,632.1862553315678,100.0,36.098524818738184,4,6
dataset_5_keyframe_2,000424,0.19029159545898439,249419,570.1693091240626,100.0,35.311441353961364,6,7
dataset_5_keyframe_2,000426,0.19139022827148439,250859,433.5519218028621,100.0,33.62773740372903,7,9
dataset_5_keyframe_2,000430,0.19124908447265626,250674,385.2244697023631,100.0,32.578428674944696,8,11
dataset_5_keyframe_2,000429,0.19105377197265624,250418,308.2917892118728,100.0,30.642503837682668,12,10
dataset_5_keyframe_3,000799,0.30740890502929685,402927,314.8340197665806,100.0,29.2592124078964,10,17
dataset_5_keyframe_2,000644,0.061528778076171874,80647,76.53090062108839,100.0,20.990077280987293,29,12
dataset_5_keyframe_2,000646,0.060861968994140626,79773,81.20037575500182,100.0,21.6703884685008,24,13
dataset_5_keyframe_3,000798,0.30855865478515626,404434,227.00089040361857,99.6998274131255,26.57510207887202,13,325
dataset_5_keyframe_2,000647,0.06002731323242187,78679,85.18092518281627,100.0,22.2846706547567,21,14
dataset_5_keyframe_3,000797,0.30962600708007815,405833,195.263012817042,99.78513329374398,25.237279808766573,14,290
dataset_5_keyframe_2,000655,0.0538116455078125,70532,64.88772393527712,100.0,19.258334155551346,45,15
dataset_5_keyframe_3,000800,0.30664825439453125,401930,153.59328773404954,99.80543875799268,22.712470992242096,15,278
dataset_5_keyframe_2,000656,0.05355072021484375,70190,63.80042078344549,100.0,19.09101292829871,49,16
dataset_5_keyframe_3,000796,0.31039886474609374,406846,141.95025579629416,99.35798803478465,22.261468414301053,16,471
