model,setting,raw_depth_mae_mm,raw_depth_rmse_mm,valid_disp_depth_mae_mm,valid_disp_depth_rmse_mm,depth_mae_cap100_mm,depth_rmse_cap100_mm,depth_mae_cap200_mm,depth_rmse_cap200_mm,depth_median_abs_error_mm,depth_abs_error_p95_mm,depth_abs_error_p99_mm,bad_1mm,bad_2mm,bad_5mm,pred_disp_le_0_1_ratio,pred_disp_le_0_5_ratio,runtime_ms_mean,notes
SGBM,default,19.899514263206058,104.6342283434338,19.899514263206058,104.6342283434338,5.480814939075046,9.733467615975274,6.729956301053365,14.155562408765157,2.9895980834960936,77.86420962015788,373.86693714194826,49.84191128966059,32.44508934002949,17.83735806932027,0.3967665527157156,0.3967665527157156,68.81529875099659,OpenCV SGBM max_disp=320 block=3; raw mask keeps historical pred>0 filter
S2M2-L,resize1024,3.3912790252102747,9.830771912468805,3.3912790252102747,9.830771912468805,4.360008996725083,11.433819193310208,3.3912790252102747,9.830771912468805,2.8610014809502498,7.6168928954336375,11.524710249900817,43.534848764565844,25.943082351713798,14.83918076838849,0.0,0.0,143.666250920958,"S2M2-L, max_width=1024"
S2M2-L,full-res,3.661766960223516,10.047787029213376,3.661766960223516,10.047787029213376,4.634136778116226,11.650203997559018,3.661766960223516,10.047787029213376,3.2511223051283094,7.95418141550488,11.870173422495524,44.389788549992154,27.283527291501407,17.029972767939842,0.0,0.0,217.09916649593248,"S2M2-L, original 1024x1280"
S2M2-XL,resize1024,2.2148483554522196,8.613050893942516,2.2148483554522196,8.613050893942516,3.1933846791585285,10.22868254184723,2.2148483554522196,8.613050893942516,1.7335487577650281,5.729392304685381,9.822956207063463,40.94283873368931,22.66759327322286,11.261898412424493,0.0,0.0,246.38646476798587,"S2M2-XL, max_width=1024"
S2M2-XL,full-res,2.719322669506073,9.079755294322968,2.719322669506073,9.079755294322968,3.7020128846168516,10.697831128703223,2.719322669506073,9.079755294322968,2.2971646626790365,6.170662367343903,10.186873314115736,42.411380177275305,24.665539171346825,13.838865063602665,0.0,0.0,385.39958679013785,"S2M2-XL, original 1024x1280"
Fast-FoundationStereo,ONNX 320x736,5093.623824067248,760149.9261218297,2.5958792057302262,11.363538414902157,3.498164666361279,10.800684950086806,2.5672206355465783,9.382276080714332,1.7865305794609918,7.207157193289863,12.932623481750488,40.107144268628325,23.28385468735774,12.689869386257898,1.030031053774931e-06,1.5616599847555402e-06,43.28093168636163,"20_30_48 iters=4 ONNX; fixed 320x736 input, disparity rescaled to GT resolution"
