applied_abs_threshold_px,new_bad3_pixels,pixels,share_of_all_new_bad3_pct,top_applied_magnitude_pct
23.871774673461914,0,15663,0.0,0.1
23.494953155517578,5,156622,0.018032964258664838,1
20.885787963867188,549,783110,1.9800194756013993,5
16.026065826416016,2858,1566220,10.307642370252822,10
