epoch,train_total,train_utility,train_heteroscedastic,train_classification,train_harmful_as_helpful,train_predicted_utility_mean,train_sigma_mean,validation_total,validation_utility,validation_heteroscedastic,validation_classification,validation_harmful_as_helpful,validation_predicted_utility_mean,validation_sigma_mean,validation_auroc,validation_average_precision,validation_utility_mae,validation_utility_pearson,validation_utility_spearman,validation_uncertainty_error_correlation
1,0.006574429245516419,0.006574429245516419,0.10084614809602499,0.0,0.0,0.04850388028078156,0.9999999905434939,0.0022037312349615,0.0022037312349615,0.04580183814590176,0.0,0.0,0.030089143523946406,0.9999999910593033,0.8787425964457795,0.4391845614104479,0.04302457347512245,0.4039948893418976,-0.05110894786505774,
2,0.006214916963542167,0.006214916963542167,0.09644950168111767,0.0,0.0,0.05220904866814052,0.9999999893017304,0.0019297235092381015,0.0019297235092381015,0.04313541846349835,0.0,0.0,0.01624748048100931,0.9999999910593033,0.8196940209943631,0.41992681133917376,0.03962339460849762,0.45669077925152474,0.11976863249114042,
3,0.005843740879731157,0.005843740879731157,0.09178009901482326,0.0,0.0,0.046619158915302994,0.9999999886330886,0.0018166673893574626,0.0018166673893574626,0.041424655138204494,0.0,0.0,0.01578600430948427,0.9999999910593033,0.8832433904431545,0.5455471789876323,0.038417380303144455,0.511780930139564,0.18891952194018882,
4,0.005592455329651085,0.005592455329651085,0.08833094434335063,0.0,0.0,0.044390885142955736,0.9999999879644468,0.0017336553098478665,0.0017336553098478665,0.03912177185217539,0.0,0.0,0.020275951786121973,0.9999999910593033,0.9184704217186038,0.5813848786614345,0.03609093651175499,0.531424157892272,0.3221316122651579,
5,0.005455870126472571,0.005455870126472571,0.08639430101865377,0.0,0.0,0.04249772627120434,0.9999999884420481,0.0017384462980165457,0.0017384462980165457,0.04111292185261846,0.0,0.0,0.00804971623486684,0.9999999910593033,0.8951707862105491,0.5779306153471087,0.039188042283058167,0.5261778426409923,0.26892648223135834,
