sequence_id,num_frames_total,frames_evaluated,frames_skipped,valid_pixel_pct_mean,valid_pixel_pct_min,valid_pixel_pct_max,disparity_mae_mean,disparity_mae_median,disparity_rmse_mean,bad_1px_mean,bad_2px_mean,bad_3px_mean,depth_mae_mean,depth_mae_median,runtime_ms_mean,runtime_ms_median,temporal_pairs,temporal_pair_coverage,temporal_disp_diff_mean,temporal_disp_diff_median,temporal_depth_diff_mean,temporal_depth_diff_median,gt_temporal_disp_diff_mean,gt_temporal_disp_diff_median,gt_temporal_depth_diff_mean,gt_temporal_depth_diff_median,temporal_error_variation_mean,temporal_error_variation_median,temporal_motion_mismatch_mean,temporal_motion_mismatch_median,temporal_valid_intersection_pct_mean,artifact_temporal_pairs,edge_sharpness_ratio_raw_mean,edge_sharpness_ratio_raw_median,edge_sharpness_ratio_raw_valid_count,edge_sharpness_ratio_raw_edges_mean,edge_sharpness_ratio_raw_edges_median,edge_sharpness_ratio_raw_edges_valid_count,boundary_disp_mae_px_mean,boundary_disp_mae_px_median,boundary_disp_mae_px_valid_count,boundary_disp_mae_px_p80_mean,boundary_disp_mae_px_p80_median,boundary_disp_mae_px_p80_valid_count,ghosting_score_px_tau2_mean,ghosting_score_px_tau2_median,ghosting_score_px_tau2_valid_count,ghosting_gt_error_px_tau2_mean,ghosting_gt_error_px_tau2_median,ghosting_gt_error_px_tau2_valid_count,ghosting_score_px_tau5_mean,ghosting_score_px_tau5_median,ghosting_score_px_tau5_valid_count,ghosting_gt_error_px_tau5_mean,ghosting_gt_error_px_tau5_median,ghosting_gt_error_px_tau5_valid_count,occlusion_disp_mae_px_mean,occlusion_disp_mae_px_median,occlusion_disp_mae_px_valid_count,lag_rate_mean,lag_rate_median,lag_rate_valid_count,lag_error_margin_px_mean,lag_error_margin_px_median,lag_error_margin_px_valid_count,rgb_disp_edge_corr_mean,rgb_disp_edge_corr_median,rgb_disp_edge_corr_valid_count,rgb_disp_edge_corr_rgb_edges_mean,rgb_disp_edge_corr_rgb_edges_median,rgb_disp_edge_corr_rgb_edges_valid_count,raw_temporal_disp_diff_px_mean,raw_temporal_disp_diff_px_median,raw_temporal_disp_diff_px_valid_count,samepixel_temporal_mae_px_mean,samepixel_temporal_mae_px_median,samepixel_temporal_mae_px_valid_count,samepixel_temporal_error_variation_px_mean,samepixel_temporal_error_variation_px_median,samepixel_temporal_error_variation_px_valid_count,samepixel_temporal_motion_mismatch_px_mean,samepixel_temporal_motion_mismatch_px_median,samepixel_temporal_motion_mismatch_px_valid_count,motion_compensated_temporal_mae_px_mean,motion_compensated_temporal_mae_px_median,motion_compensated_temporal_mae_px_valid_count,flow_forward_runtime_ms_mean,flow_forward_runtime_ms_median,flow_forward_runtime_ms_valid_count,flow_backward_runtime_ms_mean,flow_backward_runtime_ms_median,flow_backward_runtime_ms_valid_count,flow_runtime_used_ms_mean,flow_runtime_used_ms_median,flow_runtime_used_ms_valid_count,warnings
dataset_1_keyframe_1,197,197,0,0.382522943177199,0.32227554321289065,0.48959808349609374,0.88014494341593,0.8449575025918574,1.495920506878552,32.60699437922039,6.0678859302251125,1.148010104422663,0.9431024714172415,0.9272703265399218,71.86042308112427,62.13810807093978,196,1.0,0.21001387398918064,0.20111212879419327,0.23842498546048085,0.23167941719293594,0.6227054156515063,0.5947755575180054,0.6781950690308396,0.6825488209724426,0.5005821625188905,0.4812427759170532,0.5122951364942959,0.5151474475860596,0.1957092051603356,196,1.0,1.0,197,1.0,1.0,197,1.0869449449674733,1.023346185684204,197,0.9435415957784895,0.9080895781517029,197,,,0,,,0,,,0,,,0,,,0,0.7704081632653061,1.0,196,0.07011331746120326,0.05992555618286133,151,-0.1384533396200775,-0.20130806734132714,197,-0.024924860524622873,-0.03586861681717411,197,0.21001387398918064,0.20111212879419327,196,0.21001387398918064,0.20111212879419327,196,0.5005821625188905,0.4812427759170532,196,0.5122951364942959,0.5151474475860596,196,,,0,,,0,,,0,,,0,
dataset_1_keyframe_2,280,280,0,0.38382579258510047,0.33517303466796877,0.5678756713867188,0.7405731589637572,0.7340921284317605,1.3386222363857185,24.994749835904855,3.7910414310615725,0.7043286608293449,0.9402222513463798,0.9497199536289377,62.16207093259852,62.03400297090411,279,1.0,0.161743662663899,0.1485186666250229,0.2088000620031015,0.1953672468662262,0.48251858065205233,0.4689525067806244,0.6085653576372345,0.5971121191978455,0.3910941335249118,0.38579708337783813,0.45720129254471015,0.4493263065814972,0.18819745244945674,279,1.0,1.0,280,1.0,1.0,280,1.073069103700774,0.885170042514801,280,0.8731473841837474,0.8098829984664917,280,,,0,,,0,,,0,,,0,,,0,0.8817204301075269,1.0,279,0.022388498472973584,0.015778154134750366,246,-0.07357884039236103,-0.10594784175002227,280,0.017287434394052725,0.014383454372115061,280,0.161743662663899,0.1485186666250229,279,0.161743662663899,0.1485186666250229,279,0.3910941335249118,0.38579708337783813,279,0.45720129254471015,0.4493263065814972,279,,,0,,,0,,,0,,,0,
dataset_1_keyframe_3,471,471,0,0.39099186210875303,0.18682098388671875,0.5936676025390625,1.7748372515912882,1.5757113725585927,2.236457596001107,60.32323023872677,32.571285063510395,17.414814413471802,1.5129528056186594,1.446133716068375,62.17753148050445,62.03110399655998,470,1.0,0.18870541221125328,0.15945187211036682,0.18245169293690236,0.16176775842905045,0.5864614040437254,0.5538914501667023,0.4779618398239341,0.5954256951808929,0.5159569401848824,0.4643148183822632,0.5304975761219543,0.4435286819934845,0.22580433784647191,470,1.0,1.0,471,1.0,1.0,471,1.5424736601531885,1.1917861700057983,471,1.492602439949214,1.2025301456451416,471,,,0,,,0,,,0,,,0,,,0,0.7106382978723405,1.0,470,0.1240890763120023,0.10509628057479858,334,-0.1603669318583201,-0.14755445430842465,471,-5.7761595896176124e-05,0.004078165879281888,471,0.18870541221125328,0.15945187211036682,470,0.18870541221125328,0.15945187211036682,470,0.5159569401848824,0.4643148183822632,470,0.5304975761219543,0.4435286819934845,470,,,0,,,0,,,0,,,0,
dataset_2_keyframe_1,88,88,0,0.27394582575017756,0.2375732421875,0.29787216186523435,1.1187246118794543,1.1196787757109612,1.4986892135651109,45.6282770179127,13.993444313490727,4.053843384461527,0.8975869631038726,0.8639522044900072,62.07195107179525,61.8928805924952,87,1.0,0.499826207243163,0.4368191659450531,0.3845928641913951,0.36294132471084595,0.6937317591288994,0.6209147572517395,0.5538897706174303,0.5419765710830688,0.5189333027121664,0.501720666885376,0.47079527857659875,0.44522014260292053,0.1306898884389592,87,1.0,1.0,88,1.0,1.0,88,1.5485309646888212,1.652711033821106,88,1.2954349734566428,1.333399772644043,88,,,0,,,0,,,0,,,0,,,0,0.7011494252873564,1.0,87,0.2702065823508091,0.22432708740234375,61,-0.02328402572614864,-0.02820997483437541,88,-0.09919076994671384,-0.10223261447005882,88,0.499826207243163,0.4368191659450531,87,0.499826207243163,0.4368191659450531,87,0.5189333027121664,0.501720666885376,87,0.47079527857659875,0.44522014260292053,87,,,0,,,0,,,0,,,0,
dataset_2_keyframe_2,1033,968,65,0.16200900451719244,0.00905303955078125,0.6253509521484375,3.2265873043066304,2.7796254010302857,5.3519366506544745,72.09538150114912,49.430507285401184,33.519971341702444,2.4852944341631034,2.1934376691767676,62.43114585171392,62.10437335539609,967,1.0,0.4658885930492442,0.3599233627319336,0.34393680689715794,0.3014930188655853,0.9504774554315742,0.8876389265060425,0.8017414807965122,0.7909198999404907,0.930004399065641,0.8409203886985779,0.8977149734514329,0.8351178169250488,0.059618314567494904,967,1.0,1.0,968,1.0,1.0,968,4.9406866377050225,3.1421587467193604,968,4.020293191691075,2.9478005170822144,968,,,0,,,0,,,0,,,0,,,0,0.7207859358841778,1.0,967,0.21637418100789424,0.1405789852142334,697,0.03268783451934454,0.02697013136219873,968,0.0148803302623279,0.010186960910823422,968,0.4658885930492442,0.3599233627319336,967,0.4658885930492442,0.3599233627319336,967,0.930004399065641,0.8409203886985779,967,0.8977149734514329,0.8351178169250488,967,,,0,,,0,,,0,,,0,low_valid_pixel_pct
dataset_2_keyframe_3,1102,731,371,0.09437449155831726,0.004156494140625,0.34413681030273435,2.2806708208889153,1.9224066712372665,3.015480411992576,66.18660312422539,40.91973222400218,25.320978751303887,2.14087650319205,1.9705052554115512,62.30744503428281,62.09540902636945,730,1.0,0.5744025448924058,0.4778168797492981,0.575046394244857,0.498783603310585,1.017402630309536,0.8438619375228882,0.9205701355248281,0.9088333249092102,0.912140702384792,0.7918543219566345,0.8132658947412282,0.7018797695636749,0.06455500040968802,730,1.0,1.0,731,1.0,1.0,731,2.421490224621038,2.0909957885742188,731,2.517541704278964,2.1327927112579346,731,,,0,,,0,,,0,,,0,,,0,0.9136986301369863,1.0,730,0.3280471868958252,0.2328261137008667,667,-0.018920341583186763,0.0033319453794830446,731,-0.05727054682968262,-0.05581869743127261,731,0.5744025448924058,0.4778168797492981,730,0.5744025448924058,0.4778168797492981,730,0.912140702384792,0.7918543219566345,730,0.8132658947412282,0.7018797695636749,730,,,0,,,0,,,0,,,0,low_valid_pixel_pct
dataset_2_keyframe_4,2114,1677,437,0.13928499862396615,0.0,0.43931427001953127,2.6433017191615917,1.853958340389307,4.20007291880102,58.21727529822965,36.841574824976384,25.977084254774166,1.550845702545773,1.3541378224172704,62.78168700136173,62.384119955822825,1676,1.0,0.502676442343306,0.3757660686969757,0.3205296816826667,0.2622811049222946,0.651360304461601,0.5346412062644958,0.4212155300403694,0.37799425423145294,0.612552751460266,0.5118261575698853,0.5189058956621229,0.43206624686717987,0.08914773936487896,1676,1.0,1.0,1677,1.0,1.0,1677,3.632172465573199,2.518922805786133,1677,3.0129014250417514,2.1679463386535645,1677,,,0,,,0,,,0,,,0,,,0,0.7028639618138425,1.0,1676,0.3110569581414726,0.1851833462715149,1178,0.00419229594941036,0.004686678662883171,1677,0.030157747322297684,0.029845327592051704,1677,0.502676442343306,0.3757660686969757,1676,0.502676442343306,0.3757660686969757,1676,0.612552751460266,0.5118261575698853,1676,0.5189058956621229,0.43206624686717987,1676,,,0,,,0,,,0,,,0,low_valid_pixel_pct
dataset_3_keyframe_1,329,329,0,0.3710166328221469,0.23250961303710938,0.5349609375,6.805031045158282,7.851394245403369,10.084161089301237,85.72959051190387,72.49646799848435,60.598592980279065,8.232884324631346,9.809447768180787,62.56397467638765,62.235935125499964,328,1.0,0.31085498567398,0.20083022117614746,0.4861530670669021,0.37056486308574677,0.5314842539771301,0.45993414521217346,0.7703442985146511,0.748350977897644,0.6350187865517488,0.568958967924118,0.5699002045865466,0.48462553322315216,0.18064829430929047,328,1.0,1.0,329,1.0,1.0,329,13.172279820616122,13.827017784118652,329,10.695600771976459,11.861628532409668,329,,,0,,,0,,,0,,,0,,,0,0.8353658536585366,1.0,328,0.07367809715062162,0.04954409599304199,274,0.039474273513240246,0.03527979534601119,329,0.010221108142987954,0.005255059202693147,329,0.31085498567398,0.20083022117614746,328,0.31085498567398,0.20083022117614746,328,0.6350187865517488,0.568958967924118,328,0.5699002045865466,0.48462553322315216,328,,,0,,,0,,,0,,,0,
dataset_3_keyframe_2,1597,1597,0,0.22969554741082523,0.1609375,0.5063522338867188,1.6987021510384481,1.7370208248316537,2.4648304383253135,61.353828012776155,28.579072931690845,12.376373945292958,2.637247247520419,2.6733445006041525,62.898613872769324,62.455873005092144,1596,1.0,0.29420586731891735,0.2565425783395767,0.48819931320155174,0.44095446169376373,0.5426577833623516,0.521224319934845,0.8338406961364555,0.8028799295425415,0.5790362623625231,0.5643677115440369,0.5204290967331943,0.5086885988712311,0.11731994982650107,1596,1.0,1.0,1597,1.0,1.0,1597,1.7071260230647227,1.7257598638534546,1597,1.761056376048454,1.7819141149520874,1597,,,0,,,0,,,0,,,0,,,0,0.6466165413533834,1.0,1596,0.06204946760752404,0.03973323106765747,1032,0.03167175928048485,0.02821790930647486,1597,0.005743594691047372,0.0031788733710057713,1597,0.29420586731891735,0.2565425783395767,1596,0.29420586731891735,0.2565425783395767,1596,0.5790362623625231,0.5643677115440369,1596,0.5204290967331943,0.5086885988712311,1596,,,0,,,0,,,0,,,0,
dataset_3_keyframe_3,448,448,0,0.20840611457824706,0.11498260498046875,0.45323028564453127,3.3977511891173484,3.7760393124671223,4.856772002641854,69.90084535959612,50.988302065375386,38.12841143143227,5.632073572573473,6.6445973119440165,62.56303745301141,62.31018353719264,447,1.0,0.5015922659795556,0.47602105140686035,0.9991593690259878,0.9728406667709351,1.0199478283291161,0.9623201489448547,1.6668538449861325,1.7010996341705322,1.078933627546767,1.0679821968078613,1.010095536042113,0.9366660118103027,0.09565667274014263,447,1.0,1.0,448,1.0,1.0,448,3.224715848054205,3.5966826677322388,448,3.711791919544339,3.837795853614807,448,,,0,,,0,,,0,,,0,,,0,0.6085011185682326,1.0,447,0.1353439975749044,0.09561800956726074,272,0.05582112132131155,0.061262966421527315,448,0.031237011007440335,0.0331442117151238,448,0.5015922659795556,0.47602105140686035,447,0.5015922659795556,0.47602105140686035,447,1.078933627546767,1.0679821968078613,447,1.010095536042113,0.9366660118103027,447,,,0,,,0,,,0,,,0,
