probability_threshold,error_threshold_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_a2_epe,SCARED-C_refined_epe,SCARED-C_epe_gain,SCARED-C_retained_a2_gain,SCARED-C_intervention_coverage,SCARED-C_intervention_precision,SCARED-C_false_update_rate,SCARED-C_clean_degradation,SERV-CT_raw_epe,SERV-CT_a2_epe,SERV-CT_refined_epe,SERV-CT_epe_gain,SERV-CT_retained_a2_gain,SERV-CT_intervention_coverage,SERV-CT_intervention_precision,SERV-CT_false_update_rate,SERV-CT_clean_degradation
0.5,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19172179698944092,0.00014863908290863037,0.015627227565332778,0.00012835143554097803,0.9792746113989638,1.3906020333382932e-06,1.3906020333382932e-06,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19098986685276031,0.0008805692195892334,0.09257898603967671,0.0010401121512232624,0.9194373401534527,7.300660675026038e-05,6.953010166691465e-05,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,2.0,0.19187043607234955,0.18235889077186584,0.18957966566085815,0.002290770411491394,0.24084103467129556,0.0034382223924707585,0.851063829787234,0.000568756231635362,0.000450555058801607,1.0237590074539185,1.41615891456604,1.024593472480774,-0.0008344650268554688,-83446.50268554688,0.022112165178571428,0.42902208201892744,0.013754298218193186,0.009534229446702094
0.5,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19172179698944092,0.00014863908290863037,0.015627227565332778,0.00012835143554097803,0.9792746113989638,1.3906020333382932e-06,1.3906020333382932e-06,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19098986685276031,0.0008805692195892334,0.09257898603967671,0.0010401121512232624,0.9194373401534527,7.300660675026038e-05,6.953010166691465e-05,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,2.0,0.19187043607234955,0.18235889077186584,0.18957966566085815,0.002290770411491394,0.24084103467129556,0.0034382223924707585,0.851063829787234,0.000568756231635362,0.000450555058801607,1.0237590074539185,1.41615891456604,1.024593472480774,-0.0008344650268554688,-83446.50268554688,0.022112165178571428,0.42902208201892744,0.013754298218193186,0.009534229446702094
0.5,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19172179698944092,0.00014863908290863037,0.015627227565332778,0.00012835143554097803,0.9792746113989638,1.3906020333382932e-06,1.3906020333382932e-06,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19098986685276031,0.0008805692195892334,0.09257898603967671,0.0010401121512232624,0.9194373401534527,7.300660675026038e-05,6.953010166691465e-05,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,2.0,0.19187043607234955,0.18235889077186584,0.18957966566085815,0.002290770411491394,0.24084103467129556,0.0034382223924707585,0.851063829787234,0.000568756231635362,0.000450555058801607,1.0237590074539185,1.41615891456604,1.024593472480774,-0.0008344650268554688,-83446.50268554688,0.022112165178571428,0.42902208201892744,0.013754298218193186,0.009534229446702094
0.65,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,0.5,0.19187043607234955,0.18235889077186584,0.1918068528175354,6.358325481414795e-05,0.006684850127446112,4.655233413403348e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19163045287132263,0.0002399832010269165,0.02523072681099593,0.00019019953660476537,0.9895104895104895,6.953010166691466e-07,6.953010166691466e-07,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
