namespace,coverage_threshold,backbone,sequence,method,epe,bad1,bad3,absrel,boundary_epe,false_update_rate,clean_degradation_ratio,clean_update_mean,new_bad3,valid_count,clean_count,raw_good3_count,boundary_count,common_valid_ratio,frames,frames_worsened_ratio,worst_frame_degradation,p95_frame_degradation
cache,0.05,S2M2-S,dataset_7_keyframe_1,raw,0.27293183414351796,0.02836521831515947,0.0033673528244861795,0.025683604504201086,0.34686177106668314,0.0,0.0,0.0,0.0,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.0,0.0,0.0
cache,0.05,S2M2-S,dataset_7_keyframe_1,memory,0.2700766251779332,0.02618915837568311,0.003114718086105142,0.025623383792624063,0.3402760837731068,0.41120549039735216,0.36794099323478385,0.05718124873185891,0.00011997157271825327,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.4066666666666667,0.05020412802696228,0.019671691954135897
cache,0.05,S2M2-S,dataset_7_keyframe_1,blend_0.1,0.2719498218973767,0.027949361549413583,0.003331061782956079,0.02560676270160862,0.3453081118341842,0.0013493714706712256,0.012297000611826816,0.005718160602865594,8.971481244326857e-06,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.20666666666666667,0.004420340061187744,0.0013455122709274325
cache,0.05,S2M2-S,dataset_7_keyframe_1,blend_0.25,0.2707629465130678,0.027398333802896167,0.003281446494294154,0.025521037384290512,0.3433409232793539,0.029826657050914928,0.10691663630148494,0.014295312221292409,2.2516658809290937e-05,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.22,0.011337965726852417,0.0036852955818176326
cache,0.05,S2M2-S,dataset_7_keyframe_1,blend_0.5,0.26955906506543686,0.02669758359518693,0.0032158771728822816,0.025457171767291953,0.3410559633894577,0.15980473425443933,0.24175700058788055,0.028590624384998143,5.8050760992703194e-05,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.30333333333333334,0.023540794849395752,0.00842312127351761
cache,0.05,S2M2-S,dataset_7_keyframe_1,heuristic_gate,0.2697168516038666,0.02690568729710108,0.0032423503481047223,0.025462453383136772,0.34151088117114636,0.11283694875222051,0.20844756029567238,0.024049249146489007,4.151508967963016e-05,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.2733333333333333,0.01768636703491211,0.006278678774833681
cache,0.05,S2M2-S,dataset_7_keyframe_1,learned_refiner,0.26516000641203813,0.029138375286887695,0.0029413275543502177,0.024715514872246366,0.34165525721020223,0.39307558116563185,0.30803903718494213,0.05751376253898515,0.0002612284244671644,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.18666666666666668,0.025961846113204956,0.012506470084190372
cache,0.05,S2M2-S,dataset_7_keyframe_1,oracle,0.24090029756081566,0.02314071088715467,0.0029951505000011397,0.02270454554389229,0.3057175471710821,0.1918218749837864,0.0,0.026510216124245187,0.0,5703887,5011222,5684680,3213956,0.7335245627572017,300,0.0,-0.012662336230278015,-0.01675218716263771
cache,0.25,S2M2-S,dataset_7_keyframe_1,raw,0.23059380533149304,0.01574858438397566,0.0028807291124693,0.023751547327270934,0.28347535532741,0.0,0.0,0.0,0.0,4343692,4008740,4331179,2470801,0.558602366255144,300,0.0,0.0,0.0
cache,0.25,S2M2-S,dataset_7_keyframe_1,memory,0.22935876321276233,0.014595417907162846,0.002731317045499543,0.023782607077403112,0.2804316768724614,0.3823473211033891,0.356270798305702,0.0526248718818789,7.018874075626983e-05,4343692,4008740,4331179,2470801,0.558602366255144,300,0.45666666666666667,0.05435332655906677,0.019640910625457777
