family,seed,epoch,total,error,harm,rank,validation_harm_auroc,validation_harm_auprc,validation_raw_error_mae,validation_proposal_error_mae,validation_delta_mae,validation_delta_spearman,validation_sample_count,validation_harm_fraction,validation_best_selective_gain,validation_best_selective_harm,validation_best_selective_coverage,validation_best_constrained_gain,validation_best_constrained_harm,validation_best_constrained_coverage,learning_rate
temporal,20260722,1,-0.06255003422304937,-1.2323609350262454,1.1641265834437922,0.05684316455942873,0.5737057695539298,0.5350444520722847,0.3799498975276947,0.334750235080719,0.3525625467300415,0.08391209663257393,563434,0.45272738244408395,0.027456652373075485,0.6966357684578985,0.02738031428703273,0.0,0.0,0.0,0.0009838147674871471
temporal,20260722,2,-0.6353048311377681,-1.6253748806457553,0.9853584988305233,0.04711549925483488,0.618068593210484,0.5854415570141763,0.3305809199810028,0.32979756593704224,0.3015376925468445,0.18862128433560826,563434,0.45272738244408395,0.04139123484492302,0.3764630956723902,0.28704160558290764,0.0,0.0,0.0,0.0009363620667974238
temporal,20260722,3,-1.077826371572321,-1.910964624711231,0.8293316111718648,0.03806640915228866,0.6620228870066136,0.6068233767929511,0.3269979953765869,0.2926522195339203,0.28108149766921997,0.28372059913954334,563434,0.45272738244408395,0.0521622933447361,0.3078502729399532,0.3413886985875897,0.0,0.0,0.0,0.000860875721063441
temporal,20260722,4,-1.332834417689529,-2.0813716627079244,0.7451492603893248,0.033879846838402915,0.7210904149577221,0.6724277495430186,0.3139876127243042,0.28515833616256714,0.2506667971611023,0.40811632473567944,563434,0.45272738244408395,0.06864407658576965,0.27057576975910475,0.4237869919103214,0.0,0.0,0.0,0.000762499999999851
temporal,20260722,5,-1.5317981901247328,-2.226686038045,0.6918273131369345,0.030605345115146832,0.6776332114889531,0.6162394611080404,0.33375635743141174,0.30643343925476074,0.27242153882980347,0.31667513440858824,563434,0.45272738244408395,0.058464471250772476,0.32360613722955117,0.31024396823762856,0.0,0.0,0.0,0.0006479390464235705
temporal,20260722,6,-1.6871145766386262,-2.3331440171695648,0.6431721163526077,0.02857321804965965,0.7252705414018488,0.6583520338776911,0.3188881278038025,0.2903144359588623,0.25184571743011475,0.3812744494525763,563434,0.45272738244408395,0.06414995342493057,0.2546582388183428,0.37681787041605586,0.0,0.0,0.0,0.0005249999999998892
temporal,20260722,7,-1.827160971802378,-2.4369208020426885,0.6071161144381801,0.02643716773440149,0.7186949619664259,0.6610316272494298,0.3028266429901123,0.29853302240371704,0.24656404554843903,0.3849846718458491,563434,0.45272738244408395,0.06559859216213226,0.29263206096231664,0.3565830248085845,0.0,0.0,0.0,0.00040206095357620187
temporal,20260722,8,-1.9519697403822769,-2.535235703416519,0.5807596035201678,0.02506360421785397,0.7479689275013925,0.6874449708765149,0.29468193650245667,0.28747662901878357,0.2371046096086502,0.43538863055358956,563434,0.45272738244408395,0.07275280356407166,0.2548395251644551,0.32997121224491244,0.0,0.0,0.0,0.00028749999999993424
temporal,20260722,9,-2.055785167028959,-2.6133703704835884,0.5552076790806831,0.023775219319438275,0.7284825384382352,0.669412848573305,0.3002966344356537,0.2850322723388672,0.23809732496738434,0.4376363320797506,563434,0.45272738244408395,0.06970476359128952,0.2794272049879049,0.3837237369416826,0.0,0.0,0.0,0.0001891242789363633
temporal,20260722,10,-2.139824397978373,-2.681910671788149,0.5397920892492637,0.022941834176734288,0.7268188893903419,0.6671913324402093,0.30253949761390686,0.2861572504043579,0.23844100534915924,0.442625030711331,563434,0.45272738244408395,0.06969628483057022,0.2783907316671954,0.30210104466539117,0.0,0.0,0.0,0.00011363793320239151
temporal,20260722,11,-2.1991903490624423,-2.7305006856237846,0.5290622316150857,0.02248100870220153,0.7225949689466572,0.6622489575453934,0.3031514286994934,0.2881917357444763,0.24085113406181335,0.4340507809415672,563434,0.45272738244408395,0.0686483234167099,0.2880726534873871,0.3603722885022913,0.0,0.0,0.0,6.618523251269294e-05
temporal,20260722,12,-2.2332544128779297,-2.7552414417265285,0.519784905026423,0.022021254770232725,0.7218084567959493,0.6605295734486692,0.30155637860298157,0.283042848110199,0.24281884729862213,0.434287683397358,563434,0.45272738244408395,0.06866995245218277,0.28433105664925673,0.3534043028997185,0.0,0.0,0.0,5e-05
