method,checkpoint,input_resolution,frame,runtime_ms,valid_disp_mae,valid_disp_rmse,bad_1px,bad_2px,bad_3px,valid_depth_mae,valid_depth_median,valid_depth_rmse,bad_1mm,bad_2mm,bad_5mm,pred_disp_le_0_1_ratio,pred_disp_le_0_5_ratio,valid_pixel_ratio,valid_px,mae_px,rmse_px,bad1_pct,bad2_pct,bad5_pct,depth_mae_mm,depth_median_abs_error_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct,abs_depth_error_p50,abs_depth_error_p75,abs_depth_error_p90,abs_depth_error_p95,abs_depth_error_p99,excluded_pred_disp_le_0_1_ratio,valid_disp_valid_px,valid_disp_valid_pixel_ratio,valid_disp_mae_px,valid_disp_rmse_px,valid_disp_bad1_pct,valid_disp_bad2_pct,valid_disp_bad5_pct,valid_disp_depth_mae_mm,valid_disp_depth_median_abs_error_mm,valid_disp_depth_rmse_mm,valid_disp_depth_bad1mm_pct,valid_disp_depth_bad2mm_pct,valid_disp_depth_bad5mm_pct,valid_disp_abs_depth_error_p50,valid_disp_abs_depth_error_p75,valid_disp_abs_depth_error_p90,valid_disp_abs_depth_error_p95,valid_disp_abs_depth_error_p99,depth_mae_cap100_mm,depth_rmse_cap100_mm,depth_mae_cap200_mm,depth_rmse_cap200_mm
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000000,1047.2625729162246,1.6807098388671875,2.1474416255950928,61.12010486510403,34.200868775960416,17.286822186247207,1.337144136428833,1.0060348510742188,1.873565673828125,50.26257626600009,21.21853995190926,1.8047466345786065,0.0,0.0,0.7380203247070313,967338,1.6807098388671875,2.1474416255950928,61.12010486510403,34.200868775960416,1.9434778743314125,1.337144136428833,1.0060348510742188,1.873565673828125,50.26257626600009,21.21853995190926,1.8047466345786065,1.0060348510742188,1.8141326904296875,2.805988311767578,3.5355420112609863,6.14960241317749,0.0,967338,0.7380203247070313,1.6807098388671875,2.1474416255950928,61.12010486510403,34.200868775960416,1.9434778743314125,1.337144136428833,1.0060348510742188,1.873565673828125,50.26257626600009,21.21853995190926,1.8047466345786065,1.0060348510742188,1.8141326904296875,2.805988311767578,3.5355420112609863,6.14960241317749,1.3265595436096191,1.842851161956787,1.337144136428833,1.873565673828125
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000001,59.378155041486025,1.7764919996261597,2.2366936206817627,64.2579100435983,37.14026732121219,19.11690345141941,1.412235975265503,1.0931816101074219,1.9319974184036255,53.78559688343296,23.315692583720878,1.8639596059021233,0.0,0.0,0.7347953796386719,963111,1.7764919996261597,2.2366936206817627,64.2579100435983,37.14026732121219,2.1656901437113687,1.412235975265503,1.0931816101074219,1.9319974184036255,53.78559688343296,23.315692583720878,1.8639596059021233,1.0931816101074219,1.919717788696289,2.911731719970703,3.6326961517333984,6.1131062507629395,0.0,963111,0.7347953796386719,1.7764919996261597,2.2366936206817627,64.2579100435983,37.14026732121219,2.1656901437113687,1.412235975265503,1.0931816101074219,1.9319974184036255,53.78559688343296,23.315692583720878,1.8639596059021233,1.0931816101074219,1.919717788696289,2.911731719970703,3.6326961517333984,6.1131062507629395,1.401904821395874,1.9059933423995972,1.412235975265503,1.9319974184036255
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000002,58.72040614485741,1.8032320737838745,2.2652816772460938,65.1726656975134,37.82550851806293,19.59138798284787,1.4500758647918701,1.1298332214355469,1.982019305229187,55.174327401711245,24.246249930762325,2.046508905793913,0.0,0.0,0.7300178527832031,956849,1.8032320737838745,2.2652816772460938,65.1726656975134,37.82550851806293,2.389509734555818,1.4500758647918701,1.1298332214355469,1.982019305229187,55.174327401711245,24.246249930762325,2.046508905793913,1.1298332214355469,1.9653587341308594,2.9659736156463623,3.713752031326294,6.37747049331665,0.0,956849,0.7300178527832031,1.8032320737838745,2.2652816772460938,65.1726656975134,37.82550851806293,2.389509734555818,1.4500758647918701,1.1298332214355469,1.982019305229187,55.174327401711245,24.246249930762325,2.046508905793913,1.1298332214355469,1.9653587341308594,2.9659736156463623,3.713752031326294,6.37747049331665,1.4404376745224,1.959655523300171,1.4500758647918701,1.982019305229187
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000003,58.63065388984978,1.8060681819915771,2.266916275024414,65.56555567237935,37.6951950373252,19.371780044159394,1.465671181678772,1.1468124389648438,2.003716468811035,55.89159920092525,24.718536431500368,1.9939017979181999,0.0,0.0,0.7256317138671875,951100,1.8060681819915771,2.266916275024414,65.56555567237935,37.6951950373252,2.342445589317632,1.465671181678772,1.1468124389648438,2.003716468811035,55.89159920092525,24.718536431500368,1.9939017979181999,1.1468124389648438,1.9875602722167969,2.9817287921905518,3.721665143966675,6.242241382598877,0.0,951100,0.7256317138671875,1.8060681819915771,2.266916275024414,65.56555567237935,37.6951950373252,2.342445589317632,1.465671181678772,1.1468124389648438,2.003716468811035,55.89159920092525,24.718536431500368,1.9939017979181999,1.1468124389648438,1.9875602722167969,2.9817287921905518,3.721665143966675,6.242241382598877,1.4652037620544434,2.0076165199279785,1.465671181678772,2.003716468811035
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000004,58.603984070941806,1.7548956871032715,2.2121517658233643,64.10733658192373,36.57241669985328,18.36485268843215,1.438222050666809,1.1121978759765625,1.968582034111023,54.43793857819064,24.054287304828414,1.9194711551157904,0.0,0.0,0.7222496032714844,946667,1.7548956871032715,2.2121517658233643,64.10733658192373,36.57241669985328,2.0905978554232907,1.438222050666809,1.1121978759765625,1.968582034111023,54.43793857819064,24.054287304828414,1.9194711551157904,1.1121978759765625,1.9536209106445312,2.9745895862579346,3.7229676246643066,6.1555399894714355,0.0,946667,0.7222496032714844,1.7548956871032715,2.2121517658233643,64.10733658192373,36.57241669985328,2.0905978554232907,1.438222050666809,1.1121978759765625,1.968582034111023,54.43793857819064,24.054287304828414,1.9194711551157904,1.1121978759765625,1.9536209106445312,2.9745895862579346,3.7229676246643066,6.1555399894714355,1.4344067573547363,1.9669214487075806,1.438222050666809,1.968582034111023
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000005,58.64604492671788,1.7359789609909058,2.194225311279297,63.64255886480256,35.78031025163628,17.771852317333884,1.4406148195266724,1.1064033508300781,1.9842475652694702,54.372267995932376,23.981661737825267,2.0292461101781814,0.0,0.0,0.7187454223632812,942074,1.7359789609909058,2.194225311279297,63.64255886480256,35.78031025163628,2.0484590382496495,1.4406148195266724,1.1064033508300781,1.9842475652694702,54.372267995932376,23.981661737825267,2.0292461101781814,1.1064033508300781,1.9506721496582031,2.9887313842773438,3.7512106895446777,6.293124675750732,0.0,942074,0.7187454223632812,1.7359789609909058,2.194225311279297,63.64255886480256,35.78031025163628,2.0484590382496495,1.4406148195266724,1.1064033508300781,1.9842475652694702,54.372267995932376,23.981661737825267,2.0292461101781814,1.1064033508300781,1.9506721496582031,2.9887313842773438,3.7512106895446777,6.293124675750732,1.4383360147476196,1.9874204397201538,1.4406148195266724,1.9842475652694702
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000006,58.577653020620346,1.7028942108154297,2.1624608039855957,62.80631395588077,35.02940677938999,17.0654198234847,1.4287185668945312,1.0930633544921875,1.980663537979126,53.73631867844857,23.781273686129403,1.9059771930890603,0.0,0.0,0.7156745910644531,938049,1.7028942108154297,2.1624608039855957,62.80631395588077,35.02940677938999,1.7971342648411757,1.4287185668945312,1.0930633544921875,1.980663537979126,53.73631867844857,23.781273686129403,1.9059771930890603,1.0930633544921875,1.941253662109375,2.9698104858398438,3.709644317626953,6.331925392150879,0.0,938049,0.7156745910644531,1.7028942108154297,2.1624608039855957,62.80631395588077,35.02940677938999,1.7971342648411757,1.4287185668945312,1.0930633544921875,1.980663537979126,53.73631867844857,23.781273686129403,1.9059771930890603,1.0930633544921875,1.941253662109375,2.9698104858398438,3.709644317626953,6.331925392150879,1.426447868347168,1.984519600868225,1.4287185668945312,1.980663537979126
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000007,58.560074074193835,1.6976909637451172,2.1480071544647217,63.00405472594167,35.04530491881976,17.079461484389732,1.4327327013015747,1.1002483367919922,1.9714546203613281,54.018293414713604,23.85023231093662,1.936924580383013,0.0,0.0,0.71199951171875,933232,1.6976909637451172,2.1480071544647217,63.00405472594167,35.04530491881976,1.6449285922471584,1.4327327013015747,1.1002483367919922,1.9714546203613281,54.018293414713604,23.85023231093662,1.936924580383013,1.1002483367919922,1.944387435913086,2.9684054851531982,3.7087626457214355,6.245309352874756,0.0,933232,0.71199951171875,1.6976909637451172,2.1480071544647217,63.00405472594167,35.04530491881976,1.6449285922471584,1.4327327013015747,1.1002483367919922,1.9714546203613281,54.018293414713604,23.85023231093662,1.936924580383013,1.1002483367919922,1.944387435913086,2.9684054851531982,3.7087626457214355,6.245309352874756,1.4295419454574585,1.9673850536346436,1.4327327013015747,1.9714546203613281
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000008,58.51406301371753,1.7221653461456299,2.1620092391967773,64.29977486111036,35.6009912589961,17.354375091108366,1.4721888303756714,1.1374473571777344,2.001744508743286,55.66599538924193,24.67338663959961,2.2078728424189746,0.0,0.0,0.7065544128417969,926095,1.7221653461456299,2.1620092391967773,64.29977486111036,35.6009912589961,1.6103099574017783,1.4721888303756714,1.1374473571777344,2.001744508743286,55.66599538924193,24.67338663959961,2.2078728424189746,1.1374473571777344,1.9844493865966797,3.0452728271484375,3.8396782875061035,6.417567253112793,0.0,926095,0.7065544128417969,1.7221653461456299,2.1620092391967773,64.29977486111036,35.6009912589961,1.6103099574017783,1.4721888303756714,1.1374473571777344,2.001744508743286,55.66599538924193,24.67338663959961,2.2078728424189746,1.1374473571777344,1.9844493865966797,3.0452728271484375,3.8396782875061035,6.417567253112793,1.4625309705734253,1.9944329261779785,1.4721888303756714,2.001744508743286
S2M2-S,CH128NTR1.pth,512 width,dataset_1_keyframe_1_frame_000009,59.425284853205085,1.67629075050354,2.115896224975586,62.47149705763814,34.32791718584841,16.619428822218772,1.445792317390442,1.1074790954589844,1.9724390506744385,54.39855125206541,24.21090710783808,1.9974601284710038,0.0,0.0,0.7023002624511718,920519,1.67629075050354,2.115896224975586,62.47149705763814,34.32791718584841,1.3404394694731994,1.445792317390442,1.1074790954589844,1.9724390506744385,54.39855125206541,24.21090710783808,1.9974601284710038,1.1074790954589844,1.9614448547363281,3.0239531993865967,3.7922523021698,6.4955267906188965,0.0,920519,0.7023002624511718,1.67629075050354,2.115896224975586,62.47149705763814,34.32791718584841,1.3404394694731994,1.445792317390442,1.1074790954589844,1.9724390506744385,54.39855125206541,24.21090710783808,1.9974601284710038,1.1074790954589844,1.9614448547363281,3.0239531993865967,3.7922523021698,6.4955267906188965,1.4354835748672485,1.9608060121536255,1.445792317390442,1.9724390506744385
