sequence,frames,support,method,causal,frozen_backbone,pixels,EPE,Bad1,Bad3,RMSE,P95,InvalidRate,DTCE_k1,DTCE_k2,DTCE_k4,DTCE_k8,raw_DTCE_k1,raw_DTCE_k2,raw_DTCE_k4,raw_DTCE_k8
dataset_2_keyframe_2,1033,gt,tcstereo_sceneflow_temporal,yes,no,2054967,0.4630681643436809,0.06287302910460363,0.010222548585938364,1.4748414115712192,1.148504257202148,0.0,0.20854970978608622,0.2432030928943989,0.27474185353661923,0.30713994636174535,0.06662133424095276,0.08075887522158587,0.09713943015878022,0.12075730242319474
dataset_2_keyframe_2,1033,gt_and_raw,tcstereo_sceneflow_temporal,yes,no,2054967,0.4630681643436809,0.06287302910460363,0.010222548585938364,1.4748414115712192,1.148504257202148,0.0,0.20854970978608622,0.2432030928943989,0.27474185353661923,0.30713994636174535,0.06662133424095276,0.08075887522158587,0.09713943015878022,0.12075730242319474
dataset_2_keyframe_3,1102,gt,tcstereo_sceneflow_temporal,yes,no,4723502,0.6942858649465153,0.16376938127685772,0.026220588029813474,1.6008022273634481,2.0884837150573734,0.0,0.31372188967922204,0.368494188893422,0.41978299625402216,0.4886462679624889,0.0833668810900214,0.1034926912428463,0.12719385349924275,0.15849290165251595
dataset_2_keyframe_3,1102,gt_and_raw,tcstereo_sceneflow_temporal,yes,no,4723502,0.6942858649465153,0.16376938127685772,0.026220588029813474,1.6008022273634481,2.0884837150573734,0.0,0.31372188967922204,0.368494188893422,0.41978299625402216,0.4886462679624889,0.0833668810900214,0.1034926912428463,0.12719385349924275,0.15849290165251595
dataset_2_keyframe_4,2114,gt,tcstereo_sceneflow_temporal,yes,no,11221006,0.6211869160893022,0.08588811021043924,0.02451642927559258,2.511720138259648,1.4604449272155762,0.0,0.4804709792699908,0.5617895676386486,0.6132626816384635,0.6881119829861957,0.06937815350453881,0.08504566770958097,0.10291283742497252,0.1283701145859671
dataset_2_keyframe_4,2114,gt_and_raw,tcstereo_sceneflow_temporal,yes,no,11221006,0.6211869160893022,0.08588811021043924,0.02451642927559258,2.511720138259648,1.4604449272155762,0.0,0.4804709792699908,0.5617895676386486,0.6132626816384635,0.6881119829861957,0.06937815350453881,0.08504566770958097,0.10291283742497252,0.1283701145859671
