config,delta_mae,frames,modified_pixel_ratio,new_bad3,raw_bad3,raw_mae,refined_bad3,refined_mae,sequence_id,split,temporal_pairs
raw_s2m2,0.0,728.0,0.0,0.0,80.24346923828125,13.422183990478516,80.24346923828125,13.422183990478516,dataset_4_keyframe_1,val,727
raw_s2m2,0.0,1467.0,0.0,0.0,55.272918701171875,5.912242889404297,55.272918701171875,5.912242889404297,dataset_7_keyframe_4,val,1466
raw_s2m2,0.0,1677.0,0.0,0.0,30.88817596435547,2.898447275161743,30.88817596435547,2.898447275161743,dataset_2_keyframe_4,val,1676
raw_s2m2,0.0,1597.0,0.0,0.0,12.074831008911133,1.6636160612106323,12.074831008911133,1.6636160612106323,dataset_3_keyframe_2,val,1596
current_only,0.0,728.0,0.0,0.0,80.24346923828125,13.422183990478516,80.24337768554688,13.422183990478516,dataset_4_keyframe_1,val,727
current_only,0.0,1467.0,0.0,0.0,55.272918701171875,5.912242889404297,55.27265167236328,5.912242889404297,dataset_7_keyframe_4,val,1466
current_only,0.0,1677.0,0.0,0.0,30.88817596435547,2.898447275161743,30.888044357299805,2.898447275161743,dataset_2_keyframe_4,val,1676
current_only,0.0,1597.0,0.0,0.0,12.074831008911133,1.6636160612106323,12.072361946105957,1.6636160612106323,dataset_3_keyframe_2,val,1596
aligned_local_faithful,-0.20826244354248047,728.0,0.761506974697113,4.847567081451416,80.24346923828125,13.422183990478516,80.3601303100586,13.630446434020996,dataset_4_keyframe_1,val,727
aligned_local_faithful,0.13326215744018555,1467.0,0.7452643513679504,5.135234832763672,55.272918701171875,5.912242889404297,54.08087921142578,5.778980731964111,dataset_7_keyframe_4,val,1466
aligned_local_faithful,0.08309650421142578,1677.0,0.3119303584098816,0.33493614196777344,30.88817596435547,2.898447275161743,29.725574493408203,2.8153507709503174,dataset_2_keyframe_4,val,1676
aligned_local_faithful,0.012967586517333984,1597.0,0.23644694685935974,0.4808669090270996,12.074831008911133,1.6636160612106323,11.657037734985352,1.6506484746932983,dataset_3_keyframe_2,val,1596
faithful_causal_bida,-0.10679054260253906,728.0,0.9941661953926086,3.5391430854797363,80.24346923828125,13.422183990478516,80.2054443359375,13.528974533081055,dataset_4_keyframe_1,val,727
faithful_causal_bida,0.042142391204833984,1467.0,0.9947468042373657,3.3790125846862793,55.272918701171875,5.912242889404297,54.8922004699707,5.870100498199463,dataset_7_keyframe_4,val,1466
faithful_causal_bida,0.13142895698547363,1677.0,0.9976968169212341,0.5515419244766235,30.88817596435547,2.898447275161743,28.863351821899414,2.7670183181762695,dataset_2_keyframe_4,val,1676
faithful_causal_bida,-0.00811612606048584,1597.0,0.9489640593528748,1.0966157913208008,12.074831008911133,1.6636160612106323,11.758866310119629,1.6717321872711182,dataset_3_keyframe_2,val,1596
faithful_causal_bida_state_reset,-0.11275386810302734,728.0,0.9952332377433777,3.734943389892578,80.24346923828125,13.422183990478516,80.21541595458984,13.534937858581543,dataset_4_keyframe_1,val,727
faithful_causal_bida_state_reset,0.04415082931518555,1467.0,0.9958269596099854,3.5610105991363525,55.272918701171875,5.912242889404297,54.89083480834961,5.868092060089111,dataset_7_keyframe_4,val,1466
faithful_causal_bida_state_reset,0.13658785820007324,1677.0,0.9982474446296692,0.5790989995002747,30.88817596435547,2.898447275161743,28.799020767211914,2.76185941696167,dataset_2_keyframe_4,val,1676
faithful_causal_bida_state_reset,-0.00872194766998291,1597.0,0.9655888080596924,1.1556689739227295,12.074831008911133,1.6636160612106323,11.764368057250977,1.6723380088806152,dataset_3_keyframe_2,val,1596
faithful_causal_bida_shuffled_history,-0.10248661041259766,728.0,0.9893383979797363,3.4189653396606445,80.24346923828125,13.422183990478516,80.2035903930664,13.524670600891113,dataset_4_keyframe_1,val,727
faithful_causal_bida_shuffled_history,0.039732933044433594,1467.0,0.9790103435516357,3.0993809700012207,55.272918701171875,5.912242889404297,54.9058837890625,5.872509956359863,dataset_7_keyframe_4,val,1466
faithful_causal_bida_shuffled_history,0.11864781379699707,1677.0,0.987912654876709,0.46571657061576843,30.88817596435547,2.898447275161743,29.06561279296875,2.779799461364746,dataset_2_keyframe_4,val,1676
faithful_causal_bida_shuffled_history,-0.008292078971862793,1597.0,0.906011164188385,1.0569286346435547,12.074831008911133,1.6636160612106323,11.772781372070312,1.6719081401824951,dataset_3_keyframe_2,val,1596
safe_causal_bida,0.0,728.0,0.0,0.0,80.24346923828125,13.422183990478516,80.24346923828125,13.422183990478516,dataset_4_keyframe_1,val,727
safe_causal_bida,0.0,1467.0,0.0,0.0,55.272918701171875,5.912242889404297,55.27289581298828,5.912242889404297,dataset_7_keyframe_4,val,1466
safe_causal_bida,0.0,1677.0,0.0,0.0,30.88817596435547,2.898447275161743,30.88814926147461,2.898447275161743,dataset_2_keyframe_4,val,1676
safe_causal_bida,0.0,1597.0,0.0,0.0,12.074831008911133,1.6636160612106323,12.074831008911133,1.6636160612106323,dataset_3_keyframe_2,val,1596
