model,adjacent_delta_mean,adjacent_delta_p95_mean,frame_mean_std,frame_p95_std
stereoanyvideo,0.2883897051215172,0.6774114519357681,0.12343637645244598,0.06516745686531067
s2m2,0.2721927650272846,0.629786767065525,0.10410948842763901,0.042205460369586945
fast_foundation,0.2824493497610092,0.6596506088972092,0.11640345305204391,0.05896993353962898
