epoch,global_step,learning_rate,train_total,train_classification,train_positive_gain,train_harmful_magnitude,train_harmful_selection,validation_loss_total,validation_loss_classification,validation_loss_positive_gain,validation_loss_harmful_magnitude,validation_loss_harmful_selection,validation_auroc,validation_auprc,validation_utility_mae
1,2576,0.002,0.10773059679629131,0.10157518046228389,0.001644283648085254,0.0020937029349001423,0.0006852892031347663,0.35484497973229734,0.33889086069539187,0.0016862959261520626,0.0017198429180122154,0.005844028990092435,0.9560672314259447,0.4460510279140742,0.04535120725631714
2,5152,0.001961518324933773,0.08086205389341976,0.07715206578162771,0.0007339369659293371,0.0013540342443557956,0.00047249992197416843,0.32210599481671426,0.30697205339868866,0.001397913483202479,0.0016883119779570984,0.005601779813453807,0.9572769929170729,0.4175111348626064,0.0454307496547699
3,7728,0.0018491908561896221,0.07374532873053914,0.07131250664050928,0.0006911075162376975,0.0005956742366298831,0.00042410161967754845,0.3240699247506806,0.3105462523177266,0.0015287427639478805,0.001605121875933424,0.004793623984126801,0.9550738085524189,0.39412772504526106,0.04617730900645256
4,10304,0.001672117697248021,0.06895562854844221,0.06663581248089347,0.0006065869090992559,0.0006396492611125152,0.00037687764433827194,0.32898975432702476,0.31579785561189055,0.0015122939396699988,0.0016819479673712814,0.004578340901935008,0.95931516370676,0.41344867039187,0.04539745673537254
5,12880,0.0014446442623517923,0.06429112395155967,0.06229131679073763,0.0005699875623637121,0.0005149934507442747,0.00032866470865651845,0.33891930276101145,0.32631391448279223,0.001674951701738266,0.0017321912730830983,0.004166073344943773,0.9459139686069302,0.39586469405215446,0.046177636831998825
6,15456,0.001185199096359621,0.05991105257782229,0.058016812413285906,0.0005655677523951194,0.0004927443103769213,0.0002947779968528029,0.3238114815792263,0.31083097485825417,0.001514397971548287,0.001682707172793722,0.004471024726141574,0.9454993124625687,0.42682241059986886,0.045354291796684265
7,18032,0.0009148009036403791,0.05528826212296436,0.05355281786312008,0.0005392486486696426,0.0004583956432579076,0.0002543010291425806,0.3569336021629473,0.34631271349887055,0.0014643383338011518,0.0017710362452210877,0.003249998518610179,0.949139293723227,0.4272413112945526,0.04619815573096275
8,20608,0.000655355737648208,0.050738422843621844,0.04919013640263425,0.0004183984904653326,0.0004495175792243521,0.00022780579696995604,0.35943645182996986,0.34892061647648615,0.0014201614711055299,0.0016401662711511258,0.0033177123154018774,0.9366781374926674,0.4233861396654014,0.04578865319490433
9,23184,0.0004278823027519793,0.04699471762356123,0.04559887618893723,0.0004208351415408929,0.0003843562116925546,0.00019923600425584634,0.3656961522996426,0.3535405888222158,0.0014377785100123219,0.0016261642884956018,0.004139269155893998,0.9358040772247632,0.39111760111331983,0.04596426337957382
10,25760,0.0002508091438103778,0.044899790468249726,0.043616743757597734,0.0004023348113043881,0.00033242605625303595,0.00019103640690279253,0.34165073006103436,0.3302658631155888,0.0014117614200586104,0.001680354719034464,0.0037262870029129164,0.9459140041683575,0.44817409806904807,0.0455375611782074
11,28336,0.0001384816750662276,0.04313177605136442,0.04192443696567962,0.00036531839968224547,0.0003230363361610064,0.00017873309977025067,0.3359892993234098,0.325239029340446,0.0013962752108909627,0.0016526690817045165,0.0034374947394098855,0.9496767664330954,0.4491445628435622,0.045573871582746506
12,30912,0.0001,0.04237378859510703,0.041198021641163075,0.0003580305893791723,0.00031370946707882816,0.00017358610556152457,0.34919985715920726,0.33700263953457277,0.0014036573192470314,0.0016520234231090095,0.00415776240570267,0.9533423591236537,0.4544130260266603,0.04540123790502548
